TPK-KY          ,	3673
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,49433013,40655134,8777879,2694909,6082970,-20856,4769579,14.19,3271802
2013 Q2,38284651,32821389,5463262,2906431,2556831,327273,3224174,9.59,3286008
2013 Q3,29466587,25802388,3664199,2497845,1166354,-174474,1098347,3.08,3291017
2013 Q4,159067439,138136906,20930533,10939363,9991170,-1086987,7614567,21.90,3292887
2014 Q1,26618446,23949671,2668775,2379040,289735,-190986,169322,0.39,3295347
2014 Q2,30704099,27965955,2738144,2640091,98053,91990,382715,0.98,3307358
2014 Q3,32613450,30445495,2167955,2480704,-312749,30244,-166847,-0.73,3311358
2014 Q4,129516919,119035186,10481733,10336847,144886,430526,566982,0.84,3312948
2015 Q1,28949360,27054060,1895300,1805334,89966,-1192231,-1007408,-3.06,3313868
2015 Q2,23741148,23239808,501340,1616281,-1114941,210999,-615005,-1.77,3516038
2015 Q3,34235346,45507611,-11272265,6407806,-17680071,-1068269,-19456972,-55.15,3516318
2015 Q4,121363612,127924827,-6561215,11793214,-18354429,-2664613,-20075685,-57.86,3516318
2016 Q1,21239117,20248249,990868,1347704,-356836,280376,15168,0.15,3466338
2016 Q2,17084665,18672834,-1588169,1155361,-2743530,68013,-2514176,-7.28,3466338
2016 Q3,26168554,23654660,2513894,1240475,1273419,-283861,690319,1.99,3466338
2016 Q4,89216284,85950004,3266280,5137939,-1871659,628560,-1503967,-4.27,3466338
2017 Q1,21415430,20215109,1200321,1079995,120326,620579,619261,1.79,3466338
2017 Q2,22407087,20896938,1510149,1079742,430407,85340,339961,0.95,3466338
2017 Q3,30513175,27897826,2615349,1273178,1342171,-178332,812947,2.43,4066338
2017 Q4,107208482,99673935,7534547,4923578,2610969,664942,2386036,6.64,4066638
2018 Q1,20853508,19622405,1231103,1007902,223201,21522,65513,0.17,4066638
2018 Q2,17790999,17619178,171821,1066963,-895142,413090,-194131,-0.56,4066638
2018 Q3,32192177,30954777,1237400,1036538,200862,177785,229839,0.47,4066638
