訊映,	4155
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2015 Q1,n/a
2015 Q2,399862,269190,128772,69240,59532,4001,52574,1.00,645743
2015 Q3,n/a
2015 Q4,856551,579659,281409,168160,113249,30751,110969,1.77,651843
2016 Q1,n/a
2016 Q2,485259,341989,143198,54490,88708,4599,64679,1.03,653667
2016 Q3,n/a
2016 Q4,1040462,829889,216506,108502,108004,24574,85201,1.36,653667
2017 Q1,289279,223933,64343,30632,33711,-3350,26289,0.42,655962
2017 Q2,337717,268985,67806,32288,35518,12980,33273,0.53,655962
2017 Q3,348721,262744,83282,42295,40987,11287,39453,0.63,655962
2017 Q4,1233076,945023,281316,150737,130579,32615,126809,2.00,740622
2018 Q1,294809,222216,74940,35515,39425,15252,42065,0.59,740522
2018 Q2,256233,207564,57135,45285,11850,29227,29413,0.39,762498
