同欣電          ,	6271
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,1766173,1256801,509372,165755,343617,28812,325203,2.00,325203,0,1629071
2013 Q2,1913212,1333429,579783,180593,399190,28840,331273,2.03,656476,656476,1629071
2013 Q3,2238500,1470629,767871,181358,586513,5761,514332,3.16,1170808,1170808,1629071
2013 Q4,7929440,5452342,2477098,702382,1774716,89187,1583473,9.72,1583473,1583473,1629071
2014 Q1,1867127,1342423,524704,178605,346099,24529,313497,1.92,0,313497,1629071
2014 Q2,2205339,1540636,664703,197510,467193,-9855,366121,2.25,0,679618,1629071
2014 Q3,2339341,1557914,781427,218694,562733,22663,495215,3.04,0,1174833,1629071
2014 Q4,8337547,5848552,2488995,774144,1714851,85110,1510642,9.27,0,1510642,1629071
2015 Q1,1800816,1386030,414786,167565,247221,-1278,209142,1.28,0,209142,1629071
2015 Q2,1938779,1487903,450876,180643,270233,504,184611,1.13,0,393753,1629071
2015 Q3,2137908,1539495,598413,196124,402289,67122,397196,2.44,0,790949,1629071
