高力            ,	8996
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,566434,433840,132594,81311,51283,5014,45897,0.66,698942
2013 Q2,595928,458796,137132,88208,48924,6553,48524,0.66,733889
2013 Q3,623669,494571,129098,91106,37992,6333,37584,0.51,773889
2013 Q4,2323851,1811833,512018,336193,175825,10080,155442,2.08,773889
2014 Q1,553507,412617,140890,81732,59158,772,49295,0.64,773889
2014 Q2,641353,463538,177815,84792,93023,-4611,75933,0.93,812583
2014 Q3,617924,471131,146793,94461,52332,-1404,44038,0.54,812583
2014 Q4,2334681,1758778,575903,347213,228690,10207,198870,2.45,812583
2015 Q1,551191,412165,139026,81616,57410,-17019,35391,0.44,812583
2015 Q2,490690,376613,114077,93015,21062,-6764,14941,0.17,893841
2015 Q3,539950,402963,136987,130136,6851,25884,27963,0.31,893841
2015 Q4,2178024,1638510,539514,333148,206366,9218,185371,2.07,893841
2016 Q1,624510,439760,184750,87617,97133,-10508,74383,0.83,893841
2016 Q2,720833,502811,218022,96927,121095,-3777,100491,1.12,893841
