南染            ,	1410
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,61000,25.60,26.00,25.60,25.90,,74,1576771
104/01/06,27087,25.85,25.85,25.50,25.50,-0.40,15,694517
104/01/07,50201,25.20,25.80,25.20,25.80,0.30,53,1287388
104/01/08,17835,25.65,26.00,25.65,26.00,0.20,28,462797
104/01/09,61015,26.05,26.05,25.80,25.85,-0.15,30,1580930
104/01/12,153827,25.95,26.00,25.70,25.70,-0.15,32,3990927
104/01/13,9034,25.70,25.90,25.70,25.85,0.15,26,233612
104/01/14,31616,25.65,25.85,25.65,25.70,-0.15,27,813083
104/01/15,23006,25.70,25.70,25.60,25.60,-0.10,13,590050
104/01/16,86977,25.65,25.75,25.60,25.75,0.15,21,2233961
104/01/19,12069,25.40,25.50,25.35,25.35,-0.40,30,306885
104/01/20,129954,25.20,25.60,25.20,25.50,0.15,67,3288672
104/01/21,165436,25.50,25.50,25.35,25.50,,26,4204828
104/01/22,64360,25.45,25.50,25.40,25.50,,36,1639453
104/01/23,13735,25.50,25.50,25.40,25.40,-0.10,25,348905
104/01/26,63216,25.45,25.50,25.35,25.35,-0.05,21,1607633
104/01/27,25206,25.30,25.50,25.30,25.50,0.15,23,638669
104/01/28,10132,25.35,25.35,25.30,25.30,-0.20,20,256383
104/01/29,1208,25.50,25.50,25.50,25.50,0.20,10,30800
104/01/30,18069,25.60,25.95,25.60,25.80,0.30,38,465101
104/02/02,20440,25.75,25.90,25.40,25.40,-0.40,24,524622
104/02/03,33615,25.95,25.95,25.45,25.60,0.20,29,858399
104/02/04,5225,25.45,25.60,25.45,25.60,,5,133115
104/02/05,41600,25.85,25.90,25.30,25.40,-0.20,29,1054217
104/02/06,18276,25.50,25.50,25.30,25.30,-0.10,17,463026
104/02/09,17051,25.50,25.50,25.35,25.35,0.05,15,434483
104/02/10,96003,25.60,25.90,25.40,25.40,0.05,36,2460125
104/02/11,5607,25.50,25.50,25.40,25.50,0.10,19,142343
104/02/12,30051,25.50,25.50,25.30,25.30,-0.20,15,760879
104/02/13,29409,25.30,25.35,25.30,25.35,0.05,21,745265
104/02/24,59065,25.35,25.60,25.30,25.60,0.25,43,1497141
104/02/25,1814,25.30,25.30,25.30,25.30,-0.30,17,45888
104/02/26,59017,25.30,25.30,25.20,25.20,-0.10,24,1489375
104/03/02,33044,25.20,25.30,25.20,25.20,,46,833900
104/03/03,11299,25.20,25.20,25.20,25.20,,20,284689
104/03/04,127480,25.55,26.90,25.55,25.55,0.35,87,3288237
104/03/05,22400,25.85,25.85,25.40,25.55,,58,571443
104/03/06,28209,25.40,25.40,25.30,25.35,-0.20,43,714411
104/03/09,34860,25.30,25.35,25.30,25.35,,50,883505
104/03/10,17391,25.35,25.35,25.20,25.20,-0.15,28,439775
104/03/11,20626,25.20,25.45,25.10,25.45,0.25,50,520176
104/03/12,5016,25.45,25.45,25.45,25.45,,18,127650
104/03/13,9014,25.45,25.50,25.35,25.35,-0.10,20,229150
104/03/16,68481,25.30,25.90,25.15,25.70,0.35,37,1733259
104/03/17,8566,25.70,25.70,25.25,25.70,,20,217576
