盛餘            ,	2029
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,89010,20.25,20.30,20.10,20.30,,44,1798603
104/01/06,93201,20.30,20.30,19.95,20.00,-0.30,77,1868048
104/01/07,128121,20.20,20.20,19.90,19.95,-0.05,73,2561670
104/01/08,79040,20.20,20.50,20.20,20.25,0.30,55,1608709
104/01/09,52009,20.20,20.25,20.10,20.10,-0.15,37,1049181
104/01/12,67640,20.00,20.20,20.00,20.05,-0.05,35,1359685
104/01/13,74000,20.10,20.20,20.00,20.00,-0.05,61,1485450
104/01/14,41200,20.05,20.25,20.00,20.00,,31,826189
104/01/15,87505,20.00,20.20,20.00,20.00,,36,1750699
104/01/16,158100,20.00,20.20,20.00,20.00,,62,3169900
104/01/19,119010,20.10,20.20,20.00,20.00,,67,2384400
104/01/20,157030,20.00,20.40,20.00,20.35,0.35,92,3160910
104/01/21,100767,20.45,20.60,20.10,20.55,0.20,84,2063745
104/01/22,66141,20.55,20.60,20.35,20.40,-0.15,40,1351947
104/01/23,17000,20.40,20.50,20.40,20.40,,13,347300
104/01/26,51000,20.40,20.40,20.20,20.25,-0.15,30,1034550
104/01/27,36080,20.35,20.35,20.20,20.30,0.05,26,731627
104/01/28,32000,20.30,20.35,20.25,20.35,0.05,17,649300
104/01/29,4301,20.30,20.35,20.30,20.35,,6,87375
104/01/30,50020,20.20,20.25,20.20,20.20,-0.15,20,1010705
104/02/02,3060,20.20,20.20,20.10,20.10,-0.10,4,61712
104/02/03,51000,20.10,20.30,20.10,20.10,,46,1026200
104/02/04,52070,20.10,20.20,20.05,20.05,-0.05,48,1045250
104/02/05,57724,20.00,20.30,20.00,20.10,0.05,29,1164180
104/02/06,5211,20.10,20.10,20.05,20.05,-0.05,5,104620
104/02/09,5010,20.05,20.25,20.05,20.15,0.10,6,100950
104/02/10,64483,20.15,20.30,20.15,20.30,0.15,47,1304830
104/02/11,95010,20.30,20.40,20.15,20.30,,44,1929202
104/02/12,31175,20.20,20.30,20.20,20.30,,21,631051
104/02/13,38102,20.30,20.30,20.15,20.30,,27,770170
104/02/24,28100,20.35,20.35,20.30,20.35,0.05,13,571695
104/02/25,30000,20.35,20.40,20.30,20.30,-0.05,17,610050
104/02/26,75000,20.35,20.35,20.20,20.20,-0.10,32,1520050
104/03/02,22060,20.20,20.45,20.20,20.40,0.20,22,448830
104/03/03,72001,20.50,20.50,20.20,20.35,-0.05,55,1461870
104/03/04,3001,20.25,20.25,20.25,20.25,-0.10,4,60770
104/03/05,28000,20.25,20.30,20.20,20.20,-0.05,14,566800
104/03/06,28000,20.40,20.40,20.25,20.25,0.05,10,568500
104/03/09,19000,20.25,20.25,20.20,20.25,,8,384200
104/03/10,83000,20.20,20.35,20.20,20.30,0.05,28,1679150
104/03/11,83000,20.20,20.35,20.20,20.20,-0.10,44,1681450
104/03/12,45100,20.20,20.20,20.10,20.20,,21,910830
104/03/13,3317,20.20,20.20,20.20,20.20,,5,66987
104/03/16,43185,20.20,20.30,20.20,20.25,0.05,20,875045
104/03/17,31201,20.25,20.30,20.15,20.25,,24,630919
104/03/18,189121,20.35,20.75,20.35,20.60,0.35,99,3889291
104/03/19,105847,20.60,20.90,20.60,20.80,0.20,76,2190915
104/03/20,63956,20.80,20.85,20.70,20.85,0.05,48,1330326
104/03/23,187202,20.90,21.25,20.85,21.10,0.25,84,3957752
104/03/24,66001,21.20,21.20,21.00,21.10,,29,1394121
104/03/25,91006,21.10,21.25,21.10,21.20,0.10,37,1928827
104/03/26,113000,21.20,21.30,21.10,21.20,,54,2399200
104/03/27,141142,21.30,21.30,21.10,21.30,0.10,63,2990437
104/03/30,99248,21.35,21.40,21.25,21.40,0.10,57,2119581
104/03/31,84000,21.40,21.60,21.25,21.35,-0.05,47,1797300
104/04/01,86079,21.25,21.25,21.00,21.10,-0.25,39,1814866
104/04/02,37241,21.00,21.30,21.00,21.15,0.05,23,786773
104/04/07,75251,21.05,21.20,21.00,21.20,0.05,31,1585921
104/04/08,10150,21.30,21.30,21.20,21.25,0.05,11,215886
104/04/09,27140,21.30,21.30,21.25,21.25,,14,577381
104/04/10,51668,21.30,21.30,21.20,21.25,,32,1098576
104/04/13,78707,21.30,21.40,21.25,21.30,0.05,41,1679323
104/04/14,188200,21.30,21.35,21.10,21.10,-0.20,50,4003960
104/04/15,106021,21.30,21.30,20.95,20.95,-0.15,70,2239232
104/04/16,104219,21.10,21.25,20.95,21.05,0.10,71,2194349
104/04/17,74001,21.00,21.25,21.00,21.05,,54,1565171
104/04/20,60801,21.30,21.30,21.05,21.05,,34,1288161
104/04/21,87285,21.30,21.30,21.05,21.05,,38,1842470
104/04/22,85000,21.10,21.20,21.00,21.00,-0.05,30,1790200
104/04/23,87016,21.10,21.25,21.05,21.15,0.15,60,1840440
104/04/24,224004,21.30,21.55,21.30,21.35,0.20,149,4809884
104/04/27,177211,21.50,21.65,21.40,21.50,0.15,121,3817963
104/04/28,241318,21.55,21.80,21.50,21.80,0.30,122,5233247
104/04/29,241000,21.90,22.05,21.60,21.60,-0.20,159,5280250
104/04/30,179060,21.80,22.00,21.65,21.95,0.35,125,3919770
104/05/04,95580,21.90,21.95,21.80,21.85,-0.10,55,2087962
104/05/05,59777,22.00,22.00,21.85,21.90,0.05,38,1308426
104/05/06,124060,21.90,21.90,21.70,21.80,-0.10,70,2704464
104/05/07,128020,21.85,21.95,21.60,21.65,-0.15,84,2793979
104/05/08,96000,21.65,21.90,21.65,21.85,0.20,60,2089400
104/05/11,398399,21.85,22.25,21.85,22.10,0.25,147,8760165
104/05/12,183122,22.10,22.25,21.90,22.00,-0.10,89,4041670
104/05/13,134000,21.80,22.00,21.70,21.75,-0.25,64,2920200
104/05/14,134901,21.75,21.75,21.50,21.50,-0.25,74,2917772
104/05/15,145429,21.55,21.65,21.25,21.25,-0.25,73,3109020
104/05/18,61001,21.20,21.50,21.20,21.45,0.20,35,1301972
104/05/19,138344,21.45,21.60,21.40,21.55,0.10,69,2968527
104/05/20,117001,21.60,21.60,21.40,21.40,-0.15,57,2506371
104/05/21,188008,21.30,21.50,21.30,21.30,-0.10,81,4011570
104/05/22,72000,21.30,21.40,21.30,21.30,,52,1534750
104/05/25,206000,21.35,21.45,21.30,21.30,,108,4400250
104/05/26,69062,21.30,21.40,21.30,21.30,,44,1473526
104/05/27,78180,21.45,21.45,21.30,21.35,0.05,35,1667792
104/05/28,133000,21.35,21.40,21.35,21.35,,49,2841100
104/05/29,136000,21.35,21.40,21.25,21.25,-0.10,42,2901400
104/06/01,59000,21.25,21.35,21.25,21.25,,35,1255950
104/06/02,38600,21.25,21.40,21.25,21.30,0.05,23,822999
104/06/03,208181,21.30,21.40,21.20,21.30,,95,4434805
104/06/04,166017,21.40,21.40,20.90,21.00,-0.30,105,3507207
