建大            ,	2106
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1010399,63.40,64.10,63.30,63.80,-0.10,461,64389271
104/01/06,1256171,63.30,63.90,62.80,63.40,-0.40,682,79547702
104/01/07,1085063,63.70,63.70,62.40,62.50,-0.90,648,68137641
104/01/08,1230419,62.80,63.20,62.10,62.80,0.30,666,77108399
104/01/09,665710,63.30,63.40,63.00,63.00,0.20,475,42051030
104/01/12,589234,62.60,62.90,62.40,62.50,-0.50,436,36875719
104/01/13,1537733,62.50,63.40,62.00,62.90,0.40,860,96449494
104/01/14,1688421,63.40,63.50,62.10,62.70,-0.20,940,105907389
104/01/15,649940,62.70,63.10,62.60,62.80,0.10,379,40861730
104/01/16,1857471,62.80,62.80,61.20,61.90,-0.90,846,115143190
104/01/19,1011918,62.10,62.50,61.60,61.70,-0.20,616,62564168
104/01/20,2180258,61.70,61.70,60.60,61.50,-0.20,1106,133404151
104/01/21,1150745,61.70,62.50,61.60,61.90,0.40,688,71438604
104/01/22,1533106,62.40,63.10,62.20,62.80,0.90,1011,96239419
104/01/23,2820610,63.30,64.40,63.30,64.00,1.20,1642,179967840
104/01/26,850617,64.20,64.30,63.50,63.50,-0.50,559,54152206
104/01/27,900599,63.30,63.80,63.30,63.50,,514,57163348
104/01/28,1242199,63.50,64.40,63.50,63.80,0.30,684,79352046
104/01/29,1077892,63.50,64.10,63.30,63.70,-0.10,459,68771748
104/01/30,1648776,64.00,64.20,63.60,64.00,0.30,737,105501924
104/02/02,3725779,64.00,65.30,64.00,64.80,0.80,1701,241917738
104/02/03,5187857,65.10,66.50,65.00,65.90,1.10,2512,342443970
104/02/04,2720752,66.00,66.80,65.40,65.70,-0.20,1226,179894942
104/02/05,971904,65.60,65.90,65.30,65.80,0.10,615,63875380
104/02/06,833866,65.90,65.90,64.80,64.80,-1.00,528,54388200
104/02/09,1101890,64.80,65.60,64.60,65.50,0.70,751,71929313
104/02/10,1154074,65.50,65.50,64.50,64.80,-0.70,565,74845777
104/02/11,1289705,64.80,65.10,64.30,64.80,,740,83375966
104/02/12,912797,64.50,64.90,64.50,64.50,-0.30,431,59060981
104/02/13,1295412,65.00,65.00,64.30,64.30,-0.20,596,83562280
104/02/24,2056462,64.70,65.00,64.00,64.20,-0.10,1121,132259604
104/02/25,2222642,64.20,64.60,63.50,64.10,-0.10,1117,142229651
104/02/26,924039,64.10,64.40,63.50,64.10,,572,59125896
104/03/02,1327062,64.40,64.90,64.20,64.90,0.80,839,85713094
104/03/03,734164,64.90,64.90,63.80,63.90,-1.00,503,47010360
104/03/04,1401073,63.80,64.70,63.60,64.70,0.80,816,90128287
104/03/05,1990850,64.40,64.40,63.30,63.80,-0.90,1016,126990419
104/03/06,1985967,63.60,64.00,63.40,63.80,,943,126778096
104/03/09,2627979,63.60,63.80,62.70,62.90,-0.90,1286,165737567
104/03/10,1733026,63.00,63.90,62.90,63.40,0.50,1027,109878739
104/03/11,1695659,63.00,63.30,62.70,63.10,-0.30,928,106870574
104/03/12,656782,63.10,63.50,62.80,63.10,,406,41478266
104/03/13,1011208,63.40,63.90,63.00,63.80,0.70,497,64283203
104/03/16,759220,63.20,63.50,62.80,63.20,-0.60,556,48011360
104/03/17,2310221,63.20,63.70,62.00,62.10,-1.10,1481,144223754
104/03/18,2029281,62.20,62.80,62.00,62.50,0.40,1164,126516079
104/03/19,1771784,62.80,63.10,62.50,63.00,0.50,848,111372446
104/03/20,1698635,63.00,63.10,62.40,62.90,-0.10,932,106521329
104/03/23,1404673,62.80,63.20,62.10,62.20,-0.70,733,87790085
104/03/24,484333,62.20,62.60,62.20,62.30,0.10,358,30230971
104/03/25,971016,62.50,62.70,62.30,62.60,0.30,634,60668793
104/03/26,1089286,62.90,63.00,62.40,62.90,0.30,709,68349156
104/03/27,1311972,63.20,63.20,62.30,62.70,-0.20,777,82067032
104/03/30,1070360,62.70,62.90,62.20,62.20,-0.50,503,66729758
104/03/31,2944308,62.30,62.70,60.90,61.30,-0.90,1824,180950691
104/04/01,1165780,61.30,61.70,60.90,61.50,0.20,832,71485944
104/04/02,770246,61.80,62.10,61.60,62.00,0.50,569,47685652
104/04/07,809288,62.20,62.30,61.70,62.10,0.10,527,50245303
104/04/08,1046348,62.10,62.10,61.60,61.80,-0.30,749,64710176
104/04/09,887143,61.80,62.30,61.60,61.70,-0.10,611,54926304
104/04/10,1162990,61.80,62.00,61.50,61.60,-0.10,642,71696773
104/04/13,1838478,61.60,61.80,61.00,61.20,-0.40,1148,112537445
104/04/14,1687531,61.50,61.50,60.60,60.90,-0.30,1027,102838091
104/04/15,1355891,60.90,61.00,60.50,60.50,-0.40,830,82198474
104/04/16,1374254,60.60,60.90,60.40,60.50,,861,83261509
104/04/17,1546119,60.50,60.60,59.90,60.10,-0.40,980,92970968
104/04/20,3927608,60.00,60.10,58.80,59.00,-1.10,2150,232011080
104/04/21,3091317,59.00,59.30,57.80,57.80,-1.20,1946,180672239
104/04/22,2005859,57.80,58.50,57.60,58.30,0.50,1211,116284345
104/04/23,2134422,58.80,59.30,58.30,59.10,0.80,1350,125131124
104/04/24,1996457,59.10,59.80,59.00,59.40,0.30,1429,118596729
104/04/27,1728862,59.90,59.90,59.10,59.30,-0.10,1132,102687002
104/04/28,1611650,59.30,59.50,58.80,59.00,-0.30,981,95286550
104/04/29,1928444,59.00,60.50,59.00,60.30,1.30,1221,115932659
104/04/30,1029623,60.40,60.50,59.80,60.00,-0.30,661,61778480
104/05/04,1695109,60.00,60.10,58.70,59.00,-1.00,923,100094431
104/05/05,1656477,59.00,59.00,58.00,58.40,-0.60,1078,96714693
104/05/06,1853830,58.40,58.90,58.00,58.80,0.40,1396,108439870
104/05/07,1005728,59.00,59.10,58.10,58.10,-0.70,658,58556555
104/05/08,1631731,58.10,58.60,57.70,57.90,-0.20,1116,94600398
104/05/11,710562,58.00,58.30,57.70,58.00,0.10,538,41219630
104/05/12,1742590,57.50,58.60,57.50,58.10,0.10,917,100874068
104/05/13,550157,57.80,58.20,57.60,58.00,-0.10,356,31882228
104/05/14,1537866,58.00,58.10,57.50,57.80,-0.20,1062,88572228
104/05/15,1509377,57.80,57.90,57.50,57.50,-0.30,1198,86861109
104/05/18,2465918,57.50,57.60,56.60,56.70,-0.80,1067,141471301
104/05/19,2459962,56.70,57.10,56.00,56.20,-0.50,1513,139093654
104/05/20,5017375,56.20,56.20,54.00,54.30,-1.90,2631,274109227
104/05/21,2559928,54.00,54.20,53.20,53.60,-0.70,1372,136943018
104/05/22,1525988,53.60,54.80,53.60,54.30,0.70,1108,83047238
104/05/25,1263964,54.30,54.90,53.50,53.70,-0.60,923,68317352
104/05/26,638961,53.70,54.40,53.70,54.20,0.50,410,34564476
104/05/27,719782,54.00,54.50,54.00,54.40,0.20,575,39068033
104/05/28,1073372,54.60,54.70,54.40,54.50,0.10,816,58478871
104/05/29,1372767,54.60,54.70,53.60,53.60,-0.90,902,74273189
104/06/01,951524,53.60,54.20,53.50,53.50,-0.10,653,51036596
104/06/02,1763328,53.30,53.40,52.10,52.20,-1.30,1248,92851846
104/06/03,2773271,52.00,52.00,50.20,51.00,-1.20,1529,141767063
104/06/04,3201700,51.00,51.00,49.75,50.00,-1.00,1745,160169257
104/06/05,4818415,50.00,50.20,46.75,47.95,-2.05,2597,232017544
104/06/08,2905226,48.30,49.70,47.85,49.70,1.75,1536,140839572
104/06/09,2379972,49.80,50.40,48.60,48.80,-0.90,1096,118225865
104/06/10,982872,49.20,49.60,49.00,49.40,0.60,773,48431468
104/06/11,1043536,49.95,49.95,48.25,49.00,-0.40,756,50933820
104/06/12,869715,49.00,49.95,48.80,49.55,0.55,715,43100604
104/06/15,743940,49.55,50.20,49.10,49.90,0.35,526,37070442
104/06/16,1537513,49.70,49.80,48.85,48.85,-1.05,608,75640109
104/06/17,1289169,48.50,49.45,48.35,48.60,-0.25,1029,62640803
104/06/18,875438,49.80,49.80,48.55,49.00,0.40,551,42855780
104/06/22,1109570,49.80,49.80,48.35,48.60,-0.40,662,54078380
104/06/23,2857400,51.10,51.30,50.00,50.30,1.70,1637,144195935
104/06/24,1789841,50.50,50.80,49.30,49.55,-0.75,1194,89302048
104/06/25,1375976,49.65,50.00,49.25,49.40,-0.15,940,68226800
104/06/26,715535,49.40,49.80,49.30,49.35,-0.05,504,35383552
104/06/29,1139221,49.00,49.00,48.10,48.55,-0.80,774,55260988
104/06/30,1427288,48.65,48.65,48.00,48.00,-0.55,904,68663826
104/07/01,1409320,48.30,48.55,48.05,48.40,0.40,1082,68001500
104/07/02,631784,48.50,48.60,48.30,48.40,,443,30615518
104/07/03,782810,48.40,48.55,48.00,48.40,,530,37751414
104/07/06,804460,48.45,48.85,48.30,48.55,0.15,678,39066704
104/07/07,556388,48.55,48.75,48.45,48.55,,424,27027311
104/07/08,1573204,48.55,48.55,47.00,47.10,-1.45,1016,74661252
104/07/09,3385300,46.85,46.90,44.50,46.15,-0.95,1118,154880566
104/07/13,1001339,46.30,46.50,45.65,45.70,-0.45,732,45973794
104/07/14,960895,46.00,46.10,45.30,45.45,-0.25,745,43838997
104/07/15,1288451,45.50,45.85,44.90,45.40,-0.05,769,58205453
104/07/16,535842,45.60,45.60,45.05,45.15,-0.25,383,24207137
104/07/17,679459,45.05,45.65,45.05,45.50,0.35,475,30877281
104/07/20,1895859,46.60,47.70,46.05,46.85,1.35,1140,88954868
104/07/21,1666838,47.05,47.35,46.25,46.70,-0.15,1081,77754599
104/07/22,1425019,46.30,47.20,46.20,47.20,0.50,999,66973342
104/07/23,777422,47.00,47.20,46.70,47.00,-0.20,495,36528020
104/07/24,808368,47.20,47.40,47.00,47.20,0.20,471,38156503
104/07/27,1198903,47.20,47.20,46.50,46.60,-0.60,644,56166188
104/07/28,1570151,46.40,47.80,46.25,47.40,0.80,1088,74194654
104/07/29,2586500,47.70,48.30,47.20,47.75,0.35,1165,123447967
104/07/30,2273419,48.15,49.15,48.15,49.15,1.40,1310,111157109
104/07/31,2255240,49.15,49.80,48.40,48.75,-0.40,1162,111030214
104/08/03,987233,48.90,48.90,48.10,48.30,-0.45,636,47720449
104/08/04,1074360,48.30,48.85,48.00,48.60,0.30,635,52038106
104/08/05,2040026,48.60,49.50,48.50,49.05,0.45,1055,100246867
104/08/06,1068853,49.30,49.50,48.50,48.60,-0.45,511,52204639
104/08/07,870786,48.40,48.50,47.60,48.25,-0.35,522,41736200
104/08/10,1059297,48.25,48.90,47.80,48.90,0.65,487,51209011
104/08/11,1352062,48.90,49.35,46.95,47.20,-1.70,860,64860226
104/08/12,4414299,46.50,46.85,45.35,45.50,-1.70,1472,203229719
104/08/13,2556008,46.00,46.70,45.80,46.40,0.90,966,117728017
104/08/14,2043494,46.35,47.20,45.90,46.25,-0.15,907,94991116
104/08/17,2004784,46.10,47.60,45.95,47.55,1.30,1074,94036065
104/08/18,1761164,48.05,48.50,47.90,48.25,0.70,1157,84847954
104/08/19,1827464,48.25,48.60,47.50,47.95,-0.30,1318,87543222
104/08/20,2593183,47.70,48.20,46.70,47.40,-0.55,1331,122863391
104/08/21,1274120,46.80,47.20,46.10,46.10,-1.30,891,59323370
104/08/24,3383915,45.40,45.45,43.10,43.20,-2.90,1641,149181510
104/08/25,2566352,40.20,44.00,40.20,43.80,0.60,1384,109732693
104/08/26,2423872,43.80,44.40,43.10,44.30,0.50,1154,105966947
104/08/27,4064960,44.60,46.60,44.60,45.85,1.55,1764,185578646
104/08/28,2842150,42.40,42.55,41.60,42.45,X,1419,120107220
104/08/31,1745052,42.45,44.30,42.10,43.80,1.35,1153,75636178
104/09/01,1167229,44.00,44.30,43.00,43.50,-0.30,674,50867976
104/09/02,2842942,42.70,44.20,42.70,44.20,0.70,1194,124812633
104/09/03,911969,44.30,44.55,43.80,44.40,0.20,592,40366005
104/09/04,1094314,44.30,44.50,44.15,44.35,-0.05,750,48576171
104/09/07,3015013,44.35,44.95,43.80,44.95,0.60,771,134080533
104/09/08,3057350,45.40,45.65,44.65,45.50,0.55,753,138430998
104/09/09,1655566,46.00,46.60,45.50,46.40,0.90,968,76480502
104/09/10,2892071,46.10,48.50,45.90,48.00,1.60,1393,137510692
104/09/11,1596275,48.00,48.60,47.40,47.55,-0.45,785,76490642
104/09/14,1782065,47.85,48.00,47.20,47.65,0.10,782,85014603
104/09/15,940892,47.65,48.20,47.65,48.10,0.45,484,45070651
104/09/16,1123251,48.80,48.80,47.60,48.55,0.45,882,54181681
104/09/17,642683,48.60,48.60,48.05,48.10,-0.45,471,31061485
