劍麟            ,	2228
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,106135,124.00,124.00,122.00,122.50,-2.00,97,13010172
104/01/06,70000,122.50,122.50,121.00,122.50,,62,8532000
104/01/07,104100,121.00,123.50,120.00,120.50,-2.00,99,12610500
104/01/08,70000,120.50,122.50,120.50,121.50,1.00,61,8510000
104/01/09,44000,123.00,123.00,122.00,122.50,1.00,43,5378500
104/01/12,128010,123.00,124.50,121.50,121.50,-1.00,112,15723715
104/01/13,308362,122.50,125.00,122.50,125.00,3.50,251,38321612
104/01/14,99300,125.50,126.00,123.00,124.00,-1.00,93,12338000
104/01/15,124198,122.50,124.00,121.50,121.50,-2.50,105,15170750
104/01/16,280129,124.00,124.00,120.00,120.00,-1.50,245,33829125
104/01/19,204200,121.00,121.00,118.00,118.50,-1.50,155,24325400
104/01/20,270211,119.50,119.50,117.50,118.50,,208,32007503
104/01/21,283407,118.50,118.50,115.50,116.00,-2.50,215,32929119
104/01/22,293061,116.50,120.50,116.50,118.50,2.50,223,34852003
104/01/23,207110,120.00,121.50,117.50,120.00,1.50,171,24753750
104/01/26,154000,121.00,122.00,119.00,120.00,,100,18521000
104/01/27,238001,121.00,121.50,119.00,120.00,,169,28601625
104/01/28,102200,120.00,121.00,120.00,120.50,0.50,83,12333700
104/01/29,162227,120.00,122.00,120.00,121.50,1.00,125,19633467
104/01/30,183206,122.00,122.00,120.50,122.00,0.50,136,22239028
104/02/02,69033,122.00,122.00,119.50,120.50,-1.50,65,8298993
104/02/03,111000,121.00,121.00,119.50,120.50,,86,13319000
104/02/04,224127,121.50,121.50,118.50,119.50,-1.00,153,26788867
104/02/05,207110,119.50,119.50,117.00,117.50,-2.00,157,24391145
104/02/06,88000,117.50,118.00,117.00,117.00,-0.50,73,10321500
104/02/09,268100,119.00,120.00,117.00,120.00,3.00,168,31802500
104/02/10,55029,119.50,119.50,117.50,118.00,-2.00,48,6508980
104/02/11,180000,120.50,121.00,118.50,118.50,0.50,150,21535500
104/02/12,70030,118.50,119.50,117.00,118.50,,62,8241615
104/02/13,79060,119.00,119.00,117.00,117.00,-1.50,60,9313020
104/02/24,485500,117.00,118.00,114.50,116.00,-1.00,310,56038500
104/02/25,211511,116.00,116.50,115.00,116.00,,138,24473787
104/02/26,186000,116.50,117.00,115.50,117.00,1.00,149,21593000
104/03/02,290001,117.50,121.00,116.50,119.50,2.50,226,34388623
104/03/03,390061,119.50,119.50,116.00,117.00,-2.50,222,45713289
104/03/04,461211,117.00,117.50,115.00,115.50,-1.50,276,53228579
104/03/05,313050,115.00,118.50,115.00,118.00,2.50,241,36813450
104/03/06,1074840,119.50,123.50,119.00,122.00,4.00,727,130099980
104/03/09,589563,122.00,124.00,120.50,123.50,1.50,480,72385749
104/03/10,504200,124.50,125.00,121.50,122.00,-1.50,378,62079900
104/03/11,322100,121.00,122.00,119.50,120.00,-2.00,246,38889500
104/03/12,284210,121.00,121.00,118.50,119.50,-0.50,249,33933095
104/03/13,286000,120.50,122.00,118.00,121.00,1.50,216,34352500
104/03/16,181150,122.00,122.50,120.00,120.00,-1.00,158,21925075
104/03/17,1847329,121.00,128.00,121.00,128.00,8.00,1323,232448112
104/03/18,1559528,130.00,132.00,127.00,128.50,0.50,1123,202211668
104/03/19,2020121,129.50,137.00,126.50,135.50,7.00,1441,271463956
104/03/20,923597,135.00,137.00,133.00,133.50,-2.00,779,124599998
104/03/23,661385,133.00,138.50,133.00,135.00,1.50,552,89601590
104/03/24,424300,135.00,137.00,133.50,135.50,0.50,373,57393950
104/03/25,1147189,136.00,142.00,133.00,133.00,-2.50,881,158162826
104/03/26,423087,129.00,131.50,128.50,130.00,-3.00,340,54948571
104/03/27,373300,130.00,134.50,130.00,131.00,1.00,323,49451300
104/03/30,416021,131.00,133.50,128.50,130.00,-1.00,335,54537293
104/03/31,773005,131.50,134.00,131.50,132.00,2.00,572,102761685
104/04/01,444325,132.00,135.00,131.00,134.50,2.50,344,59123036
104/04/02,1055932,135.00,140.00,135.00,139.00,4.50,784,146125048
104/04/07,1099740,141.50,144.00,141.00,141.00,2.00,821,156286340
104/04/08,506173,142.00,142.00,138.50,140.50,-0.50,432,70898893
104/04/09,1080080,141.50,147.50,138.00,139.50,-1.00,806,154623860
104/04/10,967436,138.00,140.00,132.50,135.00,-4.50,689,130523360
104/04/13,316200,135.00,135.00,132.50,135.00,,223,42458500
104/04/14,355008,134.50,135.00,133.50,134.00,-1.00,232,47609575
104/04/15,364457,133.00,134.00,130.00,131.50,-2.50,279,48002594
104/04/16,347010,132.50,134.00,131.50,133.50,2.00,272,46103335
104/04/17,327000,133.00,134.00,130.50,133.50,,218,43335500
104/04/20,389194,133.00,133.00,129.50,130.00,-3.50,293,50851720
104/04/21,398190,130.50,131.00,125.00,127.00,-3.00,289,50728224
104/04/22,256000,127.50,130.00,127.50,128.50,1.50,165,32956000
104/04/23,244000,129.50,130.50,128.00,128.00,-0.50,203,31565500
104/04/24,277000,128.00,129.50,127.00,129.00,1.00,231,35499500
104/04/27,201801,129.00,131.00,128.50,128.50,-0.50,168,26180528
104/04/28,308000,128.50,133.50,128.50,131.50,3.00,265,40664000
104/04/29,469000,133.00,133.50,130.00,131.50,,192,61651250
104/04/30,121050,132.50,132.50,131.00,131.00,-0.50,106,15925550
104/05/04,87000,131.00,132.00,130.50,130.50,-0.50,72,11383500
104/05/05,778175,133.00,139.00,133.00,137.00,6.50,629,106702650
104/05/06,558211,138.00,138.00,134.00,136.00,-1.00,467,75782907
104/05/07,438380,137.00,137.00,130.50,130.50,-5.50,366,58146780
104/05/08,430170,130.50,131.00,127.50,127.50,-3.00,364,55533175
104/05/11,343000,129.00,131.50,128.50,130.50,3.00,253,44551000
104/05/12,218110,131.50,132.00,126.00,129.00,-1.50,189,27940355
104/05/13,155000,130.50,131.00,128.50,131.00,2.00,125,20201500
104/05/14,322001,130.00,130.00,123.50,128.50,-2.50,237,40880638
104/05/15,192008,129.00,129.50,126.50,129.00,0.50,136,24523032
104/05/18,214080,130.50,131.00,128.50,130.00,1.00,166,27783940
104/05/19,528100,134.00,134.00,128.00,133.00,3.00,386,70307900
104/05/20,717390,134.00,138.00,133.00,138.00,5.00,603,97731710
104/05/21,1800769,138.00,147.50,135.50,147.50,9.50,1172,259968427
104/05/22,1449125,147.50,149.50,145.00,145.00,-2.50,1099,212905500
104/05/25,597310,145.50,147.00,142.00,147.00,2.00,483,86630070
104/05/26,1861474,148.50,157.00,148.50,154.50,7.50,1202,289360496
104/05/27,707691,154.50,156.50,152.00,154.50,,551,109253259
104/05/28,1791374,153.00,160.50,146.00,149.00,-5.50,1385,276314037
104/05/29,758215,150.50,151.00,146.00,150.00,1.00,524,112982571
104/06/01,1900632,152.00,164.00,151.50,162.00,12.00,1506,301336198
104/06/02,2472561,162.50,174.00,160.00,166.00,4.00,1990,413360370
104/06/03,2051393,170.00,178.00,166.00,166.00,,1664,351279738
104/06/04,1322317,167.00,169.50,157.00,158.50,-7.50,1058,215417171
104/06/05,981416,158.50,163.00,152.00,163.00,4.50,804,156142892
104/06/08,1062871,163.00,170.00,158.50,165.50,2.50,862,175325586
104/06/09,943655,167.00,169.00,154.50,157.00,-8.50,804,152509335
104/06/10,704332,160.00,163.00,158.00,159.50,2.50,560,113329954
104/06/11,859600,160.00,163.50,155.00,156.00,-3.50,674,136028000
104/06/12,909387,156.50,162.00,152.00,154.50,-1.50,796,143659872
104/06/15,646403,156.00,161.50,153.00,153.00,-1.50,561,100999965
104/06/16,1052170,154.00,156.00,145.00,147.50,-5.50,843,156248830
104/06/17,562400,149.00,149.50,145.00,146.50,-1.00,505,82947500
104/06/18,843158,149.00,152.00,147.50,152.00,5.50,690,126733938
104/06/22,693010,155.00,155.50,150.00,150.00,-2.00,575,105583670
104/06/23,455000,152.00,153.00,150.00,150.50,0.50,373,68894000
104/06/24,609010,149.00,152.00,145.00,146.50,-4.00,505,89430655
104/06/25,948200,147.00,148.50,141.00,144.50,-2.00,718,137029800
104/06/26,476203,144.50,148.50,142.50,147.00,2.50,390,69577044
104/06/29,1222173,145.00,145.00,132.50,133.50,-13.50,849,167589114
104/06/30,740241,135.50,138.50,134.50,138.00,4.50,553,101381240
104/07/01,1109042,138.00,144.00,138.00,144.00,6.00,811,158225174
104/07/02,581100,141.00,141.50,138.00,139.00,X,469,81327000
104/07/03,1020141,139.50,150.00,139.50,146.50,7.50,822,149276086
104/07/06,447016,145.50,146.00,140.50,140.50,-6.00,371,63844264
104/07/07,913168,142.50,149.00,142.00,146.00,5.50,737,133743200
104/07/08,724000,146.00,146.50,138.00,139.00,-7.00,589,101756500
104/07/09,779000,136.00,140.50,125.50,137.50,-1.50,621,103807000
104/07/13,1403353,143.00,151.00,141.00,151.00,13.50,982,207385303
