致茂            ,	2360
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,344050,81.60,82.00,81.10,81.80,-0.30,323,27999969
104/01/06,959195,81.70,83.40,81.40,83.00,1.20,764,79170886
104/01/07,333012,83.00,83.30,81.70,81.80,-1.20,300,27387776
104/01/08,634148,82.50,83.50,81.40,81.80,,381,52242575
104/01/09,1091532,82.80,84.00,82.60,83.40,1.60,637,91222860
104/01/12,405109,83.30,84.50,82.00,82.30,-1.10,312,33661769
104/01/13,227338,82.30,82.70,82.10,82.40,0.10,190,18743081
104/01/14,704000,82.40,83.40,82.00,82.20,-0.20,415,58175500
104/01/15,345643,82.30,83.30,81.50,82.00,-0.20,252,28469271
104/01/16,819445,81.60,82.00,80.20,80.80,-1.20,580,66248175
104/01/19,926453,80.80,82.00,79.20,79.40,-1.40,694,74477012
104/01/20,734454,79.40,82.20,79.30,80.60,1.20,434,59498437
104/01/21,939101,80.30,82.90,80.30,81.90,1.30,581,77062571
104/01/22,379581,82.00,82.80,82.00,82.70,0.80,323,31301816
104/01/23,1047083,83.30,83.40,80.50,80.50,-2.20,743,85469995
104/01/26,2825225,80.60,81.00,76.50,78.30,-2.20,2149,220945606
104/01/27,2634034,78.50,80.80,78.40,79.20,0.90,1431,209189499
104/01/28,3034731,79.20,80.70,78.70,78.70,-0.50,1362,241223040
104/01/29,1078586,78.70,78.70,78.30,78.50,-0.20,554,84646600
104/01/30,1485980,79.00,79.40,77.90,78.90,0.40,987,116599330
104/02/02,906971,78.30,79.20,77.80,78.00,-0.90,568,70987338
104/02/03,1496172,78.00,80.00,77.90,79.10,1.10,582,118369988
104/02/04,803002,79.70,79.70,79.00,79.40,0.30,581,63763858
104/02/05,753442,79.80,79.80,78.90,79.40,,429,59773418
104/02/06,336996,79.80,79.80,78.60,78.80,-0.60,301,26727584
104/02/09,279152,78.80,78.80,78.40,78.40,-0.40,167,21922746
104/02/10,254053,78.00,78.90,78.00,78.90,0.50,220,19957155
104/02/11,2722683,78.60,78.60,76.00,76.80,-2.10,1208,209862353
104/02/12,909500,76.00,78.00,76.00,77.50,0.70,560,70009050
104/02/13,2160796,77.50,79.20,77.50,78.50,1.00,961,169785265
104/02/24,1962648,78.50,81.50,78.40,80.00,1.50,1082,157978079
104/02/25,1613579,80.00,81.50,79.80,81.50,1.50,872,130060454
104/02/26,550254,81.50,81.50,80.70,80.70,-0.80,418,44532093
104/03/02,1523491,80.70,80.70,78.90,78.90,-1.80,883,121520689
104/03/03,1094307,80.00,80.80,79.60,80.50,1.60,761,87965389
104/03/04,1180158,80.20,80.80,79.90,80.30,-0.20,795,94803687
104/03/05,629203,80.30,80.30,79.60,79.80,-0.50,418,50200438
104/03/06,583000,79.80,80.50,79.70,80.00,0.20,335,46670800
104/03/09,604476,79.70,79.70,78.80,79.50,-0.50,447,47902444
104/03/10,466250,79.50,79.90,79.00,79.30,-0.20,380,37054450
104/03/11,424967,78.50,78.90,78.20,78.50,-0.80,321,33384227
104/03/12,1033078,78.30,78.50,77.50,77.80,-0.70,726,80481865
104/03/13,1000951,78.40,78.40,77.20,77.90,0.10,544,77797801
104/03/16,2247797,78.30,79.90,76.80,77.80,-0.10,1231,176711107
104/03/17,1956282,78.40,79.00,77.60,79.00,1.20,843,153847790
104/03/18,1211826,79.80,79.90,79.30,79.80,0.80,612,96237380
104/03/19,958200,80.20,80.20,78.20,79.20,-0.60,584,75708059
104/03/20,1223378,79.60,79.60,78.20,78.70,-0.50,877,96737843
104/03/23,1411243,79.00,80.00,78.20,79.70,1.00,690,111658091
104/03/24,1021207,79.70,79.70,78.80,79.50,-0.20,554,80853556
104/03/25,1189175,79.50,79.50,77.60,77.80,-1.70,723,92998778
104/03/26,1133347,77.10,79.60,77.10,79.60,1.80,627,89133213
104/03/27,807001,79.70,79.70,78.40,78.90,-0.70,476,63823079
104/03/30,319053,79.50,79.50,77.80,78.30,-0.60,285,24992048
104/03/31,1573988,79.40,79.40,74.60,77.70,-0.60,1016,120383373
104/04/01,1024387,77.70,79.40,77.20,79.00,1.30,782,80412918
104/04/02,665149,79.60,79.70,78.80,79.50,0.50,508,52734485
