友通            ,	2397
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,100000,35.90,36.20,35.80,36.10,0.20,61,3595700
104/01/06,53000,35.90,35.95,35.80,35.85,-0.25,39,1901650
104/01/07,71528,36.00,36.00,35.85,36.00,0.15,51,2568949
104/01/08,157542,36.00,36.15,35.85,36.00,,85,5673902
104/01/09,112162,36.05,36.15,35.90,35.90,-0.10,55,4038815
104/01/12,119802,35.80,36.10,35.80,36.10,0.20,72,4308430
104/01/13,309373,36.10,36.55,36.05,36.50,0.40,163,11238207
104/01/14,152825,36.50,36.55,36.20,36.20,-0.30,86,5555481
104/01/15,134100,36.35,36.35,36.00,36.10,-0.10,77,4837400
104/01/16,163040,36.20,36.20,35.90,36.10,,94,5870503
104/01/19,118050,36.10,36.25,36.00,36.00,-0.10,58,4265050
104/01/20,182191,36.15,36.25,36.00,36.25,0.25,96,6583976
104/01/21,232339,36.25,36.40,36.20,36.25,,134,8428037
104/01/22,256125,36.30,36.35,36.20,36.30,0.05,126,9288980
104/01/23,292010,36.40,36.55,36.35,36.50,0.20,152,10638313
104/01/26,127000,36.50,36.60,36.40,36.40,-0.10,88,4633550
104/01/27,218000,36.50,36.65,36.45,36.55,0.15,92,7964550
104/01/28,95452,36.50,36.70,36.50,36.70,0.15,59,3492369
104/01/29,215004,36.70,36.70,36.25,36.30,-0.40,100,7834095
104/01/30,211001,36.45,36.90,36.20,36.50,0.20,131,7716536
104/02/02,179589,36.60,36.70,36.30,36.50,,120,6545621
104/02/03,135809,36.50,36.60,36.40,36.50,,69,4955565
104/02/04,250000,36.60,36.80,36.50,36.50,,118,9147700
104/02/05,123030,36.60,36.60,36.40,36.45,-0.05,74,4490843
104/02/06,185000,36.50,36.55,36.25,36.25,-0.20,123,6732850
104/02/09,118559,36.25,36.65,36.15,36.65,0.40,69,4301225
104/02/10,93110,36.65,36.70,36.50,36.60,-0.05,79,3408626
104/02/11,60841,36.60,36.65,36.40,36.40,-0.20,49,2222493
104/02/12,128200,36.40,36.50,36.30,36.30,-0.10,69,4662220
104/02/13,215101,36.50,36.50,36.20,36.50,0.20,87,7812366
104/02/24,236595,36.65,37.10,36.50,36.75,0.25,132,8713797
104/02/25,802065,36.80,38.20,36.80,38.20,1.45,348,30129920
104/02/26,454036,38.50,38.50,37.80,38.45,0.25,213,17401682
104/03/02,348030,38.50,38.50,37.95,38.25,-0.20,182,13284393
104/03/03,488594,38.25,38.80,38.05,38.75,0.50,226,18780566
104/03/04,659220,38.85,39.55,38.50,39.35,0.60,322,25850855
104/03/05,509841,39.35,39.40,38.75,38.75,-0.60,235,19882384
104/03/06,246020,38.75,38.80,38.50,38.60,-0.15,138,9503872
104/03/09,303090,38.40,38.70,38.35,38.70,0.10,157,11665677
104/03/10,298166,38.60,38.70,38.25,38.25,-0.45,140,11462224
