良得電          ,	2462
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,142490,24.50,24.75,24.50,24.65,0.15,101,3499670
104/01/06,181024,24.50,24.95,24.25,24.65,,130,4455883
104/01/07,74022,24.50,24.85,24.50,24.85,0.20,70,1826435
104/01/08,185625,25.15,25.15,24.65,24.70,-0.15,120,4620792
104/01/09,94209,24.95,24.95,24.65,24.65,-0.05,72,2327564
104/01/12,138821,24.50,24.65,24.40,24.65,,85,3397779
104/01/13,96059,24.60,25.00,24.60,24.70,0.05,75,2384745
104/01/14,67702,24.75,24.75,24.55,24.60,-0.10,55,1664935
104/01/15,217648,24.45,25.15,24.45,24.50,-0.10,153,5394722
104/01/16,194354,24.50,24.90,24.45,24.50,,123,4772671
104/01/19,141756,24.60,24.70,24.25,24.25,-0.25,103,3460722
104/01/20,65964,24.35,24.40,24.25,24.35,0.10,56,1606309
104/01/21,131636,24.40,24.90,24.25,24.70,0.35,83,3235505
104/01/22,70603,24.70,24.80,24.50,24.65,-0.05,49,1741039
104/01/23,182721,24.70,24.80,24.40,24.50,-0.15,107,4479558
104/01/26,68801,24.65,24.65,24.45,24.60,0.10,55,1687620
104/01/27,101678,24.60,24.60,24.35,24.50,-0.10,86,2487904
104/01/28,83039,24.50,24.50,24.30,24.40,-0.10,71,2021891
104/01/29,43808,24.40,24.45,24.35,24.35,-0.05,33,1068811
104/01/30,66370,24.35,24.45,24.30,24.30,-0.05,49,1615189
104/02/02,100134,24.25,24.25,24.05,24.10,-0.20,70,2415026
104/02/03,90567,24.20,24.30,24.00,24.00,-0.10,67,2185058
104/02/04,78719,24.00,24.20,24.00,24.05,0.05,49,1893940
104/02/05,107304,24.00,24.10,23.75,24.00,-0.05,72,2567996
104/02/06,85758,24.00,24.20,23.90,23.90,-0.10,59,2057342
104/02/09,140677,24.05,24.05,23.75,23.75,-0.15,73,3357957
104/02/10,323472,23.90,24.65,23.90,24.25,0.50,247,7874008
104/02/11,146456,24.40,24.50,23.95,24.00,-0.25,125,3535594
104/02/12,71553,24.00,24.00,23.85,23.85,-0.15,56,1710282
104/02/13,93441,23.85,23.95,23.85,23.85,,84,2230606
104/02/24,118699,23.60,24.15,23.60,24.00,0.15,82,2826446
104/02/25,126833,24.00,24.20,23.80,24.15,0.15,90,3043242
104/02/26,116549,24.30,24.30,24.15,24.20,0.05,77,2826554
104/03/02,88084,24.25,24.25,24.05,24.05,-0.15,81,2128517
104/03/03,91347,24.30,24.30,24.05,24.15,0.10,58,2202025
104/03/04,171458,24.15,24.15,24.00,24.05,-0.10,98,4122151
104/03/05,98974,24.10,24.15,23.95,24.10,0.05,71,2379268
104/03/06,127416,24.30,24.30,24.10,24.30,0.20,103,3084099
104/03/09,239617,24.30,24.90,24.25,24.90,0.60,188,5886432
104/03/10,1036478,25.00,26.00,25.00,25.60,0.70,546,26535723
104/03/11,347148,25.60,25.60,25.05,25.40,-0.20,217,8781200
104/03/12,196481,25.40,25.45,25.20,25.35,-0.05,140,4970282
104/03/13,215013,25.35,25.70,25.35,25.45,0.10,144,5483971
104/03/16,956192,24.80,25.20,24.30,24.45,-1.00,465,23492142
104/03/17,376601,24.45,24.60,24.00,24.05,-0.40,193,9144494
104/03/18,227136,24.05,24.55,24.05,24.25,0.20,510,5514375
104/03/19,209504,24.25,24.45,24.10,24.20,-0.05,388,5079289
104/03/20,182510,24.20,24.60,24.10,24.50,0.30,294,4446019
104/03/23,262699,24.50,24.50,24.10,24.20,-0.30,571,6357812
104/03/24,627742,24.20,24.20,23.60,23.70,-0.50,569,14985809
104/03/25,173381,23.75,23.95,23.55,23.65,-0.05,288,4118855
104/03/26,205562,23.60,23.60,23.30,23.40,-0.25,225,4804361
104/03/27,255247,23.35,23.50,23.25,23.30,-0.10,296,5959653
104/03/30,205791,23.20,23.45,23.10,23.30,,352,4779606
104/03/31,246602,23.40,23.40,23.00,23.10,-0.20,289,5707185
104/04/01,405432,23.05,23.05,22.40,22.55,-0.55,242,9165450
104/04/02,189186,22.50,22.70,22.45,22.55,,139,4266539
104/04/07,212287,22.50,22.60,22.35,22.45,-0.10,157,4765406
104/04/08,982026,22.45,23.20,22.25,23.05,0.60,359,22320417
104/04/09,224853,22.90,23.45,22.90,23.05,,170,5214253
104/04/10,80708,23.05,23.05,22.80,22.90,-0.15,89,1847981
104/04/13,164591,22.85,23.00,22.75,22.80,-0.10,171,3756501
104/04/14,135267,22.65,22.95,22.65,22.75,-0.05,77,3086041
104/04/15,130259,22.85,23.00,22.75,22.80,0.05,93,2977045
104/04/16,135791,22.80,22.90,22.70,22.70,-0.10,102,3090057
104/04/17,121363,22.70,22.70,22.55,22.65,-0.05,93,2743224
104/04/20,202872,22.65,22.65,22.35,22.45,-0.20,134,4557265
104/04/21,95015,22.60,22.60,22.30,22.35,-0.10,72,2129130
104/04/22,138096,22.35,22.75,22.35,22.50,0.15,95,3111845
104/04/23,173369,22.60,22.60,22.40,22.50,,87,3898079
104/04/24,166276,22.50,22.80,22.50,22.70,0.20,106,3766734
104/04/27,183956,22.70,22.80,22.55,22.80,0.10,118,4179091
104/04/28,167730,22.80,22.85,22.70,22.80,,74,3824866
104/04/29,118199,22.80,22.90,22.65,22.80,,90,2695504
104/04/30,178242,22.95,22.95,22.50,22.80,,85,4044051
104/05/04,116225,22.85,22.85,22.50,22.50,-0.30,61,2629791
104/05/05,116087,22.55,22.80,22.50,22.60,0.10,87,2631157
104/05/06,385500,22.80,23.30,22.65,23.25,0.65,223,8874691
104/05/07,219444,23.40,23.40,22.95,23.00,-0.25,111,5059912
104/05/08,183510,23.05,23.05,22.65,22.65,-0.35,101,4188298
104/05/11,339469,22.65,22.75,21.95,22.10,-0.55,202,7564018
104/05/12,183637,21.95,22.25,21.80,21.95,-0.15,134,4040714
104/05/13,193003,22.20,22.40,21.85,22.25,0.30,117,4288510
104/05/14,140834,22.25,22.25,22.00,22.00,-0.25,106,3110098
