中工            ,	2515
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1803498,7.93,7.94,7.90,7.91,-0.04,457,14284617
104/01/06,2288917,7.87,7.89,7.84,7.88,-0.03,620,17989109
104/01/07,1434120,7.88,7.90,7.85,7.85,-0.03,332,11284463
104/01/08,9242387,7.89,8.05,7.87,7.90,0.05,1115,73608450
104/01/09,1718194,7.95,7.95,7.88,7.89,-0.01,426,13572331
104/01/12,1896726,7.90,7.90,7.85,7.89,,389,14938106
104/01/13,2399761,7.88,7.88,7.84,7.85,-0.04,504,18845162
104/01/14,1993510,7.85,7.88,7.81,7.85,,477,15624288
104/01/15,1471036,7.87,7.87,7.81,7.83,-0.02,358,11505893
104/01/16,2877026,7.81,7.86,7.79,7.80,-0.03,571,22502742
104/01/19,1940147,7.81,7.85,7.77,7.79,-0.01,366,15115274
104/01/20,1718077,7.81,7.83,7.79,7.82,0.03,322,13406077
104/01/21,2837336,7.83,7.83,7.79,7.79,-0.03,409,22156682
104/01/22,2307355,7.80,7.83,7.77,7.77,-0.02,408,17987971
104/01/23,3868725,7.78,7.82,7.74,7.74,-0.03,632,30068315
104/01/26,6190841,7.77,7.77,7.58,7.58,-0.16,1204,47357159
104/01/27,4229346,7.60,7.65,7.47,7.59,0.01,936,31878455
104/01/28,3310983,7.52,7.54,7.49,7.49,-0.10,701,24837550
104/01/29,1800300,7.49,7.57,7.47,7.52,0.03,465,13545924
104/01/30,1461473,7.62,7.62,7.55,7.56,0.04,380,11082156
104/02/02,1036682,7.54,7.58,7.52,7.52,-0.04,233,7817849
104/02/03,2267308,7.52,7.53,7.49,7.50,-0.02,403,17012985
104/02/04,1663264,7.53,7.56,7.49,7.54,0.04,379,12510369
104/02/05,1279145,7.54,7.54,7.48,7.49,-0.05,260,9597557
104/02/06,1010632,7.52,7.53,7.49,7.50,0.01,255,7584558
104/02/09,1528844,7.50,7.52,7.46,7.46,-0.04,312,11445903
104/02/10,1069910,7.47,7.51,7.45,7.48,0.02,576,8008573
104/02/11,3863874,7.52,7.61,7.52,7.58,0.10,753,29285512
104/02/12,1221595,7.60,7.60,7.54,7.55,-0.03,298,9244958
104/02/13,3103024,7.57,7.61,7.57,7.60,0.05,644,23563751
104/02/24,3656274,7.60,7.66,7.60,7.64,0.04,742,27914889
104/02/25,3604293,7.64,7.70,7.64,7.66,0.02,601,27656689
104/02/26,1920055,7.68,7.69,7.64,7.69,0.03,509,14727753
104/03/02,2107136,7.68,7.70,7.66,7.68,-0.01,521,16175889
104/03/03,1308771,7.68,7.68,7.65,7.65,-0.03,323,10023609
104/03/04,1093702,7.65,7.68,7.65,7.65,,332,8377035
104/03/05,1105221,7.66,7.68,7.64,7.68,0.03,273,8466733
104/03/06,2053105,7.68,7.70,7.66,7.69,0.01,496,15774340
104/03/09,1082522,7.68,7.68,7.66,7.66,-0.03,365,8299808
104/03/10,1259000,7.66,7.69,7.66,7.69,0.03,480,9662312
104/03/11,3513291,7.65,7.68,7.61,7.61,-0.08,573,26808778
104/03/12,2183521,7.61,7.65,7.59,7.60,-0.01,466,16619828
104/03/13,649083,7.60,7.63,7.59,7.59,-0.01,261,4933932
104/03/16,1200710,7.59,7.63,7.57,7.57,-0.02,356,9101740
104/03/17,692485,7.58,7.61,7.57,7.59,0.02,252,5252204
104/03/18,1017767,7.58,7.59,7.56,7.58,-0.01,307,7708897
104/03/19,1301997,7.58,7.62,7.56,7.61,0.03,423,9887802
104/03/20,5577275,7.67,7.72,7.67,7.69,0.08,1369,42922457
104/03/23,4143660,7.70,7.74,7.68,7.68,-0.01,1195,31957503
104/03/24,1867275,7.68,7.69,7.66,7.66,-0.02,416,14329190
104/03/25,5323566,7.68,7.68,7.63,7.65,-0.01,546,40786668
104/03/26,1673251,7.64,7.68,7.64,7.65,,417,12802168
104/03/27,1463651,7.65,7.66,7.64,7.65,,399,11195099
104/03/30,2743569,7.65,7.67,7.62,7.62,-0.03,478,20957402
104/03/31,4346349,7.63,7.64,7.58,7.58,-0.04,1018,33055630
104/04/01,1683377,7.60,7.60,7.56,7.58,,517,12752796
104/04/02,1836338,7.58,7.62,7.57,7.57,-0.01,405,13938882
104/04/07,4494253,7.57,7.58,7.53,7.54,-0.03,663,33901341
104/04/08,6060138,7.54,7.55,7.43,7.46,-0.08,1058,45290497
104/04/09,3407072,7.44,7.48,7.42,7.45,-0.01,798,25390314
104/04/10,2345370,7.44,7.52,7.42,7.43,-0.02,614,17449545
104/04/13,3319141,7.43,7.47,7.42,7.42,-0.01,643,24669277
104/04/14,4501846,7.42,7.44,7.41,7.42,,670,33404350
104/04/15,4660528,7.42,7.43,7.37,7.40,-0.02,1042,34481670
104/04/16,3510802,7.40,7.40,7.34,7.39,-0.01,704,25885397
104/04/17,2742834,7.38,7.40,7.36,7.38,-0.01,454,20230815
104/04/20,2798024,7.37,7.38,7.34,7.36,-0.02,387,20586897
104/04/21,2932357,7.36,7.37,7.33,7.35,-0.01,517,21548800
104/04/22,3267510,7.35,7.35,7.28,7.30,-0.05,524,23894203
104/04/23,3980175,7.30,7.33,7.29,7.33,0.03,898,29089012
104/04/24,3415398,7.33,7.38,7.32,7.36,0.03,959,25107365
104/04/27,3622839,7.39,7.46,7.38,7.44,0.08,902,26854409
104/04/28,2511283,7.44,7.48,7.43,7.45,0.01,669,18735497
104/04/29,4638241,7.46,7.54,7.45,7.53,0.08,1271,34814224
104/04/30,2685559,7.53,7.54,7.51,7.54,0.01,800,20224377
104/05/04,2000516,7.55,7.57,7.52,7.52,-0.02,439,15074368
104/05/05,2706114,7.52,7.55,7.41,7.46,-0.06,579,20210792
104/05/06,2189649,7.44,7.49,7.38,7.49,0.03,667,16285453
104/05/07,1271931,7.49,7.49,7.43,7.46,-0.03,420,9480730
104/05/08,2927819,7.45,7.48,7.42,7.46,,458,21778708
104/05/11,4321224,7.46,7.50,7.39,7.39,-0.07,588,32129001
104/05/12,2364718,7.39,7.43,7.35,7.39,,464,17450134
104/05/13,2916194,7.40,7.44,7.36,7.36,-0.03,422,21577775
104/05/14,2298700,7.37,7.41,7.34,7.39,0.03,415,16943835
104/05/15,67895627,7.90,7.90,7.65,7.78,0.39,7764,529783095
104/05/18,16447695,7.85,7.85,7.71,7.72,-0.06,2496,128079827
104/05/19,8536086,7.71,7.73,7.66,7.69,-0.03,1359,65722005
104/05/20,11463606,7.69,7.80,7.68,7.78,0.09,1976,88905703
104/05/21,5656194,7.80,7.83,7.71,7.77,-0.01,1129,43925715
104/05/22,4118357,7.76,7.79,7.72,7.72,-0.05,905,31918842
104/05/25,3796696,7.73,7.75,7.67,7.68,-0.04,886,29217647
104/05/26,3258585,7.68,7.74,7.65,7.66,-0.02,857,25026895
104/05/27,3658438,7.66,7.70,7.62,7.66,,867,28046045
104/05/28,4321734,7.67,7.76,7.66,7.76,0.10,1241,33336127
104/05/29,24770272,7.76,8.03,7.75,7.91,0.15,4162,196256057
104/06/01,5568530,7.91,7.96,7.82,7.82,-0.09,1121,43785054
104/06/02,6014416,7.83,7.92,7.80,7.88,0.06,1615,47276841
104/06/03,6947914,7.91,7.97,7.88,7.88,,2041,55061880
104/06/04,9234286,7.92,7.95,7.75,7.79,-0.09,2060,72409768
104/06/05,6943468,7.80,7.85,7.68,7.72,-0.07,1514,53760076
104/06/08,4437245,7.72,7.78,7.71,7.75,0.03,1168,34343861
104/06/09,10998490,7.75,7.76,7.50,7.56,-0.19,1917,84052227
104/06/10,10756114,7.60,7.76,7.60,7.69,0.13,1638,82863213
104/06/11,9969293,7.80,7.89,7.76,7.81,0.12,2525,78076942
104/06/12,23884637,7.88,8.15,7.86,8.10,0.29,4725,192597343
104/06/15,13873381,8.30,8.30,8.11,8.14,0.04,2956,113682506
104/06/16,7799692,8.14,8.19,8.00,8.01,-0.13,1584,62868476
104/06/17,16275916,8.14,8.27,8.06,8.22,0.21,3739,133368388
104/06/18,12074137,8.25,8.29,8.11,8.14,-0.08,2566,99201044
104/06/22,6527293,8.24,8.24,8.14,8.16,0.02,1511,53393720
104/06/23,14699441,8.25,8.35,8.21,8.27,0.11,3334,121998090
104/06/24,8683941,8.33,8.39,8.22,8.28,0.01,2262,71954589
104/06/25,6164425,8.30,8.32,8.19,8.21,-0.07,1740,50816029
104/06/26,5635355,8.24,8.27,8.18,8.22,0.01,960,46247550
104/06/29,7428009,8.20,8.20,8.07,8.10,-0.12,1529,60256461
104/06/30,7718997,8.10,8.26,8.10,8.25,0.15,1695,63218970
104/07/01,3683298,8.28,8.28,8.18,8.23,-0.02,1083,30348177
104/07/02,4908887,8.27,8.28,8.23,8.24,0.01,1210,40511409
104/07/03,9275540,8.27,8.35,8.19,8.30,0.06,2976,76825729
104/07/06,4571016,8.34,8.34,8.21,8.22,-0.08,1017,37813296
104/07/07,4905150,8.25,8.29,8.17,8.18,-0.04,1498,40313008
104/07/08,9089444,8.33,8.33,8.08,8.10,-0.08,2168,74354458
104/07/09,8669045,8.08,8.10,7.88,8.06,-0.04,1667,69613478
104/07/13,8154200,8.29,8.30,8.18,8.20,0.14,1856,67325002
104/07/14,34197484,8.34,8.70,8.30,8.64,0.44,6479,292143990
104/07/15,16986090,8.72,8.77,8.60,8.61,-0.03,3866,147331623
104/07/16,8413098,8.61,8.66,8.48,8.51,-0.10,2311,71871003
104/07/17,14972180,8.53,8.74,8.53,8.71,0.20,3145,129922927
104/07/20,11334969,8.81,8.92,8.75,8.75,0.04,2469,100040891
104/07/21,7963167,8.81,8.83,8.64,8.71,-0.04,1490,69600990
104/07/22,9043219,8.73,8.83,8.68,8.80,0.09,1914,79436988
104/07/23,12843156,8.83,8.84,8.60,8.78,-0.02,2420,112449314
104/07/24,4724829,8.82,8.82,8.71,8.72,-0.06,1365,41393956
104/07/27,16196642,8.79,8.79,8.06,8.12,-0.60,3180,135746023
104/07/28,10302722,8.10,8.47,8.10,8.40,0.28,2689,85666510
104/07/29,7598031,8.49,8.56,8.41,8.52,0.12,1720,64535694
104/07/30,5869570,8.63,8.65,8.56,8.56,0.04,1744,50488362
104/07/31,4860878,8.64,8.64,8.56,8.56,,1594,41837152
104/08/03,6318600,8.57,8.63,8.43,8.53,-0.03,1974,54078686
104/08/04,6283660,8.61,8.70,8.50,8.55,0.02,1583,54104725
104/08/05,10777848,8.64,8.83,8.60,8.82,0.27,2325,93980637
104/08/06,8476885,8.86,8.89,8.62,8.65,-0.17,2195,74373161
104/08/07,7873651,8.65,8.85,8.63,8.85,0.20,1989,69205770
104/08/10,24832324,8.87,9.17,8.85,9.04,0.19,4293,224271484
104/08/11,12016329,9.15,9.15,8.82,8.83,-0.21,3208,107928040
104/08/12,7954378,8.85,8.94,8.75,8.82,-0.01,1942,70305379
104/08/13,8198107,8.83,8.90,8.67,8.82,,2248,72054893
104/08/14,10577668,8.90,9.00,8.88,8.90,0.08,2109,94535328
104/08/17,4884292,8.98,8.98,8.76,8.76,-0.14,1356,43156460
104/08/18,9522998,8.84,8.93,8.80,8.88,0.12,3134,84519180
104/08/19,13765566,8.92,8.96,8.54,8.56,-0.32,3547,119754141
104/08/20,25132617,8.40,8.42,7.95,8.06,-0.50,4929,205310044
104/08/21,13932031,7.95,7.95,7.68,7.69,-0.37,3046,108620679
104/08/24,17185555,7.26,7.50,6.95,7.02,-0.67,3685,123151462
104/08/25,12280156,6.96,7.67,6.96,7.55,0.53,3344,91001343
104/08/26,7727012,7.55,7.55,7.30,7.46,-0.09,2473,57355512
104/08/27,11377146,7.46,7.47,7.34,7.39,-0.07,2886,84223062
104/08/28,7964961,7.44,7.56,7.44,7.53,0.14,2204,59711339
104/08/31,5591654,7.52,7.52,7.40,7.50,-0.03,1494,41636440
104/09/01,7245229,7.49,7.59,7.46,7.54,0.04,1752,54584317
104/09/02,4137871,7.45,7.52,7.43,7.52,-0.02,1433,30961918
104/09/03,6091474,7.57,7.57,7.47,7.52,,1745,45845339
104/09/04,5445541,7.54,7.63,7.50,7.51,-0.01,1338,41122286
104/09/07,2358181,7.50,7.55,7.47,7.50,-0.01,551,17706635
104/09/08,3075535,7.50,7.57,7.49,7.49,-0.01,896,23121719
104/09/09,7158459,7.55,7.68,7.55,7.66,0.17,1565,54711898
104/09/10,7094433,7.66,7.85,7.56,7.78,0.12,1716,54813910
104/09/11,7365712,7.80,7.82,7.73,7.76,-0.02,1715,57259598
104/09/14,5743739,7.63,7.69,7.60,7.60,X,1290,43835563
