第一店          ,	2706
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,126732,20.00,20.00,19.85,19.90,-0.15,102,2526877
104/01/06,103664,19.85,19.95,19.80,19.90,,91,2059296
104/01/07,77326,19.85,20.00,19.80,19.90,,72,1536469
104/01/08,133600,19.85,20.00,19.85,19.90,,82,2659509
104/01/09,109004,19.95,20.00,19.85,19.95,0.05,76,2170527
104/01/12,121700,19.90,20.05,19.85,19.95,,96,2427364
104/01/13,110357,19.95,20.00,19.85,20.00,0.05,102,2201602
104/01/14,154623,20.00,20.10,19.90,20.05,0.05,101,3087247
104/01/15,198548,20.00,20.20,19.90,20.10,0.05,128,3968660
104/01/16,187940,20.00,20.20,19.90,20.10,,151,3756150
104/01/19,111328,20.10,20.20,19.95,20.10,,98,2232510
104/01/20,125524,20.10,20.20,19.95,20.10,,88,2519380
104/01/21,201342,20.20,20.20,19.95,20.15,0.05,153,4040190
104/01/22,198280,20.20,20.20,19.95,20.05,-0.10,144,3980833
104/01/23,82782,20.10,20.20,19.95,20.00,-0.05,65,1657859
104/01/26,435013,20.00,20.20,19.95,20.00,,129,8703207
104/01/27,87542,20.05,20.15,20.00,20.10,0.10,61,1755240
104/01/28,72886,20.00,20.10,19.95,20.10,,46,1458130
104/01/29,214182,20.10,20.15,19.95,20.15,0.05,110,4293140
104/01/30,78660,20.15,20.15,20.00,20.10,-0.05,52,1574850
104/02/02,35567,20.10,20.15,20.05,20.10,,28,714053
104/02/03,100220,20.15,20.15,20.00,20.10,,56,2012600
104/02/04,89735,20.00,20.10,20.00,20.00,-0.10,42,1795424
104/02/05,79005,20.05,20.10,20.00,20.00,,29,1580645
104/02/06,115470,20.00,20.05,20.00,20.05,0.05,35,2310700
104/02/09,143575,20.05,20.05,20.00,20.05,,27,2872100
104/02/10,128099,20.05,20.20,20.05,20.20,0.15,81,2577832
104/02/11,55134,20.20,20.20,20.05,20.05,-0.15,34,1109132
104/02/12,114869,20.10,20.20,20.10,20.15,0.10,52,2311610
104/02/13,58344,20.15,20.15,20.10,20.15,,31,1173563
104/02/24,114698,20.20,20.35,20.20,20.25,0.10,56,2321097
104/02/25,66935,20.25,20.30,20.15,20.25,,54,1353385
104/02/26,116637,20.25,20.30,20.15,20.25,,62,2357352
104/03/02,97672,20.20,20.20,20.10,20.10,-0.15,41,1967455
104/03/03,239038,20.10,20.20,20.00,20.20,0.10,90,4783210
104/03/04,36790,20.00,20.20,20.00,20.20,,29,741976
104/03/05,58369,20.20,20.20,20.10,20.15,-0.05,25,1175632
104/03/06,126375,20.15,20.20,20.00,20.15,,44,2531900
104/03/09,92332,20.05,20.30,20.05,20.20,0.05,64,1859286
104/03/10,282194,20.20,20.30,20.10,20.30,0.10,87,5702247
104/03/11,89981,20.30,20.30,20.10,20.25,-0.05,81,1816865
104/03/12,334581,20.25,20.80,20.15,20.55,0.30,199,6856678
104/03/13,154725,20.50,20.60,20.50,20.60,0.05,94,3181134
104/03/16,287806,20.60,20.85,20.60,20.80,0.20,145,5969980
104/03/17,139529,20.80,20.85,20.70,20.80,,100,2895993
104/03/18,227098,20.80,20.85,20.60,20.75,-0.05,131,4702816
104/03/19,135193,20.80,20.80,20.65,20.80,0.05,109,2803772
104/03/20,158015,20.70,20.95,20.65,20.90,0.10,97,3282306
104/03/23,98915,20.90,20.95,20.80,20.90,,62,2064055
104/03/24,91945,20.90,20.90,20.60,20.80,-0.10,69,1907111
104/03/25,88461,20.85,20.85,20.65,20.65,-0.15,52,1833821
104/03/26,97164,20.60,20.80,20.60,20.80,0.15,77,2015233
104/03/27,327558,20.65,21.25,20.65,21.00,0.20,186,6854728
104/03/30,93466,20.90,21.00,20.80,21.00,,71,1956988
104/03/31,135444,21.00,21.15,20.90,21.05,0.05,81,2844375
104/04/01,182111,20.95,21.15,20.85,21.05,,121,3821614
104/04/02,62480,21.05,21.05,20.85,21.05,,58,1311303
104/04/07,172062,21.00,21.05,20.80,21.05,,98,3598891
104/04/08,273767,21.00,21.45,20.85,21.25,0.20,147,5763507
104/04/09,276085,21.25,21.30,21.00,21.25,,189,5848225
104/04/10,150943,21.20,21.30,21.05,21.30,0.05,118,3198642
104/04/13,120219,21.30,21.40,21.10,21.40,0.10,76,2565152
104/04/14,151018,21.30,21.40,21.20,21.40,,143,3222918
104/04/15,368621,21.30,21.40,20.95,21.30,-0.10,280,7796600
104/04/16,577074,21.05,21.30,20.90,21.10,-0.20,352,12153604
104/04/17,70920,21.10,21.10,20.95,21.00,-0.10,69,1493720
104/04/20,86932,21.10,21.10,20.85,21.05,0.05,63,1823076
104/04/21,135994,21.05,21.10,20.85,21.00,-0.05,112,2850174
104/04/22,73483,21.05,21.05,20.85,21.00,,38,1539294
104/04/23,141722,20.90,21.05,20.85,21.00,,116,2969235
104/04/24,251447,21.00,21.20,21.00,21.15,0.15,177,5312437
