信邦            ,	3023
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1153755,44.30,44.75,43.90,44.60,0.30,712,51139368
104/01/06,872600,44.20,44.55,44.00,44.15,-0.45,609,38622937
104/01/07,788716,44.20,44.50,44.05,44.35,0.20,506,34924358
104/01/08,889210,44.80,44.80,44.40,44.70,0.35,564,39626031
104/01/09,5602207,44.80,46.20,44.80,45.70,1.00,2847,255771865
104/01/12,1793478,45.60,45.60,44.85,44.90,-0.80,1091,80979301
104/01/13,1240202,44.80,45.05,44.35,44.40,-0.50,775,55383991
104/01/14,1362818,44.80,44.90,44.35,44.70,0.30,626,60786995
104/01/15,599807,44.70,45.00,44.50,44.65,-0.05,425,26766155
104/01/16,1215600,44.65,44.80,43.95,43.95,-0.70,753,53701300
104/01/19,1249212,44.25,44.35,43.65,43.80,-0.15,825,54839424
104/01/20,1152134,43.80,44.45,43.65,44.35,0.55,677,50921383
104/01/21,512042,44.05,44.50,44.05,44.10,-0.25,344,22638103
104/01/22,2075822,44.20,45.40,44.20,45.10,1.00,1286,93279140
104/01/23,1449096,45.30,45.30,44.60,44.65,-0.45,807,64949176
104/01/26,493671,44.65,44.85,44.50,44.50,-0.15,330,22032404
104/01/27,599374,44.70,44.85,44.45,44.45,-0.05,424,26734481
104/01/28,1333711,44.50,45.40,44.50,45.10,0.65,732,60028063
104/01/29,695226,45.10,45.20,44.80,44.85,-0.25,427,31229070
104/01/30,1499245,44.90,45.55,44.90,45.20,0.35,839,67818421
104/02/02,1245521,45.60,45.65,45.10,45.35,0.15,696,56453300
104/02/03,1304604,45.40,45.55,45.30,45.50,0.15,674,59287398
104/02/04,1835802,45.90,45.95,45.65,45.95,0.45,1003,84086777
104/02/05,3322353,45.90,47.00,45.60,46.35,0.40,1631,153869236
104/02/06,3222134,46.90,47.30,46.30,46.30,-0.05,1641,150512445
104/02/09,1153937,46.50,46.55,45.85,45.85,-0.45,659,53132696
104/02/10,827811,45.95,46.20,45.70,45.75,-0.10,555,38002586
104/02/11,666036,45.80,46.25,45.80,45.90,0.15,367,30590520
104/02/12,683781,46.00,46.05,45.65,45.90,,410,31363108
104/02/13,2206408,45.95,46.90,45.70,46.60,0.70,1223,102576003
104/02/24,3423982,47.05,47.70,46.80,47.20,0.60,1651,161892544
104/02/25,1463815,47.50,47.50,46.90,47.00,-0.20,769,68978455
104/02/26,2187097,47.20,48.10,47.05,47.60,0.60,1151,104389339
104/03/02,2257412,48.00,48.90,47.60,48.00,0.40,1437,109079908
104/03/03,1179806,48.15,48.25,47.50,47.65,-0.35,660,56402243
104/03/04,1390291,48.00,48.40,47.75,48.00,0.35,773,66787968
104/03/05,2854406,48.10,48.95,47.85,48.45,0.45,1291,138512870
104/03/06,3488378,49.20,49.20,48.60,48.90,0.45,1873,170917314
104/03/09,1475070,48.65,49.20,48.10,49.05,0.15,853,71992630
104/03/10,2422136,49.05,49.60,48.85,49.20,0.15,1398,119533783
104/03/11,1543558,48.80,49.50,48.25,49.50,0.30,932,75923822
104/03/12,6441952,49.70,51.60,49.70,50.80,1.30,3457,327771386
104/03/13,3620359,51.50,51.90,50.50,50.80,,1788,185118814
104/03/16,3069659,50.80,50.80,49.80,50.10,-0.70,1695,154043191
104/03/17,3414136,50.40,51.50,50.20,50.40,0.30,1714,173487921
104/03/18,1367291,50.90,51.00,50.00,50.30,-0.10,878,69087284
104/03/19,3977049,50.70,51.70,50.70,51.60,1.30,2030,203947471
104/03/20,3870130,52.80,52.80,52.00,52.10,0.50,2139,202771247
104/03/23,2099359,52.50,52.50,51.30,51.40,-0.70,1365,108867503
104/03/24,922091,51.60,51.90,51.10,51.50,0.10,648,47439349
104/03/25,1612819,51.50,51.50,50.50,50.60,-0.90,1077,81999644
104/03/26,1563412,50.20,50.60,49.95,50.30,-0.30,876,78598675
104/03/27,1390064,50.50,51.10,50.30,50.50,0.20,900,70356190
104/03/30,1332385,50.90,51.20,50.00,50.60,0.10,874,67366524
104/03/31,1305209,50.80,51.40,50.30,51.00,0.40,768,66309859
104/04/01,1689055,50.80,52.00,50.50,52.00,1.00,1106,86971760
104/04/02,1722672,52.00,52.10,51.10,51.50,-0.50,1103,88809765
104/04/07,5258379,51.70,55.00,51.60,54.00,2.50,2654,280078766
104/04/08,3846479,54.00,54.40,53.10,54.20,0.20,2334,207013020
104/04/09,3742247,54.50,55.00,52.50,52.70,-1.50,2228,201522108
104/04/10,1673046,53.10,53.40,52.40,53.10,0.40,1038,88389632
104/04/13,2215300,53.50,53.80,52.90,53.40,0.30,1330,118049388
104/04/14,1810026,53.30,53.30,52.80,52.80,-0.60,1040,95806851
104/04/15,1056962,52.80,53.30,52.50,52.50,-0.30,747,55819585
104/04/16,1811778,52.60,53.30,52.20,52.90,0.40,1137,95568747
104/04/17,1686921,52.90,53.00,51.80,51.90,-1.00,1000,88045963
104/04/20,2098926,51.60,51.80,50.60,51.20,-0.70,1164,107311996
