昇貿            ,	3305
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,283448,32.70,33.50,32.65,33.25,0.60,151,9386021
104/01/06,419568,33.00,33.90,32.85,33.80,0.55,225,13958467
104/01/07,924493,33.80,34.85,33.75,34.35,0.55,535,31797957
104/01/08,324002,34.50,34.50,34.00,34.05,-0.30,196,11083968
104/01/09,167596,34.40,34.40,33.80,34.00,-0.05,113,5687699
104/01/12,228008,33.60,33.90,33.40,33.55,-0.45,130,7652117
104/01/13,168130,33.30,33.80,33.25,33.45,-0.10,126,5646638
104/01/14,262667,33.80,33.85,33.35,33.70,0.25,138,8827621
104/01/15,386454,33.50,34.15,33.50,33.80,0.10,180,13116640
104/01/16,256058,34.00,34.00,33.55,33.65,-0.15,154,8631736
104/01/19,386103,34.10,34.10,33.00,33.10,-0.55,161,12919458
104/01/20,155650,33.10,33.25,32.90,33.25,0.15,93,5159145
104/01/21,122614,33.25,33.30,33.00,33.05,-0.20,94,4053890
104/01/22,88811,33.10,33.25,33.05,33.20,0.15,77,2941091
104/01/23,198133,33.45,33.50,32.75,33.10,-0.10,96,6583589
104/01/26,123057,33.40,33.40,33.00,33.10,,73,4079533
104/01/27,222969,33.15,33.20,32.90,32.90,-0.20,133,7357573
104/01/28,114681,32.80,33.00,32.80,32.85,-0.05,74,3764083
104/01/29,89605,32.85,32.95,32.80,32.95,0.10,55,2947679
104/01/30,163964,33.00,33.45,33.00,33.10,0.15,118,5441263
104/02/02,89206,33.00,33.10,32.75,32.90,-0.20,56,2936353
104/02/03,98671,33.00,33.00,32.65,32.80,-0.10,60,3238123
104/02/04,124071,33.00,33.00,32.70,32.80,,61,4075117
104/02/05,41852,32.90,32.95,32.70,32.85,0.05,38,1372469
104/02/06,67351,33.00,33.10,32.85,32.85,,48,2216936
104/02/09,35258,32.90,32.90,32.70,32.75,-0.10,35,1155993
104/02/10,208003,32.85,32.90,32.50,32.50,-0.25,140,6785095
104/02/11,69316,32.50,32.75,32.30,32.35,-0.15,54,2252754
104/02/12,79500,32.35,32.50,32.30,32.35,,53,2573797
104/02/13,154596,32.60,32.70,32.40,32.45,0.10,96,5029186
104/02/24,142152,32.70,32.70,32.30,32.30,-0.15,94,4624656
104/02/25,232925,32.50,32.50,32.00,32.05,-0.25,143,7506792
104/02/26,190915,32.05,32.25,31.95,32.15,0.10,129,6128064
104/03/02,71139,32.25,32.25,32.15,32.25,0.10,84,2290180
104/03/03,64256,32.40,32.40,32.25,32.30,0.05,61,2076665
104/03/04,76271,32.20,32.45,32.05,32.20,-0.10,69,2462770
104/03/05,48757,32.25,32.40,32.25,32.35,0.15,48,1576624
104/03/06,175608,32.40,32.90,32.40,32.65,0.30,138,5742584
104/03/09,95911,32.60,32.60,32.40,32.50,-0.15,108,3118534
104/03/10,95233,32.20,32.60,32.20,32.40,-0.10,69,3089322
104/03/11,168679,32.15,32.30,32.15,32.20,-0.20,112,5434524
104/03/12,214773,32.20,32.50,32.15,32.25,0.05,117,6932086
104/03/13,211760,32.25,32.80,32.25,32.60,0.35,130,6900941
104/03/16,240881,32.60,32.70,32.40,32.50,-0.10,122,7847783
104/03/17,670744,33.30,33.40,32.85,33.00,0.50,373,22206802
104/03/18,289563,33.00,33.30,33.00,33.20,0.20,183,9610330
104/03/19,343419,33.35,33.40,33.15,33.40,0.20,199,11421704
104/03/20,366372,33.45,33.70,33.35,33.50,0.10,214,12285444
104/03/23,285102,33.60,33.60,33.05,33.05,-0.45,190,9480228
104/03/24,250707,33.15,33.30,32.90,33.10,0.05,137,8285581
104/03/25,114872,33.10,33.40,33.05,33.10,,92,3809710
104/03/26,108631,33.00,33.30,32.90,33.10,,90,3591031
104/03/27,318019,33.20,33.75,33.20,33.30,0.20,208,10644577
104/03/30,149239,33.50,33.50,33.00,33.10,-0.20,135,4940305
104/03/31,149616,33.20,33.35,32.95,33.20,0.10,104,4955796
104/04/01,117254,33.00,33.15,32.90,32.95,-0.25,70,3870382
104/04/02,168128,32.95,33.35,32.95,33.15,0.20,79,5561933
104/04/07,188078,33.35,33.60,33.30,33.35,0.20,149,6281289
104/04/08,90664,33.40,33.55,33.35,33.50,0.15,131,3032161
104/04/09,171846,33.50,33.65,33.30,33.35,-0.15,129,5749956
104/04/10,274935,33.20,33.35,33.00,33.10,-0.25,138,9107605
104/04/13,212212,33.10,33.10,32.95,33.00,-0.10,132,7008405
104/04/14,111314,33.00,33.40,33.00,33.35,0.35,73,3699923
104/04/15,131487,33.35,33.35,32.95,33.00,-0.35,112,4351290
104/04/16,109795,33.00,33.15,33.00,33.10,0.10,76,3629012
104/04/17,153432,33.10,33.10,32.90,32.90,-0.20,103,5059706
104/04/20,117730,32.90,33.00,32.70,32.70,-0.20,94,3857385
104/04/21,151006,32.70,32.80,32.50,32.50,-0.20,105,4925842
104/04/22,244684,32.65,32.65,32.20,32.20,-0.30,159,7913474
104/04/23,132654,32.25,32.60,32.25,32.55,0.35,105,4301977
104/04/24,124630,32.60,32.90,32.55,32.55,,108,4074850
104/04/27,90361,32.45,32.85,32.45,32.80,0.25,82,2954714
104/04/28,123114,32.80,32.90,32.50,32.70,-0.10,106,4027857
104/04/29,113420,32.70,32.80,32.50,32.50,-0.20,105,3700804
104/04/30,87685,32.85,32.85,32.50,32.75,0.25,74,2861280
104/05/04,141135,32.80,32.80,32.30,32.70,-0.05,104,4601953
104/05/05,94219,32.55,32.60,32.30,32.45,-0.25,59,3059237
104/05/06,56403,32.25,32.55,32.25,32.40,-0.05,52,1826156
104/05/07,145097,32.35,32.40,31.90,32.00,-0.40,102,4664791
104/05/08,161578,32.05,32.15,31.80,32.05,0.05,119,5162346
104/05/11,198135,32.40,32.40,31.45,31.70,-0.35,158,6272374
104/05/12,164310,31.40,31.90,31.30,31.90,0.20,124,5178080
104/05/13,26731,31.95,32.00,31.80,31.95,0.05,30,852964
104/05/14,1268942,31.00,31.00,29.75,29.85,-2.10,649,38099044
104/05/15,694887,29.55,29.85,28.85,29.30,-0.55,323,20299362
104/05/18,518478,29.10,29.10,28.35,28.35,-0.95,265,14866612
104/05/19,134470,28.40,28.95,28.40,28.70,0.35,162,3864017
104/05/20,139081,28.90,29.20,28.80,29.10,0.40,84,4031700
104/05/21,126156,29.00,29.10,28.80,29.00,-0.10,66,3654524
104/05/22,160369,29.00,29.10,28.70,28.75,-0.25,93,4624690
104/05/25,105695,28.75,29.10,28.75,29.00,0.25,58,3061535
104/05/26,126781,29.00,29.00,28.75,29.00,,62,3659159
104/05/27,53643,29.00,29.40,29.00,29.00,,40,1563832
104/05/28,93376,29.15,29.60,29.15,29.50,0.50,70,2742364
104/05/29,116460,29.50,29.55,29.30,29.50,,63,3420868
104/06/01,104106,29.35,29.35,29.00,29.05,-0.45,63,3036504
104/06/02,108304,29.30,29.30,29.05,29.10,0.05,50,3156290
104/06/03,44505,29.10,29.30,29.05,29.15,0.05,29,1297419
104/06/04,143819,29.15,29.15,28.60,28.80,-0.35,87,4158071
104/06/05,185134,28.70,28.80,28.40,28.55,-0.25,104,5290417
104/06/08,221022,28.15,28.50,28.05,28.05,-0.50,89,6227427
104/06/09,440983,28.05,28.30,27.50,27.55,-0.50,176,12254278
104/06/10,266342,27.00,27.65,27.00,27.65,0.10,139,7266387
104/06/11,92673,27.55,27.75,27.50,27.75,0.10,63,2561608
104/06/12,215262,25.00,27.20,25.00,27.20,-0.55,118,5726069
104/06/15,214699,27.20,27.90,27.20,27.70,0.50,85,5942160
104/06/16,293034,27.70,27.80,27.45,27.65,-0.05,92,8106134
104/06/17,85109,27.65,27.65,27.35,27.50,-0.15,57,2337669
104/06/18,144957,27.40,27.80,27.40,27.75,0.25,62,3991414
104/06/22,242167,27.70,28.40,27.65,28.00,0.25,89,6769346
104/06/23,191005,28.45,28.45,28.05,28.15,0.15,68,5400192
104/06/24,75017,28.20,28.30,28.00,28.20,0.05,57,2111627
104/06/25,247741,28.25,28.40,28.00,28.00,-0.20,109,6958548
104/06/26,406964,28.00,28.60,27.90,28.35,0.35,179,11558176
104/06/29,166100,26.60,26.60,26.15,26.15,X,123,4393174
104/06/30,54369,26.10,26.10,25.70,26.10,-0.05,35,1411911
104/07/01,56292,26.10,26.30,26.05,26.15,0.05,34,1472900
104/07/02,57400,26.40,26.50,26.15,26.15,,36,1510039
104/07/03,42002,26.15,26.30,26.05,26.30,0.15,37,1099002
104/07/06,113280,26.05,26.05,25.85,25.85,-0.45,58,2935922
104/07/07,38016,25.85,26.00,25.80,25.85,,21,982967
104/07/08,196127,24.85,25.50,24.55,24.60,-1.25,119,4868793
104/07/09,267183,24.55,24.60,23.90,24.55,-0.05,143,6469777
104/07/13,206152,26.00,26.85,25.60,26.10,1.55,133,5421359
104/07/14,143196,26.10,26.95,25.65,26.30,0.20,109,3791423
104/07/15,427441,26.65,27.65,26.50,27.65,1.35,258,11590025
104/07/16,273001,27.95,28.10,27.55,27.70,0.05,127,7584224
104/07/17,83983,27.70,27.95,27.10,27.50,-0.20,59,2293132
104/07/20,102256,28.00,28.00,27.40,27.50,,66,2818725
104/07/21,113261,27.70,27.70,27.10,27.30,-0.20,46,3091377
104/07/22,73548,27.70,27.70,27.00,27.35,0.05,46,2011354
104/07/23,163016,27.35,27.70,26.60,27.40,0.05,73,4456585
104/07/24,75257,27.40,27.40,26.80,26.90,-0.50,28,2038361
104/07/27,81194,26.80,27.40,25.10,26.70,-0.20,60,2157327
104/07/28,175837,24.70,26.55,24.70,26.55,-0.15,104,4551037
104/07/29,88269,26.70,26.95,26.05,26.25,-0.30,46,2334847
104/07/30,61116,26.00,26.60,26.00,26.25,,27,1617339
104/07/31,137328,26.60,27.15,26.25,26.60,0.35,93,3675258
104/08/03,89110,27.00,27.10,26.30,26.55,-0.05,47,2374269
104/08/04,87828,26.55,26.55,25.30,25.60,-0.95,71,2273844
104/08/05,48004,25.60,25.90,25.35,25.85,0.25,26,1233700
104/08/06,32088,25.85,26.45,25.40,25.45,-0.40,29,825683
104/08/07,69241,25.50,25.65,25.20,25.45,,43,1755532
104/08/10,47025,25.70,25.70,25.25,25.50,0.05,18,1198743
104/08/11,80886,25.60,25.70,25.00,25.00,-0.50,63,2054051
104/08/12,26531,24.90,25.45,24.90,24.90,-0.10,29,663391
104/08/13,22030,24.95,25.00,24.80,24.90,,13,547552
104/08/14,27912,25.00,25.10,24.55,25.00,0.10,21,693806
104/08/17,165667,24.60,25.20,24.10,24.40,-0.60,73,4084506
104/08/18,140008,24.00,24.35,22.85,23.00,-1.40,106,3314580
104/08/19,682394,22.35,23.00,20.75,20.85,-2.15,281,14543411
104/08/20,291061,21.00,21.50,20.15,21.25,0.40,150,6087904
104/08/21,591545,20.55,21.10,19.60,20.00,-1.25,289,11934317
104/08/24,857442,19.00,20.00,18.00,18.50,-1.50,302,15866328
104/08/25,575675,17.60,20.35,17.60,20.00,1.50,286,11533779
104/08/26,667067,19.50,22.00,19.40,22.00,2.00,297,14429424
104/08/27,744298,22.00,24.20,21.80,23.85,1.85,391,17631041
104/08/28,1075938,24.00,26.20,24.00,25.80,1.95,527,27664153
104/08/31,399548,26.00,26.00,24.50,25.30,-0.50,267,10052460
104/09/01,127207,24.60,25.20,24.60,24.80,-0.50,89,3164481
104/09/02,267110,24.50,25.85,24.30,25.20,0.40,172,6758065
104/09/03,144276,25.20,25.35,24.65,24.70,-0.50,87,3589314
104/09/04,127408,24.60,25.05,24.40,24.40,-0.30,87,3140233
104/09/07,797000,24.40,26.20,23.70,25.60,1.20,405,20227199
104/09/08,218300,24.90,25.65,24.80,25.10,-0.50,109,5513528
104/09/09,238569,25.50,26.20,25.00,25.00,-0.10,145,6110116
104/09/10,67000,25.10,25.10,24.75,24.75,-0.25,37,1665450
104/09/11,66855,24.60,25.00,24.45,24.75,,47,1648409
104/09/14,96360,24.80,24.80,24.35,24.35,-0.40,58,2359696
104/09/15,39040,24.35,24.50,24.10,24.35,,32,950132
104/09/16,81046,24.20,24.30,24.05,24.05,-0.30,48,1961508
104/09/17,45000,24.75,24.80,24.40,24.50,0.45,31,1103200
104/09/18,44707,24.25,24.55,24.25,24.45,-0.05,38,1090383
104/09/21,126286,24.45,24.45,23.80,23.85,-0.60,53,3023664
104/09/22,75283,24.00,24.25,23.85,24.25,0.40,44,1808196
104/09/23,104007,24.35,24.35,23.20,23.50,-0.75,64,2459464
104/09/24,49059,23.90,23.90,23.00,23.00,-0.50,34,1131857
104/09/25,31001,23.00,23.70,23.00,23.30,0.30,20,720973
104/09/30,43075,23.30,23.50,23.30,23.50,0.20,8,1011961
104/10/01,26009,23.60,24.10,23.60,23.90,0.40,22,622013
104/10/02,68168,23.75,24.10,23.75,23.90,,34,1633545
104/10/05,44392,24.10,24.10,23.90,24.10,0.20,26,1068108
104/10/06,21204,24.20,24.20,23.80,23.80,-0.30,22,508904
104/10/07,45972,23.80,24.10,23.80,23.80,,31,1098533
104/10/08,28003,23.85,23.85,23.40,23.40,-0.40,29,664119
104/10/12,58107,23.40,23.45,23.00,23.05,-0.35,42,1345677
104/10/13,31690,23.15,23.60,23.15,23.55,0.50,27,742345
104/10/14,46006,23.55,23.60,23.20,23.20,-0.35,34,1077989
104/10/15,26043,23.00,23.65,23.00,23.30,0.10,21,606151
104/10/16,28244,23.30,23.50,23.20,23.40,0.10,25,659234
104/10/19,174815,23.40,24.65,23.40,24.25,0.85,105,4197472
104/10/20,102000,24.40,24.65,24.25,24.35,0.10,63,2486200
104/10/21,18541,24.50,24.50,24.05,24.15,-0.20,20,447410
104/10/22,35003,24.15,24.25,23.90,24.00,-0.15,28,842872
104/10/23,86312,24.30,24.35,24.20,24.25,0.25,52,2096099
104/10/26,47813,24.50,24.50,24.20,24.45,0.20,36,1161653
104/10/27,45234,24.20,24.30,24.00,24.30,-0.15,35,1089011
104/10/28,18186,24.40,24.40,24.00,24.05,-0.25,22,440864
104/10/29,25219,24.35,24.35,23.90,24.00,-0.05,19,605684
104/10/30,36109,23.95,24.25,23.85,23.90,-0.10,27,863392
104/11/02,63050,23.90,23.90,23.80,23.85,-0.05,24,1503242
104/11/03,72206,23.90,24.50,23.90,24.15,0.30,46,1752463
