揚明光          ,	3504
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,270303,56.50,57.00,56.00,56.70,0.20,208,15277040
104/01/06,281089,56.00,56.50,55.20,55.50,-1.20,212,15663392
104/01/07,895104,55.90,57.80,55.50,56.60,1.10,702,51222137
104/01/08,1088148,60.50,60.50,59.80,60.50,3.90,546,65782853
104/01/09,2175411,61.00,61.30,59.50,60.30,-0.20,1334,131328660
104/01/12,2368034,61.00,62.50,59.20,59.20,-1.10,1345,145088035
104/01/13,3579215,59.20,63.30,59.00,63.30,4.10,2223,222383108
104/01/14,3519273,63.30,66.10,63.20,64.10,0.80,2223,228178380
104/01/15,1506153,64.50,64.90,62.60,63.00,-1.10,1007,95736869
104/01/16,1209050,64.00,64.10,61.30,61.90,-1.10,890,76219609
104/01/19,984009,63.10,63.30,60.10,60.80,-1.10,632,60414652
104/01/20,2487379,61.20,65.00,61.00,65.00,4.20,1511,159185335
104/01/21,2794653,66.30,67.60,64.30,64.70,-0.30,1897,184591284
104/01/22,1028100,65.00,65.20,64.10,64.50,-0.20,698,66580570
104/01/23,3335210,65.30,67.50,65.10,66.50,2.00,2163,222698948
104/01/26,1249050,66.60,67.20,65.80,66.60,0.10,826,83266025
104/01/27,3585754,66.70,70.60,66.70,69.90,3.30,2280,248812777
104/01/28,1372539,69.90,70.20,68.40,68.40,-1.50,993,95135152
104/01/29,3008296,68.00,71.50,68.00,68.90,0.50,2026,210121753
104/01/30,1899000,69.90,70.20,66.80,66.90,-2.00,1326,128892299
104/02/02,1886100,66.10,67.30,63.60,64.80,-2.10,1327,122687970
104/02/03,1133400,65.40,66.40,65.00,65.00,0.20,781,74377779
104/02/04,817206,66.20,66.30,64.60,64.80,-0.20,549,53334248
104/02/05,558400,65.00,65.50,64.20,64.80,,401,36196120
104/02/06,1057000,65.50,66.70,65.00,65.00,0.20,756,69435900
104/02/09,1138000,65.40,65.60,62.40,62.50,-2.50,762,72273500
104/02/10,715000,62.50,64.00,62.50,63.00,0.50,544,45149200
104/02/11,989050,62.00,62.30,60.60,61.50,-1.50,676,60842340
104/02/12,370261,62.00,62.50,61.20,62.50,1.00,296,22984712
