隆達            ,	3698
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,4928606,30.95,31.65,30.85,30.85,-0.10,2244,153395873
104/01/06,3821404,30.55,30.80,29.80,30.00,-0.85,1723,115403524
104/01/07,3334164,30.00,30.80,29.80,30.75,0.75,1653,101192565
104/01/08,3929124,31.00,31.20,30.70,30.90,0.15,1612,121606561
104/01/09,3128018,31.20,31.30,30.30,31.00,0.10,1465,96186608
104/01/12,1802980,31.00,31.00,30.55,30.70,-0.30,912,55415083
104/01/13,2323376,30.70,30.80,30.25,30.30,-0.40,1144,70831988
104/01/14,2040016,30.60,30.75,30.35,30.55,0.25,1261,62289434
104/01/15,6087670,30.60,31.45,30.55,31.00,0.45,1947,189063420
104/01/16,4071513,31.30,31.30,30.20,30.20,-0.80,1642,124181838
104/01/19,3073113,30.70,30.75,29.60,29.60,-0.60,1638,92375100
104/01/20,3057695,30.00,30.50,29.80,30.50,0.90,1528,92580074
104/01/21,10428170,30.80,32.00,30.70,31.45,0.95,4271,328263784
104/01/22,5136348,31.65,31.75,30.85,30.95,-0.50,1909,160441988
104/01/23,3711001,31.45,31.55,30.70,30.80,-0.15,1491,115372227
104/01/26,3179139,31.00,31.30,30.65,30.90,0.10,1111,98552922
104/01/27,1478536,31.20,31.25,30.75,30.80,-0.10,707,45709849
104/01/28,1258669,30.80,31.05,30.65,30.70,-0.10,666,38771621
104/01/29,1521095,30.70,30.80,30.30,30.30,-0.40,754,46351330
104/01/30,1412602,30.55,30.60,30.10,30.30,,547,42758248
104/02/02,1708972,30.10,30.30,29.85,29.85,-0.45,971,51143011
104/02/03,4147328,29.95,30.15,29.25,29.95,0.10,1368,123123172
104/02/04,2810374,30.45,30.45,29.50,29.95,,1027,83831679
104/02/05,1762981,30.00,30.20,29.70,30.00,0.05,667,52898679
104/02/06,3193061,30.30,30.50,30.05,30.50,0.50,1512,96766408
104/02/09,5568502,30.50,31.20,30.35,30.95,0.45,2049,172414331
104/02/10,2463519,31.00,31.15,30.70,30.70,-0.25,1097,76074099
104/02/11,1831175,30.75,31.05,30.70,30.70,,727,56523821
104/02/12,3555602,30.95,31.10,30.85,30.95,0.25,1250,110198338
104/02/13,1462150,30.85,31.15,30.80,30.80,-0.15,565,45231711
104/02/24,8119434,31.30,31.50,30.90,30.95,0.15,2137,253911255
104/02/25,3525616,31.05,31.35,30.80,31.20,0.25,1234,109860931
104/02/26,4105123,31.10,31.85,31.05,31.70,0.50,1828,129669242
104/03/02,2876600,31.70,31.80,31.30,31.35,-0.35,1183,90700658
104/03/03,3836446,31.35,31.35,30.75,30.80,-0.55,1428,118582286
104/03/04,2369000,30.85,31.20,30.75,30.80,,1092,73263099
104/03/05,1279247,30.80,30.95,30.55,30.80,,687,39354529
104/03/06,2584078,30.90,31.15,30.80,31.10,0.30,816,80040718
104/03/09,4659173,31.10,31.60,31.05,31.60,0.50,2064,146011482
104/03/10,2465327,31.85,31.85,31.20,31.30,-0.30,962,77596668
104/03/11,2900458,31.00,31.60,30.95,31.00,-0.30,1208,90425046
104/03/12,5463933,31.45,31.60,31.00,31.60,0.60,2063,171724238
104/03/13,15675533,31.90,33.15,31.80,32.60,1.00,5771,512364737
104/03/16,7352350,32.95,33.25,32.45,32.75,0.15,2928,241875542
104/03/17,5554415,33.05,33.10,32.15,32.65,-0.10,2045,180661884
104/03/18,4377830,32.70,32.75,31.85,32.10,-0.55,1968,141064235
104/03/19,4755196,32.10,32.75,31.80,31.85,-0.25,1952,152785385
104/03/20,6648930,31.85,32.55,31.65,32.30,0.45,2441,213812593
104/03/23,4661071,32.50,32.65,31.80,31.80,-0.50,2281,149902702
104/03/24,5669585,31.80,32.10,30.60,30.80,-1.00,2274,175987320
104/03/25,7768196,30.80,30.80,29.40,29.65,-1.15,3228,233070119
104/03/26,8387093,28.85,29.15,28.55,28.85,-0.80,3348,241220883
104/03/27,3698708,29.00,29.25,28.60,28.85,,1683,106721584
104/03/30,3562530,29.15,29.15,27.90,28.20,-0.65,1571,100528547
104/03/31,3215130,28.60,28.65,27.95,28.20,,1177,90620314
104/04/01,8251681,28.15,28.25,26.70,27.00,-1.20,3259,225753006
104/04/02,5179306,27.10,27.60,26.90,27.00,,2191,140765742
104/04/07,7030581,27.15,28.35,27.05,28.25,1.25,2806,196404461
104/04/08,8938590,28.30,28.60,27.25,27.50,-0.75,2996,249553743
