瑞智            ,	4532
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1517492,33.90,33.90,32.80,32.80,-1.60,850,50372529
104/01/06,714216,32.50,32.50,32.15,32.20,-0.60,505,23067752
104/01/07,1112983,32.05,33.20,32.05,32.50,0.30,531,36168995
104/01/08,784906,32.70,32.80,32.30,32.50,,476,25463851
104/01/09,495229,32.85,32.90,32.50,32.65,0.15,224,16178389
104/01/12,989447,32.65,32.65,31.80,32.20,-0.45,628,31788187
104/01/13,720650,32.20,32.30,31.80,32.10,-0.10,446,23089325
104/01/14,1036982,32.10,32.25,31.80,32.10,,493,33130864
104/01/15,577087,32.20,32.25,31.75,31.90,-0.20,257,18378520
104/01/16,524721,31.90,32.00,31.70,31.75,-0.15,334,16682435
104/01/19,834415,31.75,31.85,31.35,31.35,-0.40,412,26360056
104/01/20,647546,31.40,32.20,31.35,32.15,0.80,441,20671922
104/01/21,557409,32.20,32.25,31.70,32.15,,401,17790088
104/01/22,650885,32.15,32.20,31.85,32.00,-0.15,334,20806923
104/01/23,382429,32.00,32.30,31.95,32.05,0.05,179,12267254
104/01/26,258015,32.05,32.10,31.85,31.85,-0.20,148,8242721
104/01/27,453774,31.85,32.30,31.80,31.95,0.10,216,14485046
104/01/28,294791,31.85,32.00,31.80,31.95,,185,9410462
104/01/29,343344,31.80,31.95,31.65,31.75,-0.20,268,10915549
104/01/30,765686,31.85,32.10,31.75,31.75,,375,24419077
104/02/02,347400,31.75,32.05,31.70,31.75,,234,11042344
104/02/03,386883,31.75,32.05,31.75,31.95,0.20,173,12368981
104/02/04,720207,32.00,32.20,31.75,31.95,,534,22957728
104/02/05,438850,31.95,32.10,31.75,32.00,0.05,327,14005063
104/02/06,214848,32.00,32.00,31.75,31.95,-0.05,150,6848414
104/02/09,479209,31.85,31.90,31.60,31.60,-0.35,260,15169891
104/02/10,810629,31.60,31.75,31.20,31.30,-0.30,406,25481796
104/02/11,534893,31.55,31.70,31.20,31.55,0.25,251,16837490
104/02/12,960461,31.50,31.50,31.00,31.10,-0.45,620,29906654
104/02/13,717950,31.10,31.50,31.10,31.15,0.05,471,22416284
104/02/24,920774,31.20,32.00,31.20,32.00,0.85,442,29195747
104/02/25,784416,32.15,32.30,31.75,31.80,-0.20,535,25080227
104/02/26,323605,31.80,32.00,31.80,32.00,0.20,190,10326463
104/03/02,738638,32.10,32.15,31.50,31.55,-0.45,574,23444716
104/03/03,884666,31.55,31.65,31.15,31.25,-0.30,476,27695787
104/03/04,1407479,31.20,31.85,31.10,31.85,0.60,698,44442432
104/03/05,491511,31.90,31.90,31.65,31.90,0.05,269,15609101
104/03/06,1013550,31.90,32.15,31.75,32.10,0.20,536,32449499
104/03/09,904898,31.80,31.80,31.50,31.75,-0.35,708,28572455
104/03/10,826640,31.75,31.75,31.15,31.40,-0.35,461,25920691
104/03/11,1628304,31.20,31.30,30.70,30.80,-0.60,876,50384310
104/03/12,1704989,30.75,30.75,30.30,30.45,-0.35,932,51952811
104/03/13,705258,30.35,30.90,30.35,30.65,0.20,386,21664914
