太極            ,	4934
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,3008000,18.70,18.90,18.20,18.50,-0.40,1318,55627750
104/01/06,5671100,18.05,18.10,17.35,17.75,-0.75,2360,100381840
104/01/07,3145224,17.65,18.15,17.50,18.00,0.25,1531,56254192
104/01/08,10356000,18.50,19.20,18.30,19.15,1.15,3940,194200200
104/01/09,5299200,19.30,19.35,18.65,18.65,-0.50,2353,100111559
104/01/12,2869166,18.70,19.00,18.55,18.65,,1216,53829594
104/01/13,3673811,18.55,19.00,18.55,18.65,,1444,69266884
104/01/14,2570000,18.75,18.90,18.55,18.65,,977,48079650
104/01/15,6381411,18.70,19.15,18.65,19.05,0.40,2277,121352341
104/01/16,4956410,18.90,18.90,18.00,18.00,-1.05,2209,90936488
104/01/19,1853050,18.50,18.50,17.65,17.95,-0.05,974,33658605
104/01/20,2854100,18.00,18.80,18.00,18.70,0.75,1312,52663670
104/01/21,2163006,18.75,18.75,18.15,18.15,-0.55,1016,39605809
104/01/22,2474425,18.20,18.40,18.00,18.00,-0.15,1203,44793628
104/01/23,4793000,17.80,17.95,17.40,17.50,-0.50,2008,84536200
104/01/26,1167000,17.50,17.75,17.45,17.55,0.05,568,20557950
104/01/27,3913090,17.85,18.15,17.70,18.10,0.55,1578,70350588
104/01/28,3893100,18.05,18.50,17.95,18.20,0.10,1618,71197780
104/01/29,1708101,18.20,18.35,18.05,18.15,-0.05,730,31094138
104/01/30,2068450,18.35,18.45,18.05,18.05,-0.10,858,37787845
104/02/02,1541174,18.35,18.40,18.15,18.30,0.25,607,28140834
104/02/03,7439029,18.60,19.30,18.50,18.50,0.20,2798,140316692
104/02/04,3731000,19.00,19.05,18.55,18.60,0.10,1516,70109200
104/02/05,1312500,18.60,18.60,18.30,18.45,-0.15,635,24129123
104/02/06,1200000,18.50,18.65,18.30,18.30,-0.15,547,22141750
104/02/09,1238259,18.30,18.50,18.10,18.10,-0.20,594,22596900
104/02/10,1256010,18.10,18.30,17.95,17.95,-0.15,779,22718580
104/02/11,1934606,18.10,18.40,17.95,17.95,,1035,35101377
104/02/12,882000,18.10,18.10,17.85,17.85,-0.10,554,15834350
104/02/13,825135,17.90,18.10,17.85,17.85,,401,14798203
104/02/24,1073000,18.25,18.25,17.95,17.95,0.10,455,19417800
104/02/25,1598610,18.00,18.30,17.90,18.25,0.30,777,29056149
104/02/26,1724191,18.25,18.50,18.20,18.40,0.15,706,31639912
104/03/02,1011000,18.60,18.70,18.20,18.20,-0.20,475,18567800
104/03/03,1366100,18.30,18.50,18.10,18.15,-0.05,584,24972760
104/03/04,1578000,18.15,18.25,17.95,17.95,-0.20,675,28478450
104/03/05,1268180,17.90,18.20,17.90,18.00,0.05,575,22878440
104/03/06,6378553,18.20,19.00,18.10,18.95,0.95,2641,118723801
104/03/09,12123370,18.90,19.75,18.65,19.35,0.40,4570,235533008
104/03/10,5064200,19.35,19.40,18.65,19.00,-0.35,2187,95881879
104/03/11,4372500,18.80,19.20,18.65,18.80,-0.20,1458,82317700
104/03/12,4594655,19.00,19.25,18.85,18.85,0.05,1687,87560315
104/03/13,2269000,18.90,19.05,18.65,18.80,-0.05,845,42664350
104/03/16,3547199,18.80,19.10,18.75,18.75,-0.05,1045,67173901
104/03/17,1757029,18.90,19.00,18.70,18.75,,642,32933641
104/03/18,7319282,18.75,19.25,18.75,19.15,0.40,2506,139732098
104/03/19,3215103,19.25,19.30,18.80,19.10,-0.05,1865,61113415
104/03/20,6555560,19.20,19.50,19.05,19.10,,2534,126333258
104/03/23,5684642,19.30,19.70,19.20,19.25,0.15,2758,110744620
104/03/24,3679712,19.35,19.45,19.00,19.25,,1598,70755853
104/03/25,2747225,19.40,19.40,19.10,19.15,-0.10,1045,52738750
104/03/26,5223524,19.00,19.45,19.00,19.15,,1876,100743969
104/03/27,5100632,19.30,19.65,19.15,19.15,,2084,98774623
104/03/30,2660317,19.45,19.45,18.70,18.75,-0.40,1286,50425908
104/03/31,1516089,18.95,19.20,18.80,18.90,0.15,866,28668138
104/04/01,4017086,19.00,19.40,18.80,19.20,0.30,1666,77273782
104/04/02,4777408,19.60,19.65,19.25,19.25,0.05,1812,92977554
104/04/07,2702180,19.50,19.50,19.20,19.40,0.15,1355,52329831
104/04/08,5671118,19.25,19.60,19.00,19.25,-0.15,2038,109916043
104/04/09,1672058,19.30,19.40,19.10,19.10,-0.15,812,32176506
104/04/10,1847600,19.15,19.25,18.90,18.90,-0.20,943,35214280
104/04/13,1796194,19.00,19.30,19.00,19.25,0.35,969,34481653
104/04/14,2017641,19.25,19.40,19.15,19.30,0.05,974,38913655
104/04/15,16927752,19.45,20.65,19.40,20.65,1.35,5974,342643127
104/04/16,23062065,21.30,22.05,21.05,22.05,1.40,7795,499309079
104/04/17,15263951,21.85,22.25,21.55,22.00,-0.05,6022,334771222
104/04/20,17837388,22.30,22.95,21.00,21.10,-0.90,6886,394647656
104/04/21,10599599,21.40,21.50,20.15,21.00,-0.10,4425,221504735
104/04/22,4007613,21.10,21.40,20.60,21.00,,1820,84139340
104/04/23,4407734,21.30,21.30,20.60,20.65,-0.35,1719,91529765
104/04/24,4351929,20.80,21.30,20.65,20.70,0.05,1674,90844609
104/04/27,4765256,20.70,20.85,19.90,20.30,-0.40,1975,96144306
104/04/28,5648486,20.40,21.30,20.40,20.85,0.55,2410,118318638
104/04/29,19985437,20.50,20.50,19.40,19.45,-1.40,4482,399881794
104/04/30,17352018,19.00,20.00,19.00,19.70,0.25,5097,337477910
104/05/04,11442006,19.70,19.70,18.40,18.55,-1.15,3515,217689877
104/05/05,10661802,18.50,18.95,18.15,18.15,-0.40,3527,197615383
104/05/06,12742915,18.15,18.80,18.15,18.40,0.25,4200,236244777
104/05/07,5229251,18.35,18.60,18.20,18.30,-0.10,1777,96087987
104/05/08,5284107,18.50,18.50,17.70,18.00,-0.30,1763,95737774
104/05/11,5765109,18.30,18.30,17.05,17.20,-0.80,2203,100948381
104/05/12,6863166,17.20,17.85,16.40,17.70,0.50,2507,118064848
104/05/13,3183903,17.70,17.90,17.50,17.65,-0.05,1328,56460009
104/05/14,2171452,17.65,17.85,17.40,17.40,-0.25,939,38250266
104/05/15,12869290,17.50,17.75,17.00,17.00,-0.40,1972,223484322
104/05/18,8764234,16.80,17.00,15.85,15.85,-1.15,3022,140744335
104/05/19,5011940,15.75,16.50,15.60,16.35,0.50,2016,80894783
104/05/20,2437602,16.35,16.35,16.00,16.05,-0.30,1049,39269381
104/05/21,4032015,15.80,16.15,15.35,15.50,-0.55,1651,63445281
104/05/22,8503019,15.70,16.55,15.70,16.55,1.05,3076,139243464
104/05/25,9499085,16.45,17.05,16.25,16.60,0.05,3357,159168650
104/05/26,4608766,16.60,16.85,16.05,16.15,-0.45,1734,75344819
104/05/27,2853000,16.00,16.45,16.00,16.25,0.10,1130,46477200
104/05/28,5493301,16.40,16.95,16.40,16.75,0.50,2093,91811521
104/05/29,4468001,16.80,16.85,16.35,16.50,-0.25,1716,74155716
104/06/01,2584202,16.50,16.75,16.35,16.45,-0.05,997,42748932
104/06/02,3442000,16.60,17.05,16.50,16.50,0.05,1372,57580700
104/06/03,2316180,16.60,16.75,16.30,16.30,-0.20,1017,38186533
104/06/04,3585281,16.30,16.45,15.60,15.60,-0.70,1351,57154746
104/06/05,4461100,15.70,15.95,14.95,15.15,-0.45,1677,68487945
104/06/08,3650180,15.15,15.30,14.45,14.90,-0.25,1454,54398690
104/06/09,6316500,14.65,15.25,13.45,13.50,-1.40,2288,90995350
104/06/10,4347911,13.55,14.30,13.55,14.10,0.60,1544,61058594
104/06/11,2961180,14.20,14.35,14.00,14.10,,1095,41913788
104/06/12,2096000,14.10,14.35,13.95,14.00,-0.10,802,29597350
104/06/15,3228200,14.20,14.70,14.20,14.50,0.50,1298,46788600
104/06/16,2078200,14.50,14.80,14.30,14.30,-0.20,857,30050040
104/06/17,1601000,14.35,14.55,14.25,14.30,,677,23003750
104/06/18,3723376,14.50,14.95,14.45,14.85,0.55,1483,55086461
104/06/22,2320501,14.95,14.95,14.55,14.70,-0.15,935,34026938
104/06/23,12300200,15.00,16.15,14.95,15.70,1.00,4423,193249403
104/06/24,4140109,15.70,15.85,15.40,15.40,-0.30,1542,64345544
104/06/25,3121090,15.55,15.70,15.25,15.70,0.30,1112,48522262
104/06/26,5242001,15.80,16.15,15.70,15.70,,1980,83319265
104/06/29,5610100,15.65,16.20,15.60,15.70,,2144,89203570
104/06/30,3945070,16.05,16.10,15.65,15.95,0.25,1320,62568693
104/07/01,10737170,16.75,17.10,16.50,16.50,0.55,3902,180185894
104/07/02,8442551,16.95,17.15,16.75,16.85,0.35,2915,143037538
104/07/03,7443573,17.05,17.25,16.80,17.20,0.35,2809,127065447
104/07/06,5868008,17.35,17.40,16.60,16.70,-0.50,2031,99628644
104/07/07,4516230,17.00,17.10,16.50,16.80,0.10,1444,75984512
104/07/08,5894004,16.80,16.90,15.30,15.75,-1.05,2223,94364021
104/07/09,6127009,15.20,16.70,15.05,16.45,0.70,2674,97821797
104/07/13,6612705,17.00,17.20,16.70,17.05,0.60,2237,112581468
104/07/14,4642003,17.20,17.35,16.55,16.55,-0.50,1788,78525048
104/07/15,10268222,16.85,17.70,16.40,17.30,0.75,3459,176202667
104/07/16,5287007,17.00,17.10,16.60,16.65,X,2029,89085215
104/07/17,5307026,16.85,17.20,16.75,16.80,0.15,1820,89973432
104/07/20,4311760,17.15,17.15,16.30,16.35,-0.45,1590,71578834
104/07/21,4855511,16.50,16.90,16.15,16.55,0.20,1828,80469554
104/07/22,5901841,16.45,17.05,16.45,16.70,0.15,2283,98908369
104/07/23,5371100,16.60,16.85,16.15,16.30,-0.40,2090,88136279
104/07/24,6314502,16.30,16.40,15.35,15.40,-0.90,2443,99018129
104/07/27,6387301,15.40,15.70,14.05,14.25,-1.15,2373,94085373
104/07/28,5679660,14.30,15.10,14.30,15.10,0.85,2402,83374550
104/07/29,2900059,15.10,15.10,14.60,14.65,-0.45,1447,42847162
104/07/30,3111099,15.00,15.20,14.80,14.90,0.25,1259,46663885
104/07/31,2793000,14.90,14.95,14.45,14.55,-0.35,1225,40893047
104/08/03,2423500,14.60,14.70,14.20,14.30,-0.25,1062,34922924
104/08/04,9305100,14.30,14.40,12.90,12.90,-1.40,2991,123403300
104/08/05,4447892,13.00,13.60,13.00,13.60,0.70,1811,59469979
104/08/06,4631690,13.80,13.90,12.95,13.35,-0.25,1851,61753409
104/08/07,2924400,13.10,13.60,13.10,13.40,0.05,1320,39119259
104/08/10,2478171,13.30,13.70,13.15,13.65,0.25,1016,33338133
104/08/11,2791152,13.85,14.00,13.45,13.45,-0.20,1222,38319681
104/08/12,2445733,13.40,13.40,13.00,13.25,-0.20,1046,32272260
104/08/13,1718465,13.40,13.45,13.10,13.30,0.05,742,22813533
104/08/14,1512223,13.40,13.45,13.20,13.30,,660,20223360
104/08/17,1356100,13.30,13.45,13.15,13.15,-0.15,595,18001900
104/08/18,3822102,13.20,13.70,13.15,13.55,0.40,1494,51481137
104/08/19,6341000,13.65,13.95,13.45,13.50,-0.05,2365,86803100
104/08/20,2367002,13.45,13.75,13.15,13.35,-0.15,945,31917526
104/08/21,7780000,13.15,13.20,12.05,12.05,-1.30,2690,96679750
104/08/24,4120562,11.60,11.60,10.85,10.85,-1.20,1305,45347292
104/08/25,7600345,9.77,11.30,9.77,11.00,0.15,2410,78329375
104/08/26,6528005,10.35,11.30,10.00,11.00,,2158,70073905
104/08/27,4291306,11.15,11.30,10.90,10.95,-0.05,1556,47707816
104/08/28,4803252,11.45,11.60,11.30,11.50,0.55,1534,54937146
104/08/31,2480209,11.40,11.55,11.15,11.35,-0.15,894,28244957
104/09/01,7387501,11.70,12.40,11.70,12.15,0.80,2617,89223086
104/09/02,5921935,11.90,12.50,11.80,12.50,0.35,1876,71894783
104/09/03,4798516,12.60,12.75,12.30,12.50,,1612,60229973
104/09/04,6447914,12.60,13.05,12.55,12.60,0.10,2174,82496620
104/09/07,2884100,12.60,12.75,12.40,12.70,0.10,969,36288820
104/09/08,9550496,13.00,13.30,12.90,13.15,0.45,2949,125378021
104/09/09,4489100,13.45,13.60,13.30,13.40,0.25,1580,60114990
104/09/10,6554200,13.45,14.00,13.40,13.75,0.35,2310,90139450
104/09/11,3212117,13.85,13.85,13.55,13.65,-0.10,1123,43930695
104/09/14,5033911,14.00,14.05,13.70,13.95,0.30,1895,70005359
104/09/15,3429202,14.15,14.30,13.85,13.95,,1296,48118547
104/09/16,5916191,14.10,14.35,14.05,14.10,0.15,1931,83836901
104/09/17,13217890,14.50,15.35,14.45,15.10,1.00,4396,197562228
104/09/18,6585600,15.05,15.30,14.80,15.00,-0.10,2191,99229438
104/09/21,3469751,14.65,14.70,14.35,14.50,-0.50,1337,50289835
