清惠            ,	5259
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,5587620,14.75,15.40,14.70,15.40,1.00,1379,85034047
104/01/06,5400065,15.35,16.45,15.20,16.45,1.05,1818,85757166
104/01/07,4888208,16.75,17.60,15.85,16.45,,2047,82453469
104/01/08,2168090,16.45,16.65,15.80,16.10,-0.35,952,35102690
104/01/09,1741557,16.25,16.90,16.25,16.60,0.50,773,29020228
104/01/12,3014020,16.60,17.75,16.35,17.45,0.85,1259,52242205
104/01/13,2792180,17.25,18.55,17.20,18.45,1.00,1228,50389771
104/01/14,2234425,18.55,19.25,18.55,19.15,0.70,1025,42438172
104/01/15,2560008,20.00,20.00,18.10,18.25,-0.90,1195,48192544
104/01/16,1696833,18.35,19.00,18.20,18.95,0.70,799,31667352
104/01/19,2246483,19.50,19.95,19.20,19.95,1.00,964,44184185
104/01/20,2833010,20.25,20.50,18.80,18.80,-1.15,1278,55679737
104/01/21,3030520,19.00,19.35,17.50,17.95,-0.85,1287,55080231
104/01/22,1284500,17.95,18.75,17.95,18.25,0.30,639,23575050
104/01/23,1505565,18.40,18.70,17.50,17.95,-0.30,662,27290607
104/01/26,1597240,17.95,18.90,17.95,18.40,0.45,634,29616016
104/01/27,603000,18.40,18.60,18.15,18.30,-0.10,252,11070000
104/01/28,1242400,18.25,19.10,18.25,18.80,0.50,546,23319130
104/01/29,4552114,19.05,20.10,19.00,20.10,1.30,1601,90432788
104/01/30,6472114,20.30,21.50,19.10,19.55,-0.55,2853,131308667
104/02/02,1509400,19.10,19.40,18.70,18.70,-0.85,694,28673439
104/02/03,729452,18.95,19.30,18.80,18.85,0.15,341,13872374
104/02/04,601519,19.10,19.10,18.60,18.60,-0.25,310,11316754
104/02/05,455201,18.60,18.90,18.35,18.40,-0.20,227,8458247
104/02/06,1034011,18.50,18.50,17.80,17.90,-0.50,393,18659948
104/02/09,369070,17.80,18.30,17.75,17.95,0.05,215,6637446
104/02/10,287000,17.95,18.25,17.75,17.90,-0.05,156,5149700
104/02/11,288012,18.30,18.50,17.95,17.95,0.05,159,5201264
104/02/12,219309,18.00,18.20,17.80,17.80,-0.15,124,3924750
104/02/13,291400,17.80,18.15,17.80,17.95,0.15,135,5244390
104/02/24,495340,18.20,18.50,17.90,18.05,0.10,176,8978502
104/02/25,669350,18.20,18.20,17.70,17.70,-0.35,208,11990509
104/02/26,1239452,17.70,17.70,16.60,16.80,-0.90,472,21194798
104/03/02,547200,16.60,17.00,16.55,16.60,-0.20,242,9154450
104/03/03,618252,16.60,17.75,16.60,17.75,1.15,311,10818422
104/03/04,778500,18.15,18.45,17.50,17.50,-0.25,441,14034900
104/03/05,1395020,17.55,18.70,17.55,18.70,1.20,633,25806774
104/03/06,1425500,18.80,19.50,18.55,18.55,-0.15,705,27019750
104/03/09,3165060,18.40,19.80,17.90,19.35,0.80,1138,61026652
104/03/10,1777505,19.20,20.25,19.05,19.30,-0.05,861,34867196
104/03/11,536015,19.30,19.60,18.95,19.05,-0.25,290,10317934
104/03/12,687250,19.50,19.75,18.85,19.15,0.10,385,13215112
104/03/13,1603100,19.30,20.25,19.30,19.45,0.30,700,31604200
104/03/16,804182,19.65,19.90,19.40,19.40,-0.05,314,15727712
104/03/17,613030,19.40,19.75,19.00,19.00,-0.40,291,11813375
104/03/18,486000,19.00,19.15,18.70,18.85,-0.15,237,9184650
104/03/19,992080,19.00,19.95,19.00,19.55,0.70,490,19468606
104/03/20,487550,19.75,19.80,19.30,19.75,0.20,224,9598930
104/03/23,372200,19.95,19.95,19.35,19.45,-0.30,206,7291919
104/03/24,680505,19.45,20.20,19.30,19.60,0.15,310,13444897
104/03/25,385416,19.70,19.75,19.40,19.50,-0.10,154,7541353
104/03/26,679010,19.30,20.00,19.20,19.35,-0.15,325,13287341
104/03/27,438916,19.40,19.65,19.30,19.30,-0.05,190,8533637
