達運            ,	6120
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,5701112,14.60,15.45,14.60,15.25,0.65,1667,86344186
104/01/06,4656210,15.10,15.70,14.90,15.30,0.05,1533,71262789
104/01/07,13885630,15.30,16.35,15.30,16.35,1.05,3326,224848123
104/01/08,16710997,16.65,17.40,16.50,17.20,0.85,4374,285631978
104/01/09,7190051,17.35,17.45,16.65,16.90,-0.30,2462,121986292
104/01/12,8490564,16.85,17.55,16.80,17.00,0.10,2608,145548720
104/01/13,6510607,17.00,17.20,16.40,16.45,-0.55,1890,108764143
104/01/14,4073098,16.50,17.05,16.50,16.65,0.20,1337,68217369
104/01/15,4881162,16.65,16.85,16.15,16.30,-0.35,1422,79872176
104/01/16,6420576,16.40,16.60,15.85,16.00,-0.30,1832,103505728
104/01/19,4013817,16.20,16.60,16.00,16.05,0.05,1176,65456322
104/01/20,4782663,16.20,16.65,15.90,16.65,0.60,1371,77962366
104/01/21,9598097,16.60,16.60,15.50,15.60,-1.05,3041,151254698
104/01/22,3595040,15.60,15.85,15.40,15.55,-0.05,1390,56221214
104/01/23,3828670,15.65,15.80,15.20,15.30,-0.25,1228,59176426
104/01/26,5510671,15.30,16.00,15.20,15.85,0.55,1819,86450127
104/01/27,3345682,15.85,16.05,15.55,15.60,-0.25,1266,52715248
104/01/28,1763161,15.50,15.65,15.40,15.55,-0.05,771,27313493
104/01/29,1267155,15.55,15.65,15.40,15.65,0.10,545,19640753
104/01/30,4869973,15.60,15.60,14.80,14.95,-0.70,1514,73408438
104/02/02,3267885,14.85,14.95,14.40,14.50,-0.45,1130,47613017
104/02/03,1996290,14.60,14.85,14.55,14.70,0.20,807,29386326
104/02/04,3168026,14.90,15.30,14.80,14.90,0.20,1313,47705831
104/02/05,5302096,15.00,15.70,15.00,15.50,0.60,2190,81812322
104/02/06,2315927,15.50,15.55,15.10,15.10,-0.40,963,35482643
104/02/09,1236473,15.20,15.30,15.05,15.10,,513,18709466
104/02/10,3848787,15.10,15.10,14.35,14.55,-0.55,1427,56238228
104/02/11,5446725,14.75,15.55,14.75,15.55,1.00,1557,83181764
104/02/12,9383632,15.65,16.30,15.60,15.95,0.40,2849,149770732
104/02/13,3726730,16.00,16.20,15.95,15.95,,1225,59726795
104/02/24,2657159,16.30,16.30,15.65,15.70,-0.25,827,42348273
