華東            ,	8110
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,3153431,14.70,14.75,14.40,14.65,-0.10,894,45935163
104/01/06,2354409,14.50,14.60,14.30,14.35,-0.30,746,33957945
104/01/07,1361261,14.30,14.50,14.30,14.40,0.05,476,19629071
104/01/08,1517069,14.50,14.60,14.45,14.45,0.05,508,21988235
104/01/09,1611952,14.50,14.60,14.40,14.40,-0.05,571,23383006
104/01/12,3531086,14.25,14.25,14.05,14.10,-0.30,895,49893759
104/01/13,984643,14.05,14.20,14.05,14.20,0.10,400,13926563
104/01/14,1329134,14.10,14.20,14.10,14.20,,448,18806543
104/01/15,782460,14.20,14.25,14.15,14.25,0.05,241,11103481
104/01/16,990509,14.25,14.25,14.10,14.10,-0.15,347,14006274
104/01/19,1958878,14.20,14.20,13.85,13.90,-0.20,540,27418408
104/01/20,794502,13.85,14.10,13.85,14.05,0.15,308,11109101
104/01/21,854695,14.15,14.15,13.90,14.00,-0.05,345,11972759
104/01/22,973023,14.00,14.25,14.00,14.15,0.15,336,13725967
104/01/23,1368099,14.20,14.30,14.05,14.05,-0.10,469,19361489
104/01/26,1904230,14.00,14.35,14.00,14.20,0.15,550,27038002
104/01/27,839049,14.15,14.30,14.15,14.20,,293,11928945
104/01/28,762382,14.10,14.20,14.05,14.05,-0.15,304,10761282
104/01/29,570124,14.05,14.15,14.00,14.15,0.10,255,8031145
104/01/30,682287,14.15,14.20,14.00,14.00,-0.15,259,9589209
104/02/02,892000,14.05,14.10,13.90,13.90,-0.10,238,12448000
104/02/03,546785,13.90,14.00,13.90,13.95,0.05,212,7625018
104/02/04,785231,14.00,14.10,13.95,14.00,0.05,340,11007707
104/02/05,1151335,13.95,14.00,13.85,13.90,-0.10,392,15998520
104/02/06,615270,14.00,14.00,13.85,13.85,-0.05,209,8551675
104/02/09,2492620,13.70,13.70,13.50,13.55,-0.30,714,33859931
104/02/10,2163044,13.50,13.70,13.35,13.35,-0.20,776,29136886
104/02/11,1581506,13.40,13.40,13.15,13.20,-0.15,1041,20989178
104/02/12,883061,13.20,13.25,13.10,13.20,,567,11638497
104/02/13,767600,13.30,13.35,13.15,13.20,,496,10143840
104/02/24,2662100,13.40,13.85,13.40,13.70,0.50,808,36452508
104/02/25,4958863,13.80,14.10,13.75,13.95,0.25,1535,69164442
104/02/26,1188353,13.90,13.95,13.75,13.85,-0.10,716,16425806
104/03/02,1181778,13.90,13.95,13.75,13.80,-0.05,325,16349547
104/03/03,981966,13.85,13.85,13.75,13.75,-0.05,454,13543228
104/03/04,1422473,13.75,13.85,13.65,13.70,-0.05,746,19527527
104/03/05,627699,13.70,13.95,13.70,13.75,0.05,315,8652873
104/03/06,801330,13.85,13.85,13.75,13.80,0.05,418,11056053
104/03/09,527975,13.70,13.80,13.65,13.70,-0.10,238,7237854
104/03/10,854674,13.80,13.80,13.65,13.70,,284,11724933
104/03/11,977568,13.60,13.70,13.55,13.55,-0.15,435,13305517
104/03/12,1418650,13.60,13.70,13.55,13.65,0.10,676,19310136
104/03/13,857784,13.65,13.75,13.60,13.65,,429,11737809
104/03/16,1003673,13.60,13.80,13.60,13.80,0.15,442,13720020
