F-福貞          ,	8411
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,106315,34.70,34.95,34.05,34.30,-0.40,84,3646240
104/01/06,202045,34.00,34.00,33.60,33.70,-0.60,111,6818114
104/01/07,104805,33.60,33.95,33.50,33.90,0.20,72,3534996
104/01/08,146465,33.90,34.00,33.60,33.70,-0.20,94,4943180
104/01/09,849127,34.00,36.05,34.00,36.05,2.35,473,30397314
104/01/12,941900,36.80,36.80,35.70,36.35,0.30,554,34197289
104/01/13,198700,36.35,36.35,35.80,36.00,-0.35,135,7171690
104/01/14,1292309,36.00,38.50,36.00,38.50,2.50,719,49186442
104/01/15,1079490,38.75,39.30,38.50,38.55,0.05,675,41968261
104/01/16,391912,39.00,39.00,37.50,37.80,-0.75,270,14846089
104/01/19,235765,37.80,38.45,37.80,38.00,0.20,135,8942839
104/01/20,219231,38.65,38.65,37.60,38.00,,138,8333328
104/01/21,177890,38.10,38.35,37.45,38.05,0.05,119,6730186
104/01/22,133000,38.20,38.30,38.05,38.05,,94,5074000
104/01/23,232182,38.40,38.50,37.90,38.40,0.35,144,8861751
104/01/26,203150,38.50,38.65,38.20,38.30,-0.10,109,7810545
104/01/27,137376,38.40,38.60,37.85,38.30,,79,5242748
104/01/28,128060,38.10,38.20,37.90,37.95,-0.35,58,4866924
104/01/29,59194,37.75,38.10,37.65,37.95,,50,2242412
104/01/30,129607,38.25,39.00,38.00,39.00,1.05,90,4989007
104/02/02,632489,39.20,41.65,39.20,41.45,2.45,470,25962049
104/02/03,774220,41.55,42.70,40.25,40.70,-0.75,513,32201383
104/02/04,400654,40.85,41.90,40.50,41.80,1.10,238,16462000
104/02/05,455190,41.80,42.60,41.65,41.95,0.15,292,19202821
104/02/06,173715,42.30,42.30,41.20,41.35,-0.60,104,7222321
104/02/09,362648,42.85,43.35,41.50,41.50,0.15,246,15344505
104/02/10,224405,42.10,42.20,41.50,41.60,0.10,138,9353506
104/02/11,187410,41.60,41.60,41.10,41.50,-0.10,109,7741790
104/02/12,269710,41.50,41.90,40.30,41.00,-0.50,147,10987544
104/02/13,211352,41.40,41.40,40.00,40.10,-0.90,163,8522132
104/02/24,227244,40.55,40.85,40.30,40.40,0.30,119,9215992
104/02/25,134630,40.60,40.70,40.05,40.70,0.30,97,5436301
104/02/26,151950,40.60,41.30,40.55,41.15,0.45,94,6222401
104/03/02,244238,41.50,42.50,41.20,41.80,0.65,166,10221447
104/03/03,241968,41.85,42.45,41.30,41.35,-0.45,145,10107977
