國泰美國道瓊,	00668
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,14000,25.62,25.63,25.55,25.55,0.25,13,358460
107/06/04,58000,25.74,25.74,25.59,25.74,0.19,6,1485600
107/06/05,25000,25.79,25.82,25.67,25.68,0.06,13,643780
107/06/06,79000,25.82,25.82,25.72,25.78,0.10,15,2037220
107/06/07,43000,25.97,26.03,25.95,26.02,0.24,32,1117890
107/06/08,81000,26.07,26.20,26.07,26.15,0.13,33,2119040
107/06/11,28000,26.34,26.35,26.30,26.33,0.18,21,737510
107/06/12,24250,26.32,26.40,26.32,26.36,0.03,19,639250
107/06/13,103000,26.39,26.41,26.35,26.41,0.05,19,2718560
107/06/14,116100,26.27,26.36,26.27,26.30,0.11,17,3055183
107/06/15,12000,26.30,26.33,26.28,26.29,0.01,8,315500
107/06/19,299000,26.11,26.16,26.03,26.09,0.20,27,7801560
107/06/20,87000,26.05,26.17,25.96,26.13,0.04,34,2265390
107/06/21,44000,26.05,26.15,26.05,26.14,0.01,10,1147210
107/06/22,167000,25.94,25.99,25.85,25.99,0.15,47,4330960
107/06/25,87000,25.97,25.98,25.93,25.93,0.06,64,2257630
107/06/26,90000,25.78,25.84,25.72,25.80,0.13,34,2319440
107/06/27,185000,25.78,25.81,25.72,25.72,0.08,26,4764420
107/06/28,45000,25.74,25.77,25.74,25.77,0.05,11,1158350
107/06/29,103000,25.81,25.95,25.81,25.90,0.13,10,2665380
107/07/02,197000,25.77,25.82,25.58,25.62,0.28,36,5074070
107/07/03,116000,25.78,25.87,25.78,25.85,0.23,24,2996890
107/07/04,84000,25.78,25.80,25.75,25.80,0.05,5,2165240
107/07/05,6000,25.75,25.75,25.68,25.68,0.12,5,154270
107/07/06,18000,25.90,25.90,25.86,25.89,0.21,8,466000
107/07/09,27000,26.10,26.10,26.06,26.07,0.18,8,704540
107/07/10,63000,26.37,26.37,26.30,26.33,0.26,24,1658400
107/07/11,149000,26.13,26.31,26.13,26.25,0.08,16,3900060
107/07/12,165000,26.33,26.35,26.30,26.31,0.06,13,4343890
107/07/13,82413,26.52,26.59,26.49,26.59,0.28,15,2186629
107/07/16,77326,26.62,26.66,26.57,26.59,,42,2056874
107/07/17,19000,26.67,26.67,26.62,26.64,0.05,18,506410
107/07/18,22000,26.67,26.71,26.67,26.70,0.06,9,587240
107/07/19,8000,26.80,26.82,26.77,26.80,0.10,8,214430
107/07/20,73000,26.79,26.79,26.62,26.69,0.11,18,1947760
107/07/23,70000,26.72,26.73,26.67,26.73,0.04,20,1868920
107/07/24,62000,26.74,26.83,26.74,26.83,0.10,14,1661280
107/07/25,31000,26.91,26.93,26.91,26.91,0.08,6,834630
107/07/26,15000,27.02,27.07,27.02,27.02,0.11,10,405590
107/07/27,548000,26.86,27.14,26.85,26.90,0.12,37,14773800
107/07/30,42000,26.84,26.85,26.74,26.79,0.11,32,1124280
107/07/31,24000,26.80,26.88,26.79,26.86,0.07,7,643500
107/08/01,1259000,26.90,26.93,26.89,26.91,0.05,130,33882380
107/08/02,769000,26.82,26.83,26.70,26.70,0.21,77,20594020
107/08/03,301000,26.89,26.89,26.85,26.85,0.15,16,8084900
107/08/06,131000,26.93,27.05,26.93,26.99,0.14,14,3539560
