FH富時不動產,	00712
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,66000,18.85,18.88,18.83,18.83,0.33,6,1244980
107/06/04,11000,18.87,18.87,18.80,18.80,0.03,2,206870
107/06/05,3000,18.89,18.89,18.87,18.87,0.07,2,56630
107/06/06,1000,18.88,18.88,18.88,18.88,0.01,1,18880
107/06/07,29000,18.80,18.84,18.80,18.84,0.04,6,545320
107/06/08,1000,18.88,18.88,18.88,18.88,0.04,1,18880
107/06/11,2000,19.00,19.05,19.00,19.05,0.17,2,38050
107/06/12,1000,19.05,19.05,19.05,19.05,,1,19050
107/06/13,3000,19.01,19.01,19.01,19.01,0.04,3,57030
107/06/14,11000,18.92,18.92,18.91,18.91,0.10,2,208020
107/06/15,122000,19.10,19.12,19.06,19.12,0.21,13,2330220
107/06/19,204000,19.15,19.24,19.15,19.24,0.12,23,3913810
107/06/20,164000,19.54,19.54,19.37,19.37,0.13,19,3189870
107/06/21,30000,18.90,18.93,18.90,18.93,X,3,567600
107/06/22,23000,19.05,19.06,19.00,19.06,0.13,5,438060
107/06/25,1000,19.00,19.00,19.00,19.00,0.06,1,19000
107/06/26,2000,18.98,19.04,18.98,19.04,0.04,2,38020
107/06/27,2000,19.01,19.01,19.01,19.01,0.03,2,38020
107/06/28,3000,18.88,18.88,18.88,18.88,0.13,2,56640
107/06/29,2000,19.13,19.13,19.07,19.07,0.19,2,38200
107/07/02,22000,18.85,18.95,18.85,18.95,0.12,4,414900
107/07/03,11000,19.15,19.15,19.07,19.07,0.12,2,209850
107/07/04,54000,19.30,19.30,19.22,19.24,0.17,7,1038780
107/07/05,42000,19.25,19.31,19.25,19.31,0.07,6,809190
107/07/06,3000,19.35,19.38,19.35,19.38,0.07,3,58110
107/07/09,20000,19.43,19.43,19.37,19.37,0.01,4,387480
107/07/10,4000,19.30,19.30,19.30,19.30,0.07,4,77200
107/07/11,2000,19.32,19.32,19.32,19.32,0.02,2,38640
107/07/12,56000,19.44,19.44,19.40,19.40,0.08,10,1087630
107/07/13,8000,19.38,19.38,19.35,19.35,0.05,8,154920
107/07/16,3000,19.37,19.37,19.37,19.37,0.02,3,58110
107/07/17,1000,19.30,19.30,19.30,19.30,0.07,1,19300
107/07/18,2000,19.32,19.32,19.32,19.32,0.02,2,38640
107/07/19,1000,19.36,19.36,19.36,19.36,0.04,1,19360
107/07/20,33000,19.44,19.48,19.40,19.48,0.12,6,640790
107/07/23,41000,19.50,19.55,19.47,19.47,0.01,5,799250
107/07/24,11000,19.48,19.48,19.48,19.48,0.01,2,214280
107/07/25,3000,19.46,19.46,19.46,19.46,0.02,3,58380
107/07/26,5000,19.46,19.46,19.38,19.46,,5,97160
107/07/27,1000,19.43,19.43,19.43,19.43,0.03,1,19430
107/07/30,1000,19.43,19.43,19.43,19.43,,1,19430
107/07/31,6000,19.65,19.68,19.61,19.67,0.24,6,117910
107/08/01,72000,19.73,19.73,19.58,19.58,0.09,9,1412410
107/08/02,21000,19.48,19.51,19.48,19.51,0.07,3,409410
107/08/03,4000,19.63,19.63,19.63,19.63,0.12,3,78520
107/08/06,14000,19.53,19.54,19.47,19.54,0.09,4,273070
107/08/07,4000,19.43,19.43,19.43,19.43,0.11,4,77720
107/08/08,14000,19.24,19.27,19.24,19.27,0.16,5,269420
107/08/09,4000,19.18,19.23,19.18,19.23,0.04,3,76850
107/08/10,3000,19.34,19.34,19.34,19.34,0.11,2,58020
107/08/13,41000,19.35,19.37,19.35,19.37,0.03,5,793370
107/08/14,3000,19.46,19.46,19.42,19.42,0.05,3,58340
107/08/15,3000,19.49,19.49,19.49,19.49,0.07,2,58470
107/08/16,7000,19.57,19.57,19.55,19.55,0.06,3,136890
107/08/17,24000,19.60,19.60,19.57,19.57,0.02,5,470280
107/08/20,6000,19.65,19.65,19.65,19.65,0.08,1,117900
107/08/21,2000,19.69,19.69,19.69,19.69,0.04,2,39380
107/08/22,7000,19.73,19.79,19.73,19.75,0.06,3,138190
107/08/23,10000,19.72,19.72,19.72,19.72,0.03,1,197200
107/08/24,1000,19.76,19.76,19.76,19.76,0.04,1,19760
107/08/27,4000,19.69,19.69,19.69,19.69,0.07,3,78760
107/08/28,2000,19.74,19.74,19.74,19.74,0.05,1,39480
107/08/29,1000,19.74,19.74,19.74,19.74,,1,19740
107/08/30,1000,19.79,19.79,19.79,19.79,0.05,1,19790
107/08/31,1000,19.81,19.81,19.81,19.81,0.02,1,19810
107/09/03,2000,19.77,19.77,19.77,19.77,0.04,2,39540
107/09/04,2000,19.79,19.79,19.77,19.77,,2,39560
107/09/05,2000,19.80,19.80,19.80,19.80,0.03,2,39600
107/09/06,5000,19.98,19.98,19.92,19.92,0.12,4,99690
107/09/07,5000,19.96,19.98,19.96,19.98,0.06,5,99840
107/09/10,1000,19.91,19.91,19.91,19.91,0.07,1,19910
107/09/11,1000,19.99,19.99,19.99,19.99,0.08,1,19990
107/09/12,39000,19.87,19.87,19.85,19.85,0.14,8,774860
107/09/13,5000,19.67,19.67,19.67,19.67,0.18,1,98350
