FH美國金融股,	00767
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/02/11,100000,20.09,20.09,20.09,20.09,0.09,2,2009000
108/02/12,111000,20.04,20.04,20.01,20.03,0.06,5,2221240
108/02/13,121000,20.28,20.30,20.23,20.25,0.22,5,2450580
108/02/14,100000,20.35,20.35,20.35,20.35,0.10,2,2035000
108/02/15,100000,20.15,20.15,20.15,20.15,0.20,2,2015000
108/02/18,101000,20.57,20.57,20.57,20.57,0.42,3,2077570
108/02/19,100000,20.53,20.53,20.53,20.53,0.04,2,2053000
108/02/20,100000,20.50,20.50,20.50,20.50,0.03,4,2050000
108/02/21,101000,20.69,20.69,20.69,20.69,0.19,3,2089690
108/02/22,101000,20.55,20.56,20.55,20.56,0.13,3,2076550
108/02/25,112000,20.53,20.58,20.53,20.55,0.01,5,2301450
108/02/26,107000,20.59,20.61,20.59,20.61,0.06,7,2205130
108/02/27,100000,20.61,20.61,20.61,20.61,,2,2061000
