國泰北美科技,	00770
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/02/11,1964000,20.67,20.67,20.23,20.49,0.76,588,40197310
108/02/12,545000,20.62,20.81,20.59,20.80,0.31,110,11271080
108/02/13,323000,21.00,21.10,20.96,21.09,0.29,62,6793920
108/02/14,177000,21.10,21.10,20.97,21.07,0.02,55,3719500
108/02/15,356000,21.03,21.03,20.89,20.92,0.15,31,7449720
108/02/18,182000,21.03,21.09,21.03,21.05,0.13,33,3833280
108/02/19,44000,21.11,21.14,21.10,21.11,0.06,14,929260
108/02/20,32000,21.18,21.18,21.07,21.08,0.03,13,675500
108/02/21,256000,21.10,21.20,21.10,21.17,0.09,17,5418580
108/02/22,76000,21.03,21.03,20.98,20.98,0.19,20,1596760
108/02/25,109000,21.36,21.37,21.32,21.37,0.39,13,2326720
108/02/26,767000,21.31,21.32,21.22,21.22,0.15,20,16331700
108/02/27,55000,21.22,21.43,21.22,21.43,0.21,17,1174630
108/03/04,108000,21.59,21.69,21.59,21.69,0.26,15,2338130
108/03/05,34000,21.45,21.54,21.45,21.46,0.23,7,730430
108/03/06,22000,21.50,21.50,21.48,21.49,0.03,8,472690
108/03/07,1000,21.42,21.42,21.42,21.42,0.07,1,21420
108/03/08,101000,21.22,21.22,21.19,21.19,0.23,3,2143190
108/03/11,16000,21.20,21.25,21.20,21.25,0.06,4,339450
108/03/12,72000,21.67,21.76,21.67,21.75,0.50,9,1565050
108/03/13,16000,21.71,21.76,21.71,21.76,0.01,10,347710
108/03/14,19000,21.85,21.92,21.85,21.92,0.16,7,415980
108/03/15,14000,21.93,21.97,21.93,21.97,0.05,4,307380
108/03/18,9000,22.00,22.04,22.00,22.04,0.07,4,198200
108/03/19,27000,22.05,22.07,22.04,22.07,0.03,10,595460
108/03/20,40000,22.15,22.15,22.10,22.15,0.08,6,885200
108/03/21,190000,22.28,22.28,22.20,22.27,0.12,11,4231850
108/03/22,223000,22.61,22.83,22.61,22.72,0.45,43,5068790
108/03/25,180000,22.03,22.05,21.98,22.04,0.68,21,3964150
108/03/26,114000,22.20,22.27,22.19,22.27,0.23,10,2537790
108/03/27,96000,22.19,22.31,22.19,22.31,0.04,13,2134730
108/03/28,131000,22.00,22.06,22.00,22.05,0.26,20,2888560
108/03/29,8000,22.17,22.21,22.17,22.20,0.15,4,177570
