元大臺灣ESG永續,	00850
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/08/23,9955000,20.00,20.08,19.99,20.08,0.11,3335,199310194
108/08/26,11301984,20.08,21.00,20.00,20.25,0.17,4760,227397594
108/08/27,11447724,20.09,20.10,20.03,20.04,0.21,4491,229685082
108/08/28,17539999,19.99,19.99,19.88,19.91,0.13,6910,349404146
108/08/29,7790499,19.91,19.96,19.84,19.95,0.04,3285,154888929
108/08/30,4305448,20.06,20.23,20.06,20.23,0.28,1697,86768705
108/09/02,6340732,20.26,20.29,20.23,20.29,0.06,2539,128506128
108/09/03,6052641,20.29,20.29,20.14,20.14,0.15,2995,122351597
108/09/04,5975246,20.18,20.31,20.17,20.30,0.16,2308,120986054
108/09/05,6156731,20.49,20.50,20.42,20.48,0.18,2206,126049166
108/08/23,9955000,20.00,20.08,19.99,20.08,0.11,3335,199310194
108/08/26,11301984,20.08,21.00,20.00,20.25,0.17,4760,227397594
108/08/27,11447724,20.09,20.10,20.03,20.04,0.21,4491,229685082
108/08/28,17539999,19.99,19.99,19.88,19.91,0.13,6910,349404146
108/08/29,7790499,19.91,19.96,19.84,19.95,0.04,3285,154888929
108/08/30,4305448,20.06,20.23,20.06,20.23,0.28,1697,86768705
108/09/02,6340732,20.26,20.29,20.23,20.29,0.06,2539,128506128
108/09/03,6052641,20.29,20.29,20.14,20.14,0.15,2995,122351597
108/09/04,5975246,20.18,20.31,20.17,20.30,0.16,2308,120986054
108/09/05,6156731,20.49,20.50,20.42,20.48,0.18,2206,126049166
108/09/06,5867056,20.60,20.61,20.55,20.60,0.12,2158,120807039
108/09/09,8673949,20.70,20.73,20.65,20.69,0.09,2975,179523590
108/09/10,5286058,20.74,20.74,20.57,20.62,0.07,2389,109055735
108/09/11,3251009,20.67,20.70,20.59,20.62,,1423,67064144
108/09/12,2661688,20.71,20.74,20.66,20.71,0.09,1035,55115965
108/09/16,3239980,20.78,20.80,20.72,20.80,0.09,1325,67283859
108/09/17,6786209,20.85,20.85,20.79,20.81,0.01,2550,141219559
108/09/18,8373558,20.85,21.02,20.84,21.02,0.21,2870,175276021
108/09/19,18425360,21.10,21.75,21.02,21.42,0.40,6084,392511255
108/09/20,25787662,21.35,21.35,21.00,21.05,0.37,9927,543370186
108/09/23,11732295,20.91,20.94,20.81,20.83,0.22,4728,244660495
108/09/24,4478666,20.83,20.89,20.78,20.86,0.03,2033,93288092
108/09/25,6045518,20.83,20.83,20.70,20.76,0.10,2581,125409464
108/09/26,3114165,20.80,20.87,20.76,20.76,,1198,64770573
108/09/27,2540751,20.80,20.85,20.76,20.77,0.01,1076,52846977
