大魯閣          ,	1432
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,85377,19.65,19.65,19.40,19.60,-0.05,60,1660929
104/01/06,99000,19.50,19.65,19.35,19.60,,54,1928050
104/01/07,92000,19.35,19.80,19.35,19.80,0.20,48,1793800
104/01/08,128638,19.80,19.80,19.45,19.50,-0.30,69,2511057
104/01/09,99000,19.70,19.70,19.45,19.45,-0.05,37,1930050
104/01/12,175600,19.45,19.55,19.30,19.55,0.10,67,3405698
104/01/13,150196,19.65,19.65,19.35,19.60,0.05,65,2924781
104/01/14,113400,19.55,19.55,19.35,19.50,-0.10,47,2202090
104/01/15,150527,19.35,19.40,19.20,19.35,-0.15,66,2902868
104/01/16,151889,19.45,19.45,19.05,19.30,-0.05,76,2919367
104/01/19,201415,19.30,19.30,19.00,19.25,-0.05,98,3855796
104/01/20,121200,19.10,19.30,19.00,19.20,-0.05,69,2313269
104/01/21,92739,19.25,19.25,19.05,19.10,-0.10,47,1772003
104/01/22,200983,19.20,19.35,19.15,19.35,0.25,93,3861871
104/01/23,213620,19.35,19.45,19.20,19.45,0.10,110,4127912
104/01/26,890217,20.80,20.80,20.80,20.80,1.35,277,18516510
104/01/27,4194662,22.20,22.25,21.70,22.25,1.45,1334,93183174
104/01/28,1639548,22.00,22.10,21.60,21.65,-0.60,718,35701626
104/01/29,1542572,21.35,21.60,20.50,20.70,-0.95,614,32129860
104/01/30,695398,21.00,21.00,20.30,20.50,-0.20,314,14348758
104/02/02,664083,20.40,20.40,19.90,20.00,-0.50,290,13322420
104/02/03,538200,20.00,20.00,19.65,19.75,-0.25,254,10641928
104/02/04,698379,19.90,20.25,19.85,19.90,0.15,282,13988553
104/02/05,611703,19.90,20.20,19.85,20.00,0.10,185,12231904
104/02/06,302034,20.05,20.05,19.85,19.95,-0.05,113,6027074
104/02/09,286381,19.95,19.95,19.45,19.55,-0.40,139,5624729
104/02/10,177716,19.55,19.95,19.50,19.95,0.40,96,3492625
104/02/11,301458,19.95,19.95,19.45,19.60,-0.35,173,5917402
104/02/12,348694,19.55,19.60,19.20,19.55,-0.05,144,6788612
104/02/13,725238,19.50,19.60,19.05,19.20,-0.35,262,13916168
104/02/24,308075,19.40,19.40,19.10,19.10,-0.10,113,5904325
104/02/25,154295,19.05,19.30,19.05,19.15,0.05,73,2951505
104/02/26,151875,19.15,19.20,19.10,19.15,,73,2908425
104/03/02,171930,19.40,19.40,19.15,19.20,0.05,82,3305509
104/03/03,197200,19.20,19.20,19.10,19.15,-0.05,65,3775320
104/03/04,180411,19.20,19.20,19.05,19.10,-0.05,89,3450886
104/03/05,86469,19.25,19.25,19.10,19.15,0.05,46,1656580
104/03/06,173531,19.15,19.25,19.05,19.15,,87,3319266
104/03/09,127238,19.15,19.20,19.05,19.20,0.05,61,2433831
104/03/10,121000,19.15,19.15,19.05,19.10,-0.10,44,2312200
104/03/11,112001,19.15,19.15,19.05,19.10,,58,2137219
104/03/12,98271,19.10,19.20,19.00,19.20,0.10,45,1875861
104/03/13,132842,19.15,19.30,19.15,19.15,-0.05,53,2546840
104/03/16,67739,19.15,19.20,19.10,19.20,0.05,44,1296813
104/03/17,118026,19.05,19.20,19.05,19.10,-0.10,43,2255591
104/03/18,93400,19.15,19.20,19.10,19.20,0.10,44,1788820
104/03/19,147380,19.05,19.20,19.05,19.20,,80,2817836
104/03/20,251771,19.15,19.75,19.15,19.50,0.30,128,4884618
