佳和            ,	1449
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,19291,3.71,3.86,3.70,3.86,0.03,11,71733
104/01/06,21555,3.62,3.84,3.62,3.84,-0.02,13,79426
104/01/07,18531,3.62,3.84,3.62,3.84,,11,68144
104/01/08,43646,3.83,3.84,3.80,3.80,-0.04,11,167519
104/01/09,124,--,--,--,--,,6,462
104/01/12,70434,3.80,4.00,3.75,4.00,X,17,269658
104/01/13,91693,3.82,3.82,3.78,3.80,-0.20,19,348332
104/01/14,1291,3.96,3.96,3.96,3.96,0.16,7,5091
104/01/15,100823,3.94,3.97,3.78,3.97,0.01,24,389846
104/01/16,19381,3.84,3.93,3.78,3.93,-0.04,15,73823
104/01/19,24072,3.92,3.92,3.81,3.86,-0.07,21,93198
104/01/20,18299,3.80,3.90,3.80,3.90,0.04,11,69826
104/01/21,17694,3.88,3.89,3.88,3.88,-0.02,32,68729
104/01/22,40276,3.89,3.90,3.89,3.90,0.02,17,157009
104/01/23,34626,3.90,4.14,3.87,3.87,-0.03,36,137260
104/01/26,4668,3.85,3.85,3.83,3.83,-0.04,10,17979
104/01/27,46602,3.83,3.90,3.83,3.89,0.06,23,180481
104/01/28,28857,3.84,3.84,3.80,3.84,-0.05,22,110367
104/01/29,45368,3.80,3.99,3.80,3.96,0.12,21,177050
104/01/30,37008,3.98,3.98,3.91,3.97,0.01,15,146974
104/02/02,73404,3.90,4.07,3.90,4.07,0.10,12,286640
104/02/03,38515,4.07,4.07,3.91,4.04,-0.03,17,152928
104/02/04,20031,4.09,4.09,3.90,3.90,-0.14,12,80038
104/02/05,37416,3.81,3.99,3.81,3.85,-0.05,13,145202
104/02/06,104661,3.81,3.85,3.60,3.85,,30,388450
104/02/09,14631,3.72,3.93,3.72,3.93,0.08,8,55248
104/02/10,10646,3.80,3.93,3.80,3.93,,8,40794
104/02/11,62799,3.90,3.93,3.88,3.91,-0.02,25,244841
104/02/12,3523,3.90,3.90,3.90,3.90,-0.01,5,13717
104/02/13,46667,3.90,3.90,3.81,3.81,-0.09,12,180604
104/02/24,44352,3.57,3.71,3.55,3.71,-0.10,18,158897
104/02/25,27293,3.79,3.80,3.79,3.80,0.09,15,103536
104/02/26,24373,3.88,4.06,3.69,3.69,-0.11,16,94673
104/03/02,19630,3.69,3.69,3.69,3.69,,23,72473
104/03/03,71776,3.88,3.94,3.88,3.88,0.19,24,280592
104/03/04,186287,3.90,4.15,3.90,4.11,0.23,64,761667
104/03/05,138805,3.90,4.14,3.90,3.95,-0.16,61,564757
104/03/06,36019,3.93,3.94,3.91,3.91,-0.04,33,141552
104/03/09,68433,4.12,4.12,3.80,3.80,-0.11,38,266705
104/03/10,90765,4.06,4.06,4.00,4.00,0.20,32,363747
104/03/11,10753,4.14,4.14,3.93,3.96,-0.04,28,42702
104/03/12,37402,4.00,4.09,3.96,4.06,0.10,27,149729
104/03/13,64726,4.13,4.13,3.78,4.00,-0.06,19,256511
104/03/16,24111,3.92,4.00,3.92,4.00,,19,94889
104/03/17,15933,3.92,4.04,3.92,4.00,,14,63647
104/03/18,22269,4.10,4.10,3.89,3.91,-0.09,19,87133
104/03/19,20081,4.04,4.04,3.96,4.04,0.13,15,80220
104/03/20,91065,4.05,4.05,3.96,4.03,-0.01,32,367635
104/03/23,135262,4.00,4.19,3.96,4.18,0.15,51,554940
104/03/24,106422,4.19,4.19,3.97,3.97,-0.21,22,426800
104/03/25,68567,4.00,4.00,3.96,3.96,-0.01,23,272294
104/03/26,23299,3.69,4.07,3.69,3.86,-0.10,10,86969
104/03/27,11896,3.86,3.95,3.86,3.95,0.09,11,46247
104/03/30,35010,4.16,4.16,3.82,3.82,-0.13,48,138739
104/03/31,100867,3.99,4.05,3.95,4.04,0.22,29,402588
104/04/01,469530,4.20,4.32,4.20,4.32,0.28,77,2022454
104/04/02,53262,4.62,4.62,4.62,4.62,0.30,26,246063
104/04/07,49268,4.94,4.94,4.94,4.94,0.32,24,243377
104/04/08,37825,5.28,5.28,5.28,5.28,0.34,32,199709
104/04/09,47407,5.64,5.64,5.64,5.64,0.36,22,267370
104/04/10,143969,6.03,6.03,6.03,6.03,0.39,69,868120
104/04/13,4469076,6.45,6.45,5.66,6.04,0.01,1394,27871400
104/04/14,906103,5.90,5.90,5.62,5.62,-0.42,511,5184621
104/04/15,1583741,5.42,5.89,5.42,5.80,0.18,581,9042087
104/04/16,1055334,5.80,5.80,5.41,5.50,-0.30,417,5879482
104/04/17,1001547,5.50,5.76,5.45,5.65,0.15,362,5678825
104/04/20,474155,5.45,5.64,5.42,5.53,-0.12,298,2619246
104/04/21,769239,5.45,5.89,5.45,5.70,0.17,378,4405740
104/04/22,410356,5.55,5.80,5.55,5.70,,260,2337627
104/04/23,1156450,5.75,6.09,5.75,6.09,0.39,391,6942385
104/04/24,877768,6.09,6.16,5.90,6.10,0.01,345,5303200
104/04/27,1171124,6.16,6.52,6.16,6.52,0.42,393,7579775
104/04/28,1629712,6.69,6.97,6.69,6.97,0.45,372,11286684
104/04/29,3624681,7.44,7.45,7.00,7.45,0.48,916,26618931
104/04/30,1691685,7.59,7.97,7.55,7.97,0.52,464,13263859
104/05/04,3264811,8.52,8.52,8.00,8.52,0.55,941,27573951
104/05/05,2574764,8.52,8.99,7.93,7.93,-0.59,836,21173656
104/05/06,1960713,7.68,8.35,7.44,7.61,-0.32,723,15248226
104/05/07,1326559,7.15,7.42,7.10,7.19,-0.42,456,9561753
104/05/08,1549436,7.25,7.42,6.69,6.69,-0.50,464,10696521
104/05/11,1213068,6.70,6.99,6.23,6.25,-0.44,353,7804218
104/05/12,1114099,6.25,6.68,6.01,6.68,0.43,352,7141008
104/05/13,833160,6.76,7.14,6.74,7.14,0.46,232,5844049
104/05/14,1997865,7.63,7.63,7.41,7.63,0.49,490,15213697
104/05/15,2006123,7.73,7.98,7.10,7.10,-0.53,639,14665421
104/05/18,1103431,7.10,7.20,6.62,7.00,-0.10,386,7634387
104/05/19,761917,6.89,7.35,6.71,6.77,-0.23,295,5380372
104/05/20,720674,6.77,6.97,6.63,6.80,0.03,184,4870683
104/05/21,442422,6.80,6.97,6.65,6.70,-0.10,178,3008358
104/05/22,422385,6.73,6.80,6.41,6.47,-0.23,188,2760861
104/05/25,611143,6.47,6.47,6.07,6.14,-0.33,217,3790167
104/05/26,325173,6.14,6.27,6.10,6.14,,164,2006873
104/05/27,454087,6.14,6.21,6.00,6.06,-0.08,175,2756605
104/05/28,399176,6.10,6.48,6.06,6.48,0.42,164,2524551
104/05/29,845060,6.93,6.93,6.68,6.76,0.28,303,5760751
104/06/01,472942,6.70,6.76,6.32,6.76,,169,3090046
104/06/02,302412,6.69,6.88,6.52,6.56,-0.20,150,2019251
104/06/03,235784,6.57,6.64,6.35,6.50,-0.06,117,1535889
104/06/04,384650,6.41,6.70,6.35,6.35,-0.15,142,2493005
104/06/05,232035,6.31,6.35,6.11,6.24,-0.11,102,1444244
104/06/08,131914,6.24,6.42,6.20,6.20,-0.04,57,825514
104/06/09,474535,6.20,6.32,6.00,6.00,-0.20,135,2909053
104/06/10,124593,6.00,6.20,6.00,6.03,0.03,70,758688
104/06/11,459779,6.15,6.17,5.63,5.64,-0.39,138,2668213
104/06/12,268143,5.66,6.20,5.66,6.20,0.56,112,1607074
104/06/15,1120374,6.80,6.82,6.61,6.82,0.62,274,7628698
104/06/16,2376947,7.40,7.50,7.20,7.50,0.68,657,17732299
104/06/17,2026048,8.20,8.25,8.00,8.25,0.75,549,16626966
104/06/18,3669035,9.00,9.07,8.25,8.56,0.31,956,31927013
104/06/22,1508354,8.66,8.66,7.72,8.20,-0.36,470,12184012
104/06/23,794417,8.25,8.25,7.50,7.60,-0.60,339,6196356
104/06/24,798320,7.80,8.36,7.80,8.36,0.76,350,6514086
104/06/25,1108855,9.19,9.19,8.05,8.36,,502,9647656
104/06/26,475055,8.36,8.80,8.35,8.37,0.01,241,4051060
104/06/29,378865,8.10,8.50,7.70,8.10,-0.27,172,3049493
104/06/30,381072,7.50,8.10,7.50,8.00,-0.10,149,3003230
104/07/01,302477,8.11,8.45,8.11,8.13,0.13,141,2508029
104/07/02,307216,8.20,8.35,7.82,7.91,-0.22,155,2461654
104/07/03,357191,7.50,8.35,7.50,8.01,0.10,161,2808235
104/07/06,372496,8.03,8.28,8.02,8.13,0.12,164,3027882
104/07/07,549246,8.09,8.35,7.70,7.85,-0.28,219,4362198
104/07/08,527401,7.90,7.90,7.10,7.20,-0.65,203,3914466
