力山            ,	1515
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,280000,10.65,10.75,10.55,10.75,0.05,83,2988900
104/01/06,139000,10.55,10.65,10.55,10.65,-0.10,49,1473450
104/01/07,306119,10.55,10.65,10.50,10.65,,85,3234010
104/01/08,161401,10.65,10.75,10.60,10.75,0.10,57,1724489
104/01/09,113162,10.80,10.80,10.65,10.75,,42,1212282
104/01/12,241315,10.75,10.75,10.60,10.70,-0.05,61,2571089
104/01/13,243920,10.65,10.75,10.55,10.55,-0.15,75,2593755
104/01/14,138793,10.55,10.70,10.55,10.70,0.15,62,1477555
104/01/15,165842,10.70,10.70,10.55,10.60,-0.10,57,1760183
104/01/16,171955,10.60,10.60,10.45,10.55,-0.05,73,1810127
104/01/19,182000,10.55,10.60,10.40,10.55,,44,1916950
104/01/20,175394,10.55,10.60,10.45,10.60,0.05,63,1843437
104/01/21,85394,10.60,10.60,10.50,10.55,-0.05,35,901337
104/01/22,158000,10.55,10.60,10.50,10.55,,52,1666550
104/01/23,1294504,10.55,11.20,10.55,11.00,0.45,391,14154667
104/01/26,602201,11.00,11.30,11.00,11.15,0.15,259,6721269
104/01/27,360797,11.20,11.20,10.95,11.10,-0.05,129,3979217
104/01/28,256100,11.10,11.30,11.00,11.10,,130,2852960
104/01/29,259000,11.10,11.10,10.90,10.95,-0.15,86,2852150
104/01/30,186790,10.95,11.10,10.90,11.00,0.05,61,2051760
104/02/02,234000,11.00,11.05,10.80,11.00,,85,2561450
104/02/03,127499,11.00,11.05,10.85,11.05,0.05,61,1396489
104/02/04,138382,11.05,11.05,10.95,11.05,,50,1522802
104/02/05,124000,11.10,11.10,10.90,11.05,,41,1364900
104/02/06,116000,11.00,11.00,10.90,11.00,-0.05,29,1269600
104/02/09,104776,10.85,10.95,10.80,10.95,-0.05,46,1137557
104/02/10,139077,10.90,10.90,10.75,10.85,-0.10,74,1503880
104/02/11,115000,10.60,10.80,10.60,10.75,-0.10,43,1227350
104/02/12,330100,10.65,10.75,10.55,10.55,-0.20,69,3509210
104/02/13,358729,10.55,11.00,10.55,11.00,0.45,101,3865496
104/02/24,152271,11.00,11.00,10.85,10.85,-0.15,49,1658503
104/02/25,176525,10.85,10.95,10.80,10.95,0.10,52,1919645
104/02/26,164000,10.85,10.95,10.80,10.95,,46,1781900
104/03/02,58102,10.85,10.90,10.85,10.90,-0.05,28,631411
104/03/03,117793,10.90,10.95,10.80,10.90,,41,1278654
104/03/04,130612,10.95,10.95,10.85,10.95,0.05,68,1423969
104/03/05,112672,10.95,10.95,10.75,10.90,-0.05,36,1222955
104/03/06,120000,10.90,10.90,10.80,10.90,,60,1303250
104/03/09,193000,10.85,10.85,10.70,10.75,-0.15,60,2079300
104/03/10,134400,10.75,10.75,10.70,10.70,-0.05,33,1440599
104/03/11,491505,10.70,11.20,10.70,11.00,0.30,172,5362953
104/03/12,111091,11.00,11.05,10.85,10.90,-0.10,57,1218286
104/03/13,95000,10.90,10.90,10.80,10.85,-0.05,37,1033200
104/03/16,134001,10.80,10.95,10.80,10.95,0.10,43,1454660
104/03/17,79844,10.95,10.95,10.80,10.85,-0.10,37,868606
104/03/18,154126,10.80,10.90,10.75,10.90,0.05,52,1666309
104/03/19,207987,10.90,10.90,10.75,10.85,-0.05,60,2249259
104/03/20,148242,10.80,10.80,10.70,10.70,-0.15,53,1592926
104/03/23,144793,10.70,10.75,10.70,10.75,0.05,43,1551284
104/03/24,106954,10.75,10.75,10.65,10.65,-0.10,36,1142557
104/03/25,3390335,10.70,11.35,10.70,11.35,0.70,780,38272849
104/03/26,1248163,11.35,11.45,10.85,11.15,-0.20,461,13940172
104/03/27,504196,11.30,11.30,10.90,11.10,-0.05,194,5583506
104/03/30,450800,11.10,11.10,10.90,10.90,-0.20,140,4952479
104/03/31,404411,10.95,11.10,10.85,11.00,0.10,116,4422528
104/04/01,358011,10.95,11.00,10.85,10.85,-0.15,92,3900868
104/04/02,147833,10.85,10.95,10.80,10.95,0.10,67,1608536
104/04/07,171034,10.90,11.15,10.90,11.00,0.05,76,1883474
104/04/08,155516,11.00,11.00,10.90,11.00,,56,1704499
104/04/09,217326,11.00,11.10,10.95,11.00,,76,2396667
104/04/10,401068,11.00,11.00,10.70,10.75,-0.25,145,4349930
104/04/13,257077,10.75,10.90,10.75,10.90,0.15,93,2783984
104/04/14,167721,10.90,10.95,10.80,10.95,0.05,72,1826369
104/04/15,217664,10.90,11.00,10.90,10.95,,75,2380135
104/04/16,257902,10.95,11.00,10.85,10.90,-0.05,92,2818133
104/04/17,628090,10.90,10.90,10.70,10.85,-0.05,157,6755925
104/04/20,104864,10.85,10.85,10.75,10.75,-0.10,35,1133838
104/04/21,307135,10.75,10.80,10.55,10.65,-0.10,94,3273886
104/04/22,234365,10.60,10.65,10.50,10.60,-0.05,81,2479148
104/04/23,149751,10.60,10.70,10.50,10.70,0.10,68,1591209
104/04/24,207000,10.70,10.70,10.55,10.55,-0.15,93,2201350
104/04/27,239030,10.55,10.60,10.50,10.60,0.05,75,2521865
104/04/28,181595,10.60,10.65,10.50,10.60,,57,1920826
104/04/29,186619,10.60,10.65,10.55,10.65,0.05,79,1977161
104/04/30,167806,10.70,10.75,10.70,10.75,0.10,73,1796923
104/05/04,182187,10.75,10.80,10.65,10.80,0.05,79,1960848
104/05/05,116627,10.80,10.80,10.60,10.65,-0.15,41,1243695
104/05/06,267814,10.60,10.65,10.50,10.65,,88,2826677
104/05/07,93000,10.65,10.70,10.60,10.60,-0.05,48,988800
104/05/08,543586,10.60,10.60,10.00,10.25,-0.35,191,5566956
104/05/11,650518,10.25,10.25,9.55,9.79,-0.46,215,6387778
104/05/12,166586,9.75,9.84,9.67,9.84,0.05,75,1627663
104/05/13,188261,9.72,9.78,9.71,9.75,-0.09,62,1836301
104/05/14,79491,9.75,9.76,9.69,9.69,-0.06,44,772865
104/05/15,192034,9.69,9.69,9.62,9.69,,52,1856512
104/05/18,516007,9.56,9.64,9.25,9.28,-0.41,116,4834055
104/05/19,378201,9.22,9.31,9.10,9.31,0.03,133,3477789
104/05/20,418395,9.29,9.29,9.10,9.18,-0.13,129,3830948
104/05/21,241420,9.10,9.18,9.02,9.16,-0.02,95,2195552
104/05/22,186313,9.14,9.28,9.13,9.28,0.12,86,1717361
104/05/25,157126,9.18,9.23,9.10,9.23,-0.05,81,1441558
104/05/26,148007,9.23,9.25,9.16,9.25,0.02,54,1362964
104/05/27,86050,9.23,9.27,9.15,9.27,0.02,34,794267
104/05/28,342107,9.27,9.59,9.23,9.51,0.24,163,3235939
104/05/29,197946,9.45,9.55,9.43,9.44,-0.07,88,1879462
104/06/01,166700,9.44,9.46,9.30,9.30,-0.14,53,1566089
104/06/02,274192,9.27,9.55,9.27,9.55,0.25,100,2597934
104/06/03,196606,9.55,9.60,9.45,9.52,-0.03,82,1872272
104/06/04,386000,9.46,9.55,9.38,9.50,-0.02,117,3666040
104/06/05,250379,9.38,9.50,9.21,9.49,-0.01,105,2349842
104/06/08,150500,9.34,9.56,9.32,9.52,0.03,62,1426800
104/06/09,246240,9.45,9.60,9.18,9.46,-0.06,91,2336346
104/06/10,229790,9.46,9.60,9.41,9.58,0.12,84,2189203
104/06/11,167379,9.58,9.59,9.43,9.59,0.01,81,1592100
104/06/12,91000,9.72,9.72,9.63,9.70,0.11,55,881680
104/06/15,145512,9.70,9.70,9.60,9.68,-0.02,49,1405915
104/06/16,123842,9.66,9.67,9.53,9.67,-0.01,44,1189913
104/06/17,179000,9.52,9.71,9.48,9.68,0.01,98,1723640
104/06/18,96586,9.68,9.68,9.54,9.67,-0.01,38,931545
104/06/22,97000,9.52,9.66,9.52,9.66,-0.01,38,933110
104/06/23,125745,9.60,9.68,9.60,9.68,0.02,35,1212141
104/06/24,86042,9.65,9.69,9.61,9.69,0.01,51,830872
104/06/25,116000,9.65,9.69,9.61,9.67,-0.02,40,1117820
104/06/26,126102,9.66,9.66,9.55,9.65,-0.02,53,1211039
104/06/29,50539,9.65,9.65,9.48,9.48,-0.17,32,481931
104/06/30,270017,9.48,9.74,9.26,9.64,0.16,89,2593703
104/07/01,129389,9.63,9.77,9.61,9.61,-0.03,51,1254903
104/07/02,180000,9.61,9.72,9.61,9.69,0.08,56,1743810
104/07/03,201085,9.69,9.77,9.61,9.67,-0.02,83,1950144
104/07/06,136000,9.67,9.77,9.62,9.71,0.04,60,1320050
104/07/07,268000,9.71,9.79,9.50,9.62,-0.09,103,2578370
104/07/08,82000,9.50,9.50,9.36,9.36,-0.26,46,772760
104/07/09,196001,9.06,9.53,9.05,9.45,0.09,80,1839319
104/07/13,211196,9.45,9.68,9.45,9.68,0.23,89,2025641
104/07/14,134817,9.58,9.79,9.58,9.65,-0.03,58,1310682
104/07/15,106602,9.65,9.74,9.65,9.74,0.09,38,1034209
104/07/16,70387,9.74,9.78,9.64,9.76,0.02,36,685733
104/07/17,438317,9.76,10.00,9.67,9.98,0.22,111,4346167
104/07/20,341817,10.20,10.40,9.98,10.00,0.02,124,3472668
104/07/21,149126,10.00,10.25,9.95,10.15,0.15,68,1500541
104/07/22,158000,10.10,10.20,9.95,10.20,0.05,61,1589660
104/07/23,283000,10.20,10.20,9.84,10.10,-0.10,152,2832660
104/07/24,185000,10.05,10.25,9.98,10.20,0.10,70,1878700
104/07/27,305000,10.00,10.20,9.76,10.15,-0.05,113,3054940
104/07/28,234966,10.00,10.10,9.85,10.10,-0.05,76,2352690
104/07/29,210000,10.10,10.15,9.98,10.10,,52,2114050
104/07/30,159000,9.96,10.20,9.96,10.20,0.10,49,1604590
104/07/31,119842,10.00,10.30,9.99,10.15,-0.05,50,1207244
104/08/03,129637,10.00,10.25,9.98,10.20,0.05,57,1309169
104/08/04,195000,10.10,10.20,9.95,10.05,-0.15,71,1954220
104/08/05,160000,10.05,10.20,10.00,10.10,0.05,61,1611850
104/08/06,135000,10.10,10.20,9.98,10.20,0.10,44,1363570
104/08/07,149000,10.00,10.20,9.96,10.20,,56,1495600
104/08/10,181793,10.00,10.30,10.00,10.30,0.10,71,1858688
104/08/11,214000,10.35,10.35,9.98,10.15,-0.15,91,2161940
104/08/12,134984,10.10,10.10,9.92,10.10,-0.05,52,1354830
104/08/13,145643,9.93,10.10,9.93,10.10,,58,1463290
104/08/14,92728,10.05,10.05,9.60,9.60,-0.50,38,922723
104/08/17,399728,9.62,10.20,9.60,10.20,0.60,170,3945982
104/08/18,240000,10.00,10.20,10.00,10.10,-0.10,72,2425200
104/08/19,221898,10.00,10.10,9.92,10.00,-0.10,95,2218810
104/08/20,169078,10.00,10.20,9.96,10.10,0.10,105,1700250
