日馳            ,	1526
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,242045,13.35,13.80,13.35,13.80,0.45,125,3310213
104/01/06,187589,13.70,13.70,13.35,13.50,-0.30,80,2531940
104/01/07,60003,13.60,13.60,13.25,13.35,-0.15,45,802439
104/01/08,223233,13.60,13.60,13.10,13.25,-0.10,101,2961874
104/01/09,226977,13.25,13.75,13.25,13.55,0.30,122,3082236
104/01/12,711960,13.95,14.45,13.90,14.45,0.90,237,10166470
104/01/13,709007,14.45,14.50,14.00,14.25,-0.20,311,10119995
104/01/14,381627,14.20,14.45,14.05,14.40,0.15,171,5457161
104/01/15,260814,14.45,14.55,14.20,14.35,-0.05,112,3754327
104/01/16,525341,14.40,14.90,14.15,14.15,-0.20,251,7630507
104/01/19,178345,14.30,14.40,13.90,14.15,,87,2528129
104/01/20,96300,14.25,14.25,14.05,14.20,0.05,53,1362829
104/01/21,166484,14.20,14.30,14.05,14.20,,83,2356023
104/01/22,131740,14.30,14.40,14.20,14.30,0.10,63,1882757
104/01/23,495256,14.30,14.85,14.30,14.50,0.20,246,7261232
104/01/26,284257,14.55,14.65,14.40,14.40,-0.10,104,4118471
104/01/27,613570,14.50,14.90,14.50,14.75,0.35,237,9053497
104/01/28,1591012,14.85,15.70,14.85,15.10,0.35,599,24306130
104/01/29,537845,15.10,15.20,14.60,14.60,-0.50,229,7946199
104/01/30,478326,14.60,14.70,14.25,14.25,-0.35,191,6884192
104/02/02,285632,14.40,14.40,13.60,13.80,-0.45,147,3978825
104/02/03,344799,13.80,14.15,13.70,13.80,,152,4811087
104/02/04,160167,13.90,14.10,13.85,14.00,0.20,76,2233617
104/02/05,80713,13.90,14.00,13.80,13.80,-0.20,45,1119963
104/02/06,82794,13.80,14.10,13.80,14.00,0.20,60,1156479
104/02/09,96004,13.85,13.95,13.85,13.85,-0.15,51,1331852
104/02/10,104216,14.00,14.00,13.60,13.75,-0.10,61,1435119
104/02/11,68305,13.75,13.90,13.65,13.65,-0.10,50,935092
104/02/12,58168,13.60,13.80,13.55,13.70,0.05,36,793966
104/02/13,192007,13.80,14.10,13.80,13.95,0.25,95,2684393
104/02/24,175798,14.10,14.35,14.00,14.05,0.10,123,2486822
104/02/25,81284,14.15,14.15,14.00,14.10,0.05,52,1143638
104/02/26,46014,14.10,14.15,14.00,14.05,-0.05,39,646696
104/03/02,168322,14.15,14.30,14.10,14.15,0.10,109,2393987
104/03/03,119037,14.15,14.15,13.85,13.90,-0.25,70,1662602
104/03/04,98013,13.95,14.05,13.90,14.00,0.10,53,1369282
104/03/05,234212,14.00,14.45,14.00,14.30,0.30,140,3355148
104/03/06,152018,14.40,14.40,14.10,14.10,-0.20,99,2156102
104/03/09,112359,14.00,14.40,13.95,14.35,0.25,78,1597322
104/03/10,207048,14.40,14.50,14.10,14.20,-0.15,107,2960479
104/03/11,127000,14.15,14.20,14.00,14.20,,93,1787395
104/03/12,63295,14.05,14.15,14.05,14.10,-0.10,49,891963
104/03/13,72021,14.05,14.20,14.05,14.10,,61,1015644
104/03/16,137619,14.20,14.50,14.20,14.30,0.20,84,1970786
104/03/17,153201,14.30,14.50,14.05,14.05,-0.25,83,2185422
104/03/18,48207,14.10,14.25,14.10,14.10,0.05,38,682827
104/03/19,135538,14.30,14.40,14.15,14.25,0.15,91,1933332
104/03/20,140136,14.40,14.40,14.05,14.05,-0.20,76,1981608
104/03/23,94531,14.20,14.20,14.05,14.05,,70,1329858
104/03/24,139026,14.05,14.20,14.05,14.20,0.15,72,1959864
104/03/25,68027,14.20,14.20,14.05,14.10,-0.10,61,959978
104/03/26,662226,14.30,15.05,14.30,15.05,0.95,266,9890594
104/03/27,1208802,15.25,15.30,14.35,14.50,-0.55,550,17977537
104/03/30,406046,14.50,14.75,14.30,14.35,-0.15,178,5897794
104/03/31,236129,14.45,14.50,14.30,14.30,-0.05,207,3396458
104/04/01,347456,14.10,14.20,13.85,13.85,-0.45,198,4852363
104/04/02,135243,13.90,14.10,13.85,13.85,,130,1884238
104/04/07,254351,13.85,14.50,13.85,14.20,0.35,214,3579182
104/04/08,58502,14.40,14.40,14.10,14.20,,98,828963
104/04/09,24489,14.25,14.25,14.10,14.15,-0.05,67,346855
104/04/10,155915,14.25,14.55,14.15,14.30,0.15,101,2238335
104/04/13,721533,14.40,15.00,14.40,14.80,0.50,350,10666881
104/04/14,221219,14.80,14.80,14.45,14.45,-0.35,168,3228939
104/04/15,223200,14.50,14.75,14.45,14.55,0.10,145,3255085
104/04/16,1235839,14.60,15.55,14.60,15.55,1.00,334,19106792
104/04/17,4152148,15.85,16.60,15.55,16.60,1.05,1359,67629348
104/04/20,6552972,17.00,17.75,16.70,17.40,0.80,2834,113140909
104/04/21,3241159,17.40,17.40,16.25,16.40,-1.00,1350,54312220
104/04/22,1979319,16.40,17.15,16.00,17.15,0.75,988,33044883
104/04/23,3590041,17.15,18.35,16.80,18.35,1.20,1339,64451279
104/04/24,2446300,18.70,18.70,17.50,18.10,-0.25,1062,44042289
104/04/27,1471069,18.10,18.10,17.60,17.80,-0.30,588,26094045
104/04/28,1083267,17.90,18.20,17.55,17.75,-0.05,602,19337990
104/04/29,1838016,17.75,17.90,16.90,17.05,-0.70,792,31637172
104/04/30,1026596,17.10,17.25,16.60,16.60,-0.45,435,17227779
104/05/04,1042990,16.60,17.30,16.30,17.30,0.70,489,17537612
104/05/05,503290,17.30,17.30,16.85,16.95,-0.35,252,8577031
104/05/06,489685,16.80,17.40,16.80,17.10,0.15,248,8406945
104/05/07,1118008,16.80,17.15,15.95,16.20,-0.90,471,18297578
104/05/08,1098802,16.10,16.50,15.40,15.55,-0.65,388,17453737
104/05/11,754721,16.00,16.35,15.75,15.80,0.25,323,12066967
104/05/12,608895,15.80,15.80,15.05,15.20,-0.60,337,9304230
104/05/13,384006,15.20,15.75,15.20,15.40,0.20,239,5969140
104/05/14,421586,15.55,15.65,14.85,15.10,-0.30,238,6346890
104/05/15,1205433,14.30,14.40,14.05,14.05,-1.05,502,17045625
104/05/18,421100,14.05,14.05,13.55,13.75,-0.30,205,5806408
104/05/19,276898,13.75,14.15,13.55,14.00,0.25,157,3870108
104/05/20,202519,13.85,14.00,13.80,13.90,-0.10,100,2818111
