為升            ,	2231
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,473352,299.00,299.00,293.00,295.00,-4.00,398,139324718
104/01/06,493747,292.50,292.50,286.00,289.50,-5.50,430,142524752
104/01/07,517055,287.00,292.50,283.00,285.00,-4.50,475,147592175
104/01/08,536527,289.00,294.50,286.50,291.50,6.50,470,156335118
104/01/09,393676,294.50,296.00,288.50,291.50,,346,114563551
104/01/12,329746,288.00,294.50,288.00,291.00,-0.50,305,96355594
104/01/13,406123,291.00,297.50,289.00,296.50,5.50,374,119191285
104/01/14,828820,296.50,306.00,293.00,302.50,6.00,761,248775640
104/01/15,753524,302.50,309.00,300.50,303.00,0.50,682,229918796
104/01/16,478991,305.00,305.00,298.00,301.00,-2.00,436,144641309
104/01/19,631656,305.00,308.00,302.00,302.00,1.00,576,192615456
104/01/20,542050,303.00,306.50,301.50,304.00,2.00,481,164841173
104/01/21,304400,306.00,306.00,302.00,302.50,-1.50,280,92309999
104/01/22,873573,303.50,311.50,301.50,308.00,5.50,759,267674694
104/01/23,1683826,311.00,323.50,308.50,316.00,8.00,1513,532962016
104/01/26,906560,319.00,322.50,316.00,318.50,2.50,828,289320580
104/01/27,1090334,322.00,328.00,316.50,324.00,5.50,964,352940376
104/01/28,1271577,322.00,333.00,321.00,330.00,6.00,1022,418610333
104/01/29,822772,329.50,332.00,325.00,327.00,-3.00,751,270007944
104/01/30,654700,329.00,334.50,327.00,327.00,,606,216960500
104/02/02,495992,329.00,329.00,320.00,321.50,-5.50,445,160235424
104/02/03,386277,322.00,330.00,322.00,329.00,7.50,368,126357633
104/02/04,1572098,342.00,350.00,335.00,346.50,17.50,1395,539651348
104/02/05,629349,347.50,349.00,341.00,347.00,0.50,634,217879421
104/02/06,698266,349.00,349.00,337.50,339.50,-7.50,636,238422803
104/02/09,376577,340.00,342.50,338.00,338.50,-1.00,352,128140872
104/02/10,394420,339.00,340.50,333.50,336.50,-2.00,377,132707827
104/02/11,401457,340.00,343.50,336.50,343.00,6.50,384,136832337
104/02/12,293570,344.00,347.00,341.50,341.50,-1.50,277,100886300
104/02/13,450101,344.50,347.00,341.50,343.50,2.00,413,155138988
104/02/24,549690,345.50,353.00,345.50,347.50,4.00,471,191769240
104/02/25,408056,348.50,351.50,345.00,347.00,-0.50,402,141824901
104/02/26,369301,347.00,347.00,338.50,340.00,-7.00,352,125873840
104/03/02,473745,335.00,346.00,331.00,346.00,6.00,407,160634650
104/03/03,344602,345.00,347.00,342.00,343.00,-3.00,313,118583582
104/03/04,557861,341.00,351.00,340.00,345.00,2.00,480,193397250
104/03/05,504419,347.00,352.00,343.50,348.00,3.00,443,176112681
104/03/06,238754,350.00,351.00,345.50,345.50,-2.50,244,82874003
104/03/09,442409,350.00,353.00,345.00,346.00,0.50,416,154139807
104/03/10,197520,347.00,352.00,346.00,348.00,2.00,188,68865440
104/03/11,466664,347.50,348.00,342.00,342.00,-6.00,448,160453588
104/03/12,390051,342.00,345.00,338.00,338.00,-4.00,358,132968738
104/03/13,473974,339.00,344.50,336.00,339.50,1.50,394,161536171
104/03/16,379481,339.50,346.00,339.50,344.00,4.50,360,130155742
104/03/17,366201,347.00,347.00,341.50,345.50,1.50,345,126298345
104/03/18,550152,345.50,345.50,338.00,340.50,-5.00,511,187420252
104/03/19,758747,342.00,352.00,342.00,351.50,11.00,686,264427574
104/03/20,1821161,353.50,376.00,353.50,376.00,24.50,1443,671198536
104/03/23,1284126,378.00,384.50,369.50,369.50,-6.50,1153,484788868
104/03/24,438930,371.00,371.50,361.00,364.00,-5.50,407,159926020
104/03/25,376244,368.50,370.00,360.00,360.00,-4.00,371,137071340
104/03/26,336681,353.00,356.50,352.00,356.00,-4.00,317,119389436
104/03/27,557666,358.00,367.00,356.50,364.00,8.00,563,202370258
104/03/30,380440,366.00,367.00,356.00,364.00,,367,137471939
104/03/31,450676,368.00,368.00,356.50,360.00,-4.00,444,162654360
