鼎元            ,	2426
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,3176381,13.80,13.90,13.40,13.50,-0.30,1018,43139630
104/01/06,2440904,13.50,13.50,13.00,13.15,-0.35,813,32111226
104/01/07,1829620,13.10,13.35,13.05,13.10,-0.05,535,24159750
104/01/08,7493636,13.35,14.00,13.25,14.00,0.90,2156,103397154
104/01/09,4682382,14.10,14.35,13.70,13.70,-0.30,1468,65532207
104/01/12,2096094,13.55,13.65,13.30,13.40,-0.30,707,28196183
104/01/13,1130638,13.35,13.65,13.30,13.55,0.15,456,15346749
104/01/14,1192197,13.65,13.75,13.50,13.50,-0.05,430,16242973
104/01/15,971443,13.50,13.60,13.30,13.50,,331,13050611
104/01/16,1210188,13.50,13.50,13.25,13.30,-0.20,365,16146719
104/01/19,1189392,13.40,13.45,13.20,13.30,,377,15785407
104/01/20,1463952,13.30,13.70,13.15,13.70,0.40,474,19667156
104/01/21,1194022,13.70,13.70,13.20,13.20,-0.50,440,16065172
104/01/22,2997298,13.20,13.65,13.15,13.30,X,758,40316680
104/01/23,902626,13.40,13.50,13.25,13.25,-0.05,431,12033728
104/01/26,467310,13.25,13.40,13.20,13.25,,214,6216215
104/01/27,666059,13.30,13.30,13.10,13.15,-0.10,307,8796553
104/01/28,1350578,13.15,13.30,12.90,12.90,-0.25,524,17630780
104/01/29,616315,12.75,13.10,12.75,12.90,,250,7975295
104/01/30,506668,13.00,13.10,12.90,12.90,,190,6558221
104/02/02,318412,12.80,12.95,12.75,12.80,-0.10,164,4083314
104/02/03,359745,12.80,13.00,12.80,12.85,0.05,216,4629164
104/02/04,444351,12.95,13.00,12.75,12.75,-0.10,266,5694410
104/02/05,765963,12.75,12.85,12.45,12.45,-0.30,362,9629773
104/02/06,899574,12.45,12.55,12.20,12.25,-0.20,401,11102626
104/02/09,540807,12.20,12.35,12.15,12.15,-0.10,234,6605786
104/02/10,850126,12.20,12.50,12.20,12.35,0.20,409,10512030
104/02/11,818980,12.30,12.40,12.25,12.35,,282,10102734
104/02/12,484996,12.35,12.40,12.25,12.35,,145,5976283
104/02/13,542007,12.35,12.50,12.35,12.35,,258,6742866
104/02/24,754741,12.35,12.60,12.35,12.50,0.15,311,9399663
104/02/25,473563,12.60,12.60,12.25,12.40,-0.10,237,5871180
104/02/26,599227,12.40,12.45,12.30,12.40,,254,7415681
104/03/02,3266270,12.50,13.25,12.50,13.25,0.85,1150,42983418
104/03/03,4438492,13.25,13.25,12.95,13.25,,1606,58195923
104/03/04,5443682,13.40,13.65,13.15,13.35,0.10,1706,73299196
104/03/05,1946278,13.40,13.55,13.20,13.30,-0.05,688,25965991
104/03/06,1049230,13.30,13.40,13.15,13.35,0.05,452,13923471
104/03/09,3201731,13.35,13.55,13.25,13.40,0.05,839,42925585
104/03/10,3054888,13.45,13.50,13.30,13.30,-0.10,827,40873042
104/03/11,4970948,13.15,13.45,13.15,13.30,,2856,65880320
104/03/12,3324618,13.35,13.40,12.90,12.95,-0.35,1254,43520522
104/03/13,2522151,13.00,13.40,13.00,13.30,0.35,1158,33374558
104/03/16,8555591,13.30,14.15,13.20,13.85,0.55,2411,117743676
104/03/17,5230320,14.30,14.35,13.80,13.85,,1635,73439358
104/03/18,2147358,13.95,14.05,13.80,13.80,-0.05,762,29933031
104/03/19,4503116,14.00,14.30,13.85,14.20,0.40,1350,63371124
104/03/20,11904431,14.20,15.15,14.00,14.85,0.65,3300,175619453
104/03/23,8980005,15.00,15.30,14.85,15.30,0.45,2575,135284724
104/03/24,5379839,15.30,15.45,14.95,15.05,-0.25,1909,81484335
104/03/25,4945954,15.15,15.25,14.50,14.75,-0.30,1578,73464965
104/03/26,2088587,14.55,14.90,14.50,14.75,,814,30913002
104/03/27,2920020,14.85,15.10,14.85,14.85,0.10,1106,43677421
104/03/30,2111850,14.85,15.00,14.20,14.45,-0.40,948,30684912
104/03/31,1512720,14.60,14.70,14.40,14.50,0.05,597,22001634
104/04/01,1612636,14.35,14.65,14.35,14.60,0.10,638,23351483
104/04/02,2276105,14.70,14.95,14.70,14.75,0.15,983,33686196
104/04/07,1256121,14.75,14.80,14.55,14.60,-0.15,750,18399169
104/04/08,1816497,14.70,14.75,14.30,14.35,-0.25,933,26317549
104/04/09,3035535,14.50,14.85,14.50,14.70,0.35,1094,44593515
104/04/10,1888611,14.85,14.90,14.40,14.65,-0.05,749,27635166
104/04/13,1540683,14.65,14.65,14.40,14.50,-0.15,633,22333564
104/04/14,18973059,15.05,15.50,14.80,15.50,1.00,4431,290611969
104/04/15,23253250,15.80,16.55,15.65,16.30,0.80,7078,373952563
104/04/16,19172612,16.30,16.90,15.85,16.60,0.30,5389,314148241
104/04/17,13547278,16.60,17.05,16.40,16.60,,3926,227128950
104/04/20,7161943,16.60,16.90,16.40,16.65,0.05,2078,119401705
104/04/21,17047974,16.90,17.50,16.25,16.45,-0.20,4997,289705871
104/04/22,9055208,16.60,16.85,15.95,16.35,-0.10,2568,147659650
104/04/23,6614977,16.45,16.70,16.35,16.45,0.10,1824,109034831
104/04/24,5916205,16.55,16.65,16.15,16.40,-0.05,1769,96419352
104/04/27,4443696,16.60,16.60,16.15,16.45,0.05,1231,72579198
104/04/28,14191891,16.60,17.20,16.45,17.00,0.55,4086,241126384
104/04/29,7535030,17.20,17.20,16.45,16.50,-0.50,2328,125936930
104/04/30,3385620,16.50,16.80,16.45,16.75,0.25,1280,56394893
104/05/04,2365126,16.90,17.00,16.50,16.50,-0.25,923,39432415
104/05/05,2573205,16.55,16.85,16.35,16.40,-0.10,960,42640991
104/05/06,3241828,16.20,16.75,16.15,16.40,,1212,53387311
104/05/07,3093982,16.50,16.75,16.15,16.15,-0.25,1143,50807489
104/05/08,13713218,16.30,16.60,15.05,15.20,-0.95,3814,210833924
104/05/11,8096316,15.20,15.40,14.15,14.50,-0.70,2242,117274017
104/05/12,2771606,14.50,14.85,14.40,14.65,0.15,981,40481511
104/05/13,1573648,14.80,14.85,14.50,14.80,0.15,649,23112976
104/05/14,1936810,14.90,15.10,14.80,14.95,0.15,777,28902391
104/05/15,1332927,14.95,15.05,14.70,14.75,-0.20,568,19790808
104/05/18,1648389,14.80,14.90,14.30,14.30,-0.45,686,23945237
104/05/19,2026726,14.50,14.95,14.40,14.90,0.60,787,29853428
104/05/20,1319672,14.90,14.90,14.65,14.75,-0.15,476,19441898
104/05/21,1303328,14.70,14.80,14.50,14.60,-0.15,476,19066630
104/05/22,1602910,14.60,14.85,14.50,14.60,,527,23533530
104/05/25,2503245,14.60,14.95,14.50,14.80,0.20,662,37066789
104/05/26,2198234,14.80,14.85,14.45,14.80,,529,32165275
104/05/27,2421462,14.70,15.10,14.70,15.00,0.20,794,36158916
104/05/28,11931611,15.30,16.05,15.30,16.05,1.05,3117,188891699
104/05/29,4794583,16.00,16.25,15.80,15.80,-0.25,1625,76584840
104/06/01,2037675,15.85,16.05,15.50,16.00,0.20,667,32212021
104/06/02,5638800,15.90,16.45,15.80,16.10,0.10,1798,91425000
104/06/03,2948802,16.10,16.15,15.45,15.70,-0.40,942,46308355
104/06/04,2984871,15.65,15.70,15.05,15.20,-0.50,1007,45742684
104/06/05,4493261,15.05,15.20,14.50,14.70,-0.50,1226,66027277
104/06/08,2198657,14.80,15.00,14.35,14.75,0.05,937,32346283
104/06/09,3557449,14.60,14.75,13.50,14.15,-0.60,966,50218551
104/06/10,1274067,14.15,14.65,14.15,14.50,0.35,487,18382919
104/06/11,1131135,14.50,14.70,14.35,14.65,0.15,393,16428157
104/06/12,3574866,14.65,15.45,14.65,15.00,0.35,1297,53993596
104/06/15,1092540,15.00,15.20,14.75,14.80,-0.20,461,16307060
104/06/16,1399580,14.80,14.80,14.40,14.40,-0.40,512,20290398
104/06/17,1457226,14.60,15.05,14.45,14.70,0.30,620,21577480
104/06/18,1491031,14.65,15.05,14.65,15.00,0.30,631,22313102
104/06/22,2548208,15.20,15.40,14.90,15.00,,890,38678070
104/06/23,1495273,15.10,15.35,15.00,15.10,0.10,506,22644495
104/06/24,1102217,15.20,15.20,14.75,14.90,-0.20,452,16496576
104/06/25,4430944,15.10,15.80,14.90,15.65,0.75,1425,67885114
104/06/26,3243393,15.55,15.85,15.35,15.40,-0.25,920,50590675
104/06/29,1509047,15.10,15.20,14.75,14.80,-0.60,538,22557388
104/06/30,1443334,15.00,15.15,14.75,15.10,0.30,593,21676910
104/07/01,1570443,15.10,15.35,15.05,15.25,0.15,418,23873651
104/07/02,2896498,15.30,15.80,15.25,15.40,0.15,969,44837560
104/07/03,1319362,15.30,15.35,15.10,15.15,-0.25,467,20037612
104/07/06,1001502,15.15,15.30,14.85,14.85,-0.30,394,15114100
104/07/07,1331269,15.00,15.20,14.85,14.85,,421,19921538
104/07/08,1906202,15.00,15.00,13.75,14.40,-0.45,851,27226694
104/07/09,1553304,14.05,14.20,13.30,14.15,-0.25,601,21613595
104/07/13,1124710,14.40,14.55,14.20,14.30,0.15,430,16141140
104/07/14,3533442,14.40,14.60,14.10,14.15,-0.15,1145,50391112
104/07/15,7069439,14.20,14.50,14.00,14.20,X,2326,100608126
104/07/16,2690444,14.40,14.40,14.05,14.20,,927,38302543
104/07/17,1266633,14.30,14.30,14.00,14.05,-0.15,491,17942289
104/07/20,1838496,14.10,14.15,13.60,13.60,-0.45,686,25309592
104/07/21,1538144,13.70,13.80,13.35,13.45,-0.15,492,20829924
104/07/22,1310642,13.30,13.45,13.10,13.45,,569,17402963
104/07/23,1485521,13.30,13.40,12.80,13.35,-0.10,589,19487397
104/07/24,898176,13.30,13.40,12.95,12.95,-0.40,386,11821063
104/07/27,3274255,12.90,13.00,11.70,11.70,-1.25,1022,39714176
104/07/28,3959760,11.50,11.70,11.05,11.65,-0.05,1077,45063782
104/07/29,2200525,11.95,12.10,11.75,11.80,0.15,621,26215540
104/07/30,1430933,11.85,12.30,11.85,12.00,0.20,557,17333246
104/07/31,718165,12.20,12.25,11.80,12.00,,360,8576130
104/08/03,1047255,11.85,12.00,11.55,11.60,-0.40,545,12250175
104/08/04,4146919,11.70,11.80,10.45,10.65,-0.95,1209,45099259
104/08/05,2174066,10.70,11.40,10.65,11.40,0.75,782,24106293
104/08/06,1294932,11.70,11.70,11.05,11.25,-0.15,561,14579828
104/08/07,1392201,11.05,11.65,10.90,11.65,0.40,520,15900217
104/08/10,1536453,11.65,12.30,11.35,12.20,0.55,598,18242973
104/08/11,2976603,11.85,12.20,11.70,12.00,-0.20,886,35442186
104/08/12,757194,11.75,11.85,11.60,11.70,-0.30,344,8862101
104/08/13,1171667,11.80,11.95,11.65,11.75,0.05,425,13786234
104/08/14,683595,11.75,11.80,11.65,11.65,-0.10,289,8004956
104/08/17,960214,11.70,11.70,11.35,11.35,-0.30,355,11025909
104/08/18,1214064,11.30,11.50,11.00,11.40,0.05,572,13592074
104/08/19,1164299,11.10,11.25,10.80,10.90,-0.50,511,12778620
104/08/20,908883,10.80,11.40,10.70,11.00,0.10,471,10042864
104/08/21,2114569,10.70,10.80,10.20,10.30,-0.70,708,22244202
104/08/24,4245144,9.70,10.05,9.27,9.27,-1.03,1048,39720736
104/08/25,1455940,8.85,9.68,8.72,9.68,0.41,561,13528508
104/08/26,891158,9.27,9.79,9.27,9.71,0.03,418,8554836
104/08/27,1640479,9.71,10.20,9.71,10.00,0.29,623,16425460
104/08/28,3447078,10.10,11.00,10.10,10.70,0.70,1176,36940466
104/08/31,1643602,10.55,10.95,10.50,10.85,0.15,513,17761450
104/09/01,4113279,11.20,11.35,11.05,11.15,0.30,1323,45969692
104/09/02,2046287,10.85,11.40,10.80,11.40,0.25,710,22698287
104/09/03,7506158,11.40,12.20,11.25,11.85,0.45,2191,88204748
