宏璟            ,	2527
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,146789,20.80,20.80,20.50,20.80,,92,3032301
104/01/06,227000,20.75,20.75,20.45,20.70,-0.10,122,4666000
104/01/07,223000,20.70,20.80,20.35,20.70,,143,4596200
104/01/08,242005,20.70,20.80,20.60,20.80,0.10,99,5007903
104/01/09,164574,20.70,20.80,20.65,20.70,-0.10,63,3410024
104/01/12,148359,20.80,20.80,20.50,20.80,0.10,85,3057830
104/01/13,154000,20.80,20.80,20.65,20.80,,79,3192400
104/01/14,180000,20.70,20.80,20.50,20.80,,81,3722150
104/01/15,84539,20.70,20.70,20.55,20.60,-0.20,45,1742206
104/01/16,278000,20.75,20.75,20.20,20.70,0.10,170,5676350
104/01/19,107000,20.70,20.70,20.30,20.30,-0.40,54,2186600
104/01/20,67216,20.15,20.45,20.10,20.30,,53,1362284
104/01/21,93821,20.30,20.35,20.20,20.30,,61,1901683
104/01/22,253000,20.30,20.45,20.25,20.25,-0.05,164,5141100
104/01/23,130747,20.55,20.55,20.25,20.30,0.05,69,2657914
104/01/26,133000,20.50,20.55,20.25,20.30,,89,2708200
104/01/27,100057,20.30,20.50,20.30,20.35,0.05,72,2039551
104/01/28,44574,20.55,20.55,20.35,20.55,0.20,35,911109
104/01/29,148000,20.55,20.60,20.20,20.60,0.05,97,3008800
104/01/30,59537,20.60,20.60,20.30,20.35,-0.25,46,1213747
104/02/02,221928,20.50,20.50,20.35,20.40,0.05,84,4535040
104/02/03,187000,20.40,20.45,20.30,20.35,-0.05,67,3811850
104/02/04,297060,20.45,20.60,20.35,20.60,0.25,114,6065230
104/02/05,541010,20.55,20.75,20.45,20.70,0.10,146,11143956
104/02/06,458007,20.80,20.90,20.50,20.60,-0.10,201,9491344
104/02/09,502000,20.60,20.60,20.40,20.60,,85,10308750
104/02/10,165000,20.55,20.80,20.50,20.80,0.20,119,3403250
104/02/11,258585,20.80,20.80,20.55,20.55,-0.25,50,5353383
104/02/12,87000,20.80,20.80,20.50,20.70,0.15,62,1792550
104/02/13,293000,20.70,20.85,20.70,20.85,0.15,120,6089650
104/02/24,121264,21.00,21.05,20.85,20.95,0.10,74,2538791
104/02/25,110000,20.95,21.10,20.85,20.95,,62,2302050
104/02/26,115005,20.95,20.95,20.80,20.85,-0.10,62,2400503
104/03/02,1151273,21.00,22.30,21.00,22.30,1.45,477,25303409
104/03/03,867125,23.00,23.20,22.40,22.50,0.20,448,19764300
