皇翔            ,	2545
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1138922,48.35,48.40,47.70,47.70,-0.65,300,54640997
104/01/06,1067250,47.50,47.60,46.80,46.80,-0.90,310,50198150
104/01/07,1237400,46.80,46.80,45.45,45.45,-1.35,447,57231887
104/01/08,1234450,45.70,46.80,45.65,45.65,0.20,427,56893000
104/01/09,372150,46.00,46.35,45.80,46.20,0.55,267,17146982
104/01/12,611204,46.00,47.00,45.90,46.40,0.20,346,28523254
104/01/13,382387,46.50,46.80,46.15,46.50,0.10,194,17785777
104/01/14,539864,46.50,46.60,45.70,45.75,-0.75,252,24755162
104/01/15,651400,46.00,46.20,45.50,45.50,-0.25,219,29733298
104/01/16,1049504,45.20,45.45,43.20,43.90,-1.60,630,46239226
104/01/19,759128,44.00,44.40,43.30,43.30,-0.60,272,33206148
104/01/20,541572,43.30,44.95,43.30,44.45,1.15,339,23836504
104/01/21,203220,44.45,44.60,43.95,44.05,-0.40,129,8978428
104/01/22,620300,44.05,45.65,44.05,45.65,1.60,417,27891120
104/01/23,543529,46.20,46.20,45.25,45.60,-0.05,282,24817762
104/01/26,367760,45.90,46.20,45.40,45.65,0.05,159,16778215
104/01/27,162448,45.35,45.70,45.35,45.60,-0.05,123,7403777
104/01/28,345100,45.45,46.25,45.10,46.00,0.40,174,15824135
104/01/29,196890,45.80,46.00,45.50,46.00,,113,8992021
104/01/30,269450,46.50,46.95,45.50,45.50,-0.50,174,12410476
104/02/02,94079,46.00,46.00,45.30,45.30,-0.20,69,4285039
104/02/03,110000,45.20,45.60,45.20,45.35,0.05,71,4987650
104/02/04,147105,45.70,45.70,44.95,44.95,-0.40,88,6659618
104/02/05,151598,45.00,45.50,45.00,45.25,0.30,103,6852010
104/02/06,205000,45.50,45.55,45.20,45.40,0.15,95,9313050
104/02/09,241100,45.20,45.70,44.65,44.65,-0.75,98,10907385
104/02/10,115100,44.65,45.30,44.60,44.60,-0.05,95,5163130
104/02/11,307050,45.60,45.70,44.75,44.95,0.35,181,13845342
104/02/12,151010,45.10,45.10,44.65,44.65,-0.30,85,6761647
104/02/13,1852479,45.60,46.90,45.20,46.75,2.10,1038,86053739
104/02/24,566530,47.50,47.60,45.80,46.00,-0.75,333,26246067
104/02/25,491786,46.00,46.35,45.50,45.70,-0.30,275,22593112
104/02/26,325005,46.10,46.10,45.35,45.45,-0.25,201,14806878
104/03/02,144767,46.00,46.00,45.55,45.60,0.15,112,6613894
104/03/03,221150,45.65,45.90,45.30,45.35,-0.25,128,10050672
104/03/04,222022,45.35,45.70,45.05,45.10,-0.25,137,10053492
104/03/05,181050,45.20,45.35,44.85,45.05,-0.05,115,8162832
104/03/06,257700,45.05,45.35,44.80,44.85,-0.20,153,11585843
104/03/09,568046,44.70,44.90,43.80,44.10,-0.75,302,25040258
104/03/10,407255,44.00,44.15,43.40,43.95,-0.15,255,17800157
104/03/11,175029,44.00,44.50,43.95,44.00,0.05,136,7712490
104/03/12,287605,44.50,45.05,44.30,44.70,0.70,223,12867542
104/03/13,306598,43.60,44.70,43.60,44.25,-0.45,168,13569260
104/03/16,158521,44.50,44.50,44.15,44.15,-0.10,86,7013805
104/03/17,181001,44.30,44.50,44.05,44.05,-0.10,121,8009495
104/03/18,175807,44.00,44.40,44.00,44.05,,129,7767358
104/03/19,325158,44.30,44.50,44.15,44.50,0.45,169,14422695
104/03/20,979245,45.10,45.50,45.00,45.30,0.80,547,44238846
104/03/23,871116,45.50,45.60,44.50,44.50,-0.80,596,39065427
104/03/24,685631,44.65,44.65,44.10,44.15,-0.35,409,30378088
104/03/25,623817,44.00,44.60,43.85,44.00,-0.15,387,27547165
104/03/26,1165500,44.00,44.55,43.35,43.60,-0.40,866,50897850
104/03/27,919202,43.65,43.80,43.15,43.35,-0.25,436,39887529
