懷特            ,	4108
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,427271,36.00,36.30,35.50,35.65,-0.30,282,15315169
104/01/06,684245,35.50,35.50,34.80,34.90,-0.75,381,23979658
104/01/07,370362,34.40,35.20,34.40,34.90,,251,12918307
104/01/08,493452,35.10,35.30,34.50,34.95,0.05,332,17189770
104/01/09,780006,34.95,35.50,34.60,34.60,-0.35,399,27412906
104/01/12,544500,34.30,34.80,34.30,34.35,-0.25,340,18750197
104/01/13,359800,34.80,34.80,34.15,34.30,-0.05,266,12367828
104/01/14,300083,34.60,34.60,34.00,34.00,-0.30,225,10234091
104/01/15,201022,34.00,34.35,34.00,34.05,0.05,163,6850948
104/01/16,680416,34.15,34.15,33.10,33.10,-0.95,445,22764368
104/01/19,510508,35.00,35.00,33.60,33.75,0.65,366,17511287
104/01/20,347223,33.80,34.00,33.60,34.00,0.25,205,11748232
104/01/21,987400,34.80,35.20,34.30,34.30,0.30,632,34303209
104/01/22,273939,34.45,34.50,34.10,34.15,-0.15,214,9378576
104/01/23,260500,34.30,34.40,34.05,34.05,-0.10,171,8897000
104/01/26,228730,34.20,34.20,33.75,33.80,-0.25,155,7754955
104/01/27,423197,33.80,34.70,33.80,34.30,0.50,286,14540275
104/01/28,228175,34.30,34.30,33.95,33.95,-0.35,180,7764039
104/01/29,243005,33.95,34.20,33.60,34.20,0.25,175,8234821
104/01/30,1911678,35.00,35.45,34.35,34.35,0.15,1049,66994182
104/02/02,498695,34.55,34.80,34.40,34.45,0.10,300,17240651
104/02/03,218549,34.45,34.70,34.25,34.40,-0.05,149,7531324
104/02/04,294057,34.50,34.60,34.10,34.15,-0.25,211,10083579
104/02/05,191851,34.20,34.35,33.85,33.85,-0.30,150,6520803
104/02/06,150045,33.85,34.05,33.80,33.85,,126,5082919
104/02/09,213683,33.85,34.05,33.60,33.65,-0.20,160,7212009
104/02/10,210704,33.80,33.85,33.50,33.60,-0.05,169,7080439
104/02/11,387502,33.60,33.65,33.20,33.25,-0.35,265,12915462
104/02/12,286406,33.30,33.40,32.95,33.00,-0.25,197,9475555
104/02/13,252452,33.00,33.40,33.00,33.10,0.10,169,8379516
104/02/24,188183,33.40,33.60,33.15,33.50,0.40,147,6280307
104/02/25,178905,33.70,33.70,33.35,33.50,,143,5996832
104/02/26,321183,33.30,33.95,33.30,33.70,0.20,250,10802550
104/03/02,275695,33.80,33.90,33.30,33.85,0.15,254,9294623
104/03/03,183169,34.00,34.00,33.55,33.70,-0.15,180,6174299
104/03/04,244550,33.70,33.90,33.60,33.65,-0.05,221,8255054
104/03/05,217833,33.70,33.95,33.70,33.90,0.25,193,7369300
104/03/06,273105,34.00,34.20,33.70,33.85,-0.05,237,9247818
104/03/09,206370,33.75,33.80,33.40,33.45,-0.40,188,6930975
104/03/10,241542,33.50,33.60,33.20,33.20,-0.25,215,8051436
104/03/11,230709,33.10,33.35,33.05,33.10,-0.10,205,7640795
