國光生          ,	4142
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,977001,30.30,30.50,30.05,30.20,-0.10,580,29512431
104/01/06,1022002,30.00,30.05,29.60,29.60,-0.60,602,30424512
104/01/07,517008,29.60,29.90,29.60,29.65,0.05,317,15394340
104/01/08,1031003,29.75,29.80,29.25,29.50,-0.15,563,30337193
104/01/09,612010,29.55,29.70,29.35,29.40,-0.10,278,18054810
104/01/12,5467439,31.45,31.45,30.80,31.45,2.05,2605,170736953
104/01/13,5814987,31.90,32.25,31.10,31.10,-0.35,2641,184662442
104/01/14,2133220,31.45,31.75,31.05,31.20,0.10,1048,66723206
104/01/15,1582001,31.45,31.45,30.50,30.55,-0.65,842,48715132
104/01/16,1971005,30.50,30.55,29.80,29.85,-0.70,1020,59225710
104/01/19,1376011,30.05,30.55,29.80,29.80,-0.05,645,41445191
104/01/20,635000,30.10,30.40,29.85,29.95,0.15,359,19152150
104/01/21,1007485,30.10,30.10,29.50,29.55,-0.40,672,29873452
104/01/22,642181,29.55,29.95,29.55,29.70,0.15,349,19092130
104/01/23,804000,29.80,29.90,29.60,29.70,,506,23887550
104/01/26,945102,29.85,29.85,29.30,29.30,-0.40,474,27855826
104/01/27,621100,29.40,29.90,29.35,29.45,0.15,383,18382725
104/01/28,501009,29.50,29.60,29.20,29.25,-0.20,306,14686929
104/01/29,497127,29.20,29.45,29.20,29.25,,281,14551737
104/01/30,478006,29.50,29.50,29.05,29.15,-0.10,215,13931736
104/02/02,588001,29.20,29.50,29.00,29.30,0.15,277,17241930
104/02/03,290201,29.30,29.45,29.05,29.10,-0.20,178,8470881
104/02/04,300001,29.20,29.45,29.05,29.05,-0.05,181,8749581
104/02/05,295100,29.20,29.25,29.00,29.05,,159,8576854
104/02/06,289006,29.15,29.20,29.00,29.00,-0.05,158,8401230
104/02/09,401100,29.00,29.10,28.90,29.10,0.10,205,11630969
104/02/10,595020,28.95,29.05,28.60,28.60,-0.50,369,17096030
104/02/11,1323112,28.60,28.65,27.85,28.00,-0.60,740,37228860
104/02/12,236100,27.90,28.20,27.90,28.05,0.05,165,6634691
104/02/13,348010,28.05,28.40,28.05,28.15,0.10,209,9831090
104/02/24,325018,28.30,28.45,28.15,28.30,0.15,178,9185090
104/02/25,416005,28.40,28.40,28.10,28.30,,221,11738550
104/02/26,623067,28.35,28.70,28.35,28.60,0.30,349,17781326
104/03/02,357000,28.65,28.70,28.40,28.50,-0.10,142,10181900
104/03/03,522000,28.50,28.60,27.90,28.10,-0.40,276,14707350
104/03/04,396000,28.05,28.25,28.05,28.10,,217,11154900
104/03/05,248001,28.20,28.40,28.10,28.30,0.20,162,7013680
104/03/06,506000,28.40,28.40,28.10,28.20,-0.10,278,14271000
104/03/09,312000,28.20,28.30,28.10,28.15,-0.05,178,8799600
104/03/10,839537,28.15,28.65,28.15,28.60,0.45,383,23898559
104/03/11,446042,28.60,28.60,28.30,28.35,-0.25,304,12677810
104/03/12,296050,28.45,28.45,28.20,28.35,,210,8387615
104/03/13,1073497,28.35,28.95,28.25,28.50,0.15,585,30774901
104/03/16,275044,28.50,28.75,28.45,28.50,,224,7858776
104/03/17,352020,28.65,28.70,28.25,28.25,-0.25,208,10004050
104/03/18,346013,28.35,28.40,28.15,28.15,-0.10,202,9772440
104/03/19,392014,28.15,28.45,28.10,28.10,-0.05,248,11063720
104/03/20,625011,28.20,28.55,28.20,28.40,0.30,403,17748969
104/03/23,351170,28.45,28.55,28.20,28.25,-0.15,223,9950952
104/03/24,176015,28.40,28.45,28.20,28.25,,134,4971885
104/03/25,492361,28.25,28.30,28.00,28.05,-0.20,268,13824440
104/03/26,497660,27.90,28.05,27.85,27.85,-0.20,302,13889222
104/03/27,507600,27.95,27.95,27.70,27.75,-0.10,296,14116673
104/03/30,492045,27.85,28.05,27.75,27.85,0.10,255,13720611
104/03/31,463307,27.85,28.05,27.65,27.65,-0.20,221,12906493
104/04/01,643651,27.65,27.80,27.50,27.70,0.05,343,17795829
104/04/02,998585,27.85,28.30,27.80,28.20,0.50,720,28108743
104/04/07,2201060,28.50,29.20,28.30,29.05,0.85,1167,63283290
104/04/08,1310017,29.20,29.40,28.90,28.95,-0.10,818,38139293
104/04/09,636251,29.00,29.20,28.70,28.70,-0.25,308,18444180
104/04/10,220320,28.70,28.95,28.65,28.65,-0.05,134,6330381
104/04/13,487008,29.25,29.25,28.65,28.65,,255,14123540
104/04/14,376006,28.65,29.00,28.50,28.85,0.20,223,10821480
104/04/15,499393,29.00,29.10,28.60,28.65,-0.20,320,14402522
104/04/16,460002,28.70,29.00,28.50,28.50,-0.15,276,13180210
104/04/17,353004,28.75,28.75,28.35,28.35,-0.15,253,10053420
104/04/20,237005,28.30,28.55,28.25,28.25,-0.10,137,6715300
104/04/21,882243,28.25,28.40,27.65,27.75,-0.50,459,24610467
104/04/22,854002,27.60,27.85,27.20,27.30,-0.45,480,23445558
104/04/23,538003,27.35,27.45,27.10,27.25,-0.05,391,14659837
104/04/24,464002,27.25,27.50,27.15,27.15,-0.10,303,12655156
104/04/27,493003,27.15,27.75,27.15,27.60,0.45,352,13545537
104/04/28,329800,27.60,27.70,27.50,27.50,-0.10,210,9098398
104/04/29,308001,27.55,27.80,27.25,27.35,-0.15,234,8453429
104/04/30,421001,27.50,27.60,27.10,27.30,-0.05,238,11477377
104/05/04,321003,27.45,27.45,27.15,27.15,-0.15,165,8745384
104/05/05,436303,27.15,27.25,26.75,26.90,-0.25,261,11797287
