訊映,	4155
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,83000,30.00,30.05,29.60,30.00,,49,2479450
107/06/04,93202,30.05,30.40,29.85,29.85,0.15,58,2794979
107/06/05,143007,29.85,30.00,29.50,29.90,0.05,84,4253703
107/06/06,74000,30.00,30.00,29.90,30.00,0.10,48,2217450
107/06/07,87000,30.00,30.05,29.85,29.95,0.05,61,2605950
107/06/08,76000,29.95,29.95,29.70,29.75,0.20,47,2261750
107/06/11,336200,29.00,29.00,28.60,28.90,0.85,167,9695619
107/06/12,100000,29.05,29.25,28.80,29.00,0.10,69,2900600
107/06/13,116000,28.80,29.00,28.75,28.75,0.25,53,3345400
107/06/14,70224,28.70,28.80,28.55,28.55,0.20,50,2011089
107/06/15,132100,28.55,28.80,28.55,28.70,0.15,54,3793295
107/06/19,46000,28.20,28.85,28.20,28.70,,36,1318400
107/06/20,130973,28.80,28.95,28.65,28.65,0.05,69,3767383
107/06/21,147111,28.70,29.95,28.70,29.55,0.90,111,4322352
107/06/22,82100,29.55,29.75,29.50,29.60,0.05,51,2428405
107/06/25,31000,29.85,29.85,29.30,29.80,0.20,25,919550
107/06/26,84526,29.70,29.70,29.20,29.35,0.45,53,2482206
107/06/27,94000,29.25,29.40,29.00,29.00,0.35,52,2741800
107/06/28,85216,29.00,29.40,28.90,29.05,0.05,51,2473546
107/06/29,147699,29.05,29.50,29.00,29.40,0.35,103,4323173
107/07/02,130100,27.15,27.40,27.15,27.30,X,92,3552055
107/07/03,67300,27.30,27.55,27.00,27.00,0.30,46,1829175
107/07/04,106001,26.90,26.90,26.70,26.85,0.15,49,2838977
107/07/05,48001,26.90,26.90,26.60,26.60,0.25,24,1282476
107/07/06,45100,26.60,26.60,26.00,26.40,0.20,34,1186465
107/07/09,68003,26.60,26.60,26.35,26.40,,43,1801479
107/07/10,44000,26.80,26.90,26.75,26.85,0.45,38,1182300
107/07/11,23000,26.50,26.95,26.30,26.75,0.10,19,610300
107/07/12,57060,26.85,27.60,26.85,27.50,0.75,49,1563200
107/07/13,17000,27.50,27.50,27.45,27.50,,15,467450
107/07/16,30004,27.50,27.65,27.50,27.55,0.05,27,826160
107/07/17,44000,27.50,27.50,27.20,27.20,0.35,28,1205000
107/07/18,50001,27.20,27.50,27.00,27.20,,32,1357677
107/07/19,46000,27.20,27.20,26.85,26.85,0.35,28,1240250
107/07/20,54075,26.95,26.95,26.50,26.60,0.25,30,1439275
107/07/23,24234,26.60,26.60,26.50,26.60,,20,644197
107/07/24,27000,26.50,26.55,26.40,26.50,0.10,20,714150
107/07/25,37100,26.70,26.85,26.50,26.85,0.35,35,989200
107/07/26,38100,26.80,26.80,26.50,26.65,0.20,31,1015180
107/07/27,40002,26.70,26.90,26.65,26.70,0.05,22,1068456
107/07/30,25100,26.80,26.80,26.25,26.50,0.20,23,663370
107/07/31,30000,26.40,26.55,26.40,26.50,,23,794350
