F-佐登          ,	4190
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/10/21,4879600,109.00,122.00,105.00,122.00,X,3776,540386500
104/10/22,3871000,123.00,144.00,119.00,139.00,17.00,2874,494304500
104/10/23,2188100,139.00,143.00,132.50,136.00,-3.00,1825,301539000
104/10/26,1334040,138.00,141.50,135.00,135.00,-1.00,1046,183284120
104/10/27,1570000,136.00,137.00,126.00,133.00,-2.00,1225,206331000
104/10/28,1001023,130.50,137.00,130.00,131.00,-2.00,809,133051858
104/10/29,941583,131.00,132.00,124.00,128.00,-3.00,840,119366993
104/10/30,833170,126.50,128.50,122.00,128.50,0.50,669,104641100
104/11/02,2067301,128.00,141.00,127.50,141.00,12.50,1593,280412941
104/11/03,3091646,147.50,155.00,143.00,153.00,12.00,2521,465198630
104/11/04,1691170,148.00,152.50,145.00,150.00,-3.00,1426,251420850
104/11/05,1551151,153.00,164.50,152.00,163.50,13.50,1378,248170415
104/11/06,1660022,165.00,174.50,158.50,174.00,10.50,1513,280203438
104/11/09,1501357,177.00,181.50,170.50,178.00,4.00,1380,264470078
104/11/10,1384406,170.00,175.00,166.00,171.00,-7.00,1229,235896050
104/11/11,1152633,173.00,173.50,163.00,163.00,-8.00,1045,191775945
104/11/12,1007270,165.00,167.50,158.00,167.00,4.00,925,164221940
104/11/13,637365,161.50,169.50,161.50,162.00,-5.00,587,104787225
104/11/16,1042254,158.00,174.00,158.00,172.00,10.00,952,175093450
104/11/17,934250,177.00,180.00,169.50,169.50,-2.50,829,161961500
104/11/18,709226,171.50,173.50,167.00,169.00,-0.50,610,120617920
104/11/19,650349,172.00,173.00,167.50,170.00,1.00,588,110713852
104/11/20,1453222,172.50,185.00,172.50,179.50,9.50,1273,260356126
104/11/23,993700,180.00,180.00,170.00,171.00,-8.50,912,171581900
104/11/24,875369,171.50,173.00,165.50,166.00,-5.00,792,146845123
104/11/25,489239,166.00,170.00,163.00,166.00,,455,81114652
104/11/26,652339,164.00,172.00,164.00,168.00,2.00,559,110400952
104/11/27,358000,168.00,170.50,165.00,165.00,-3.00,324,59629000
104/11/30,298503,165.00,168.50,164.00,164.00,-1.00,273,49273492
104/12/01,449420,166.00,171.00,164.00,167.50,3.50,387,75295720
104/12/02,600450,170.50,173.00,167.00,167.00,-0.50,555,101962150
104/12/03,890350,166.00,167.00,158.50,160.00,-7.00,778,144287725
104/12/04,295310,159.50,160.00,155.00,157.00,-3.00,282,46362670
104/12/07,237472,159.00,162.00,155.00,155.50,-1.50,226,37579660
104/12/08,590248,155.50,167.00,155.00,163.50,8.00,536,95281047
104/12/09,556075,162.50,163.50,147.50,150.00,-13.50,507,86135936
104/12/10,393020,150.00,158.00,146.00,154.00,4.00,354,59997660
104/12/11,256056,156.50,156.50,145.50,145.50,-8.50,224,38462927
104/12/14,298000,141.00,145.00,136.00,140.00,-5.50,263,41731000
104/12/15,257056,143.00,146.50,141.00,144.50,4.50,222,36961092
104/12/16,201000,146.00,146.50,140.50,143.50,-1.00,191,28735000
104/12/17,186080,143.50,147.00,143.50,144.50,1.00,180,27045180
104/12/18,147100,143.00,143.00,140.50,140.50,-4.00,137,20832749
104/12/21,186080,140.50,140.50,136.50,137.00,-3.50,170,25663540
104/12/22,163100,140.00,143.00,138.50,138.50,1.50,160,22938900
104/12/23,100100,138.50,141.00,138.50,139.00,0.50,91,13945300
104/12/24,153105,140.00,141.50,136.50,137.00,-2.00,136,21251490
104/12/25,86036,137.00,140.00,137.00,138.50,1.50,82,11934040
104/12/28,83000,138.50,139.50,136.00,136.50,-2.00,75,11424000
104/12/29,61000,137.00,138.00,136.50,137.50,1.00,54,8382000
104/12/30,62400,138.00,139.00,137.50,139.00,1.50,65,8633900
104/12/31,62160,139.00,139.00,137.00,137.50,-1.50,61,8573240
105/01/04,165066,137.50,137.50,130.00,130.00,-7.50,146,21794212
105/01/05,174050,130.00,130.00,126.00,126.00,-4.00,160,22198000
105/01/06,231110,127.50,128.00,119.00,119.00,-7.00,193,28402250
105/01/07,490477,115.50,128.00,108.00,121.00,2.00,430,56903740
105/01/08,268359,119.00,124.00,116.00,120.00,-1.00,222,32362439
105/01/11,269350,124.00,127.50,120.00,122.50,2.50,239,33342225
105/01/12,191262,122.50,123.50,114.00,114.00,-8.50,177,22689440
105/01/13,111070,116.00,118.50,115.50,116.50,2.50,105,13021680
105/01/14,75060,113.00,117.00,112.50,115.50,-1.00,71,8570000
105/01/15,156000,117.50,118.50,115.50,117.00,1.50,127,18202000
105/01/18,170131,116.00,122.50,114.00,122.50,5.50,161,20236244
105/01/19,383435,122.50,134.50,122.50,134.50,12.00,330,50568506
105/01/20,750191,139.00,146.00,135.00,137.00,2.50,639,105509622
105/01/21,288090,139.00,139.50,131.00,132.50,-4.50,262,39038470
105/01/22,331000,135.00,135.00,127.00,128.50,-4.00,287,43076000
105/01/25,202050,130.00,135.00,129.00,132.00,3.50,170,26630450
105/01/26,143150,132.00,132.00,128.00,128.00,-4.00,130,18458774
105/01/27,155000,130.00,130.00,126.50,126.50,-1.50,141,19775500
105/01/28,105742,122.50,129.00,122.00,127.50,1.00,100,13341105
105/01/29,197554,127.00,132.00,126.50,130.00,2.50,180,25616574
105/01/30,127500,131.00,131.50,128.50,130.00,,129,16553500
105/02/01,502241,133.00,142.00,133.00,137.00,7.00,454,69235276
105/02/02,218151,132.50,138.00,132.50,134.00,-3.00,197,29296385
105/02/03,138100,134.00,136.00,133.00,134.50,0.50,131,18598400
105/02/15,147276,131.00,133.50,125.00,128.00,-6.50,141,18927104
105/02/16,185100,131.00,132.00,127.50,128.00,,155,23875400
105/02/17,145130,129.50,130.00,128.00,128.50,0.50,130,18764834
105/02/18,204060,129.00,131.00,127.00,127.50,-1.00,172,26109740
105/02/19,207150,129.50,129.50,125.00,125.50,-2.00,173,26101475
105/02/22,233200,122.00,124.00,120.50,121.00,-4.50,197,28390000
105/02/23,203104,121.00,122.50,120.50,122.00,1.00,174,24688688
105/02/24,213000,124.00,124.50,118.50,118.50,-3.50,170,25597000
105/02/25,179220,119.00,121.00,116.50,116.50,-2.00,165,21170900
105/02/26,295176,117.00,122.50,115.00,120.00,3.50,214,35241296
105/03/01,133097,119.50,121.50,119.00,120.00,,110,15958737
105/03/02,533765,122.00,129.00,122.00,128.00,8.00,486,67337685
105/03/03,261215,127.00,130.00,125.00,127.00,-1.00,232,33030600
105/03/04,185100,128.00,128.00,125.00,127.00,,165,23397900
105/03/07,158350,128.50,128.50,123.00,124.00,-3.00,151,19864900
105/03/08,86120,122.00,125.00,122.00,124.50,0.50,83,10648940
105/03/09,135050,125.00,126.50,123.00,125.50,1.00,123,16861775
105/03/10,129242,126.00,127.50,125.00,125.50,,123,16245129
105/03/11,193168,125.50,128.00,124.50,127.50,2.00,172,24529751
105/03/14,398385,131.00,132.50,129.00,130.00,2.50,349,51998241
105/03/15,219074,130.00,131.00,126.00,126.00,-4.00,197,28045360
