鈞興-KY,	4571
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/10/01,212127,81.10,82.00,79.70,80.10,2.90,158,17105399
108/10/02,204000,80.10,82.20,79.80,80.50,0.40,132,16483100
108/10/03,205100,80.00,81.30,80.00,80.20,0.30,80,16524609
108/10/04,192000,80.70,81.00,80.20,80.30,0.10,84,15441300
108/10/07,203100,80.30,80.50,80.10,80.30,,77,16294800
108/10/08,192000,80.30,80.50,80.00,80.30,,63,15404700
108/10/09,215000,80.40,80.80,80.00,80.20,0.10,66,17239000
108/10/14,160000,80.20,80.90,80.10,80.30,0.10,62,12850000
108/10/15,147000,80.40,80.40,80.00,80.20,0.10,39,11775900
108/10/16,140000,80.30,80.30,79.90,80.00,0.20,48,11200600
108/10/17,55000,80.00,80.10,79.90,80.00,,31,4399200
108/10/18,30000,80.10,80.10,80.00,80.00,,21,2401700
108/10/21,145380,80.20,84.90,80.20,83.50,3.50,111,12073500
108/10/22,114400,83.60,84.80,81.80,81.80,1.70,94,9552200
108/10/23,46720,81.60,82.80,80.60,81.60,0.20,44,3779620
108/10/24,25060,81.70,81.70,80.50,80.70,0.90,22,2027842
108/10/25,8000,80.70,81.00,80.70,81.00,0.30,8,646200
108/10/28,22000,80.70,80.80,80.60,80.70,0.30,18,1774700
108/10/29,58000,80.80,80.80,80.20,80.50,0.20,32,4662000
108/10/30,42000,80.20,80.40,80.20,80.40,0.10,29,3370100
108/10/31,67000,80.10,80.10,79.00,79.50,0.90,45,5345100
108/11/01,18000,79.00,79.40,78.50,78.70,0.80,16,1418000
108/11/04,60000,78.60,78.60,76.80,77.00,1.70,48,4622600
108/11/05,28000,77.10,77.10,76.50,76.90,0.10,22,2148700
108/11/06,134200,76.70,76.70,73.20,73.90,3.00,104,10009400
108/11/07,159010,73.40,73.40,71.00,71.50,2.40,96,11422320
108/11/08,76000,72.00,72.50,71.00,71.50,,73,5431500
108/11/11,64000,71.50,71.50,69.90,70.00,1.50,42,4495200
108/11/12,90275,70.50,73.50,70.50,72.00,2.00,77,6454606
108/11/13,38025,71.00,72.00,71.00,71.50,0.50,28,2721705
108/11/14,102000,72.00,74.50,72.00,73.00,1.50,73,7467600
108/11/15,34001,73.20,73.20,72.00,72.30,0.70,30,2466472
108/11/18,43010,71.40,71.70,71.10,71.30,1.00,35,3067515
108/11/19,64000,70.80,71.60,70.80,70.90,0.40,50,4547000
108/11/20,33000,71.30,72.00,71.00,71.90,1.00,21,2364600
108/11/21,11000,71.90,71.90,71.30,71.30,0.60,8,788800
108/11/22,40000,71.30,71.70,70.10,70.50,0.80,31,2838300
108/11/25,32000,70.30,71.90,70.00,71.90,1.40,28,2275000
108/11/26,20000,71.90,71.90,70.90,71.10,0.80,20,1424300
108/11/27,14000,71.40,71.40,70.60,71.00,0.10,14,994800
108/11/28,40000,71.00,71.60,70.80,70.80,0.20,34,2846300
108/11/29,37100,70.70,71.30,70.10,70.10,0.70,32,2617440
108/12/02,27000,70.30,70.70,70.00,70.10,,19,1894600
108/12/03,64000,70.10,71.90,70.00,71.00,0.90,36,4517300
108/12/04,14000,70.20,70.80,70.20,70.30,0.70,14,985500
108/12/05,9000,70.90,70.90,70.40,70.40,0.10,9,635400
108/12/06,23000,70.40,70.40,70.20,70.40,,19,1615900
108/12/09,59099,70.40,70.40,70.00,70.00,0.40,32,4144960
108/12/10,38049,70.30,70.30,69.80,69.80,0.20,23,2664949
108/12/11,127000,69.80,69.80,68.00,68.80,1.00,88,8752900
108/12/12,50000,68.80,69.60,68.50,68.60,0.20,32,3445900
108/12/13,35000,68.40,69.70,68.40,68.90,0.30,26,2412600
108/12/16,16000,69.80,69.80,68.50,68.90,,12,1100600
108/12/17,19000,69.00,69.00,68.80,68.80,0.10,15,1309400
108/12/18,19000,68.70,68.80,68.70,68.80,,17,1305500
108/12/19,63000,68.70,68.70,68.00,68.30,0.50,26,4311600
108/12/20,47005,68.50,68.60,68.10,68.10,0.20,29,3210845
108/12/23,19000,68.00,68.20,68.00,68.10,,18,1294100
108/12/24,11000,68.50,69.50,68.50,68.50,0.40,11,756500
108/12/25,39000,69.00,70.00,69.00,69.20,0.70,29,2709300
108/12/26,25000,69.70,70.00,69.20,69.20,,22,1738300
108/12/27,12000,68.60,69.40,68.60,69.40,0.20,9,826800
108/12/30,39002,69.80,71.10,69.80,71.00,1.60,33,2753352
108/12/31,29000,70.80,70.90,70.50,70.50,0.50,21,2049500
109/01/02,28000,70.20,70.50,69.40,70.00,0.50,22,1960600
109/01/03,22000,70.00,70.30,69.10,70.30,0.30,16,1530900
109/01/06,11000,70.00,70.30,69.40,69.50,0.80,8,767100
109/01/07,59000,69.50,69.50,68.00,68.20,1.30,40,4040500
109/01/08,7000,69.00,69.00,68.20,69.00,0.80,6,480400
109/01/09,10000,69.00,69.40,69.00,69.40,0.40,8,693000
109/01/10,19000,69.40,69.50,69.00,69.00,0.40,11,1312900
109/01/13,12000,69.60,69.70,69.50,69.50,0.50,10,835000
109/01/14,10000,69.00,69.20,68.80,69.10,0.40,10,689700
109/01/15,32000,68.90,69.50,68.50,68.60,0.50,26,2199000
109/01/16,21200,68.50,69.00,68.40,69.00,0.40,19,1453660
109/01/17,124000,68.70,69.00,67.70,68.40,0.60,80,8439600
109/01/20,59100,69.10,69.20,68.80,68.80,0.40,27,4078100
109/01/30,165300,68.00,68.80,66.90,67.30,1.50,70,11237050
109/01/31,53000,67.00,67.70,66.70,67.70,0.40,25,3552900
