晶心科,	6533
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,259146,132.00,135.00,131.50,135.00,3.50,245,34607064
107/06/04,328100,136.50,138.00,134.50,136.00,1.00,279,44639149
107/06/05,493375,136.50,140.50,136.00,136.00,,459,68153559
107/06/06,284030,138.50,138.50,135.50,136.50,0.50,257,38974610
107/06/07,738305,137.00,143.00,136.50,142.00,5.50,634,103641615
107/06/08,1608130,143.50,152.00,140.50,144.00,2.00,1400,236418980
107/06/11,740260,142.00,143.50,136.50,136.50,7.50,638,103112400
107/06/12,388260,137.00,138.50,133.50,134.50,2.00,362,52645100
107/06/13,312044,134.50,137.50,132.00,134.50,,293,41895852
107/06/14,648250,136.50,141.00,136.00,136.00,1.50,568,89678500
107/06/15,186300,136.50,138.00,136.00,138.00,2.00,169,25558550
107/06/19,309210,139.00,139.00,133.50,133.50,4.50,259,41771140
107/06/20,547460,133.50,134.50,128.00,130.50,3.00,446,71407990
107/06/21,199250,130.50,133.50,130.50,132.50,2.00,169,26362250
107/06/22,214280,131.00,131.00,129.00,130.00,2.50,180,27871819
107/06/25,164353,130.50,132.00,128.50,128.50,1.50,156,21262857
107/06/26,910014,126.00,126.00,116.50,120.00,8.50,749,109416726
107/06/27,318232,122.00,122.50,119.00,121.00,1.00,281,38459652
107/06/28,198350,120.00,121.00,118.50,120.50,0.50,171,23750550
107/06/29,435305,124.50,127.00,123.50,126.00,5.50,376,54601235
107/07/02,184200,127.50,128.00,125.00,127.00,1.00,163,23328400
107/07/03,310200,127.50,129.00,121.00,122.00,5.00,244,38655200
107/07/04,227260,122.00,125.50,122.00,122.50,0.50,184,28050740
107/07/05,1243415,125.00,125.50,119.00,119.50,3.00,206,153120630
107/07/06,490261,121.00,122.00,113.50,118.00,1.50,425,56991820
107/07/09,218200,119.00,121.00,117.50,118.50,0.50,181,25898000
107/07/10,151199,119.00,120.00,118.00,118.50,,141,17963780
107/07/11,954150,129.50,130.00,127.00,130.00,11.50,634,123419000
107/07/12,1418031,133.50,135.00,129.50,133.00,3.00,1211,187922123
107/07/13,312274,133.00,134.00,131.50,133.00,,278,41481216
107/07/16,239636,134.00,134.50,131.00,131.50,1.50,174,31628088
107/07/17,225201,133.00,133.50,130.00,130.00,1.50,212,29683131
107/07/18,194391,132.00,132.00,128.00,128.50,1.50,181,25290830
107/07/19,244100,128.50,132.00,127.50,130.00,1.50,201,31785000
107/07/20,194100,131.50,131.50,127.50,127.50,2.50,169,25111350
107/07/23,223235,126.50,127.00,122.50,122.50,5.00,194,27792640
107/07/24,282200,122.50,129.00,121.50,128.50,6.00,237,35535500
107/07/25,969320,129.50,131.00,127.50,129.50,1.00,149,125942780
107/07/26,907409,130.50,138.00,130.00,133.00,3.50,753,122310600
107/07/27,1027612,134.50,140.00,134.50,137.50,4.50,859,141749956
107/07/30,465453,138.00,139.50,132.50,133.50,4.00,402,63151655
107/07/31,229250,133.00,135.50,132.00,134.50,1.00,209,30661625
