羅麗芬-KY,	6666
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/11/19,3355290,118.00,141.50,116.50,138.50,X,2446,414240600
107/11/20,2109380,131.00,149.00,128.50,144.00,5.50,1683,294535840
107/11/21,1124342,137.50,144.00,136.50,140.00,4.00,978,157217222
107/11/22,676070,140.00,142.50,137.00,137.00,3.00,578,94361834
107/11/23,679029,137.50,139.50,135.00,136.00,1.00,551,92957060
107/11/26,885110,137.50,149.50,137.00,149.50,13.50,617,129749445
107/11/27,1612402,156.00,164.00,156.00,164.00,14.50,1262,258776928
107/11/28,1504140,168.00,180.00,166.00,180.00,16.00,1244,262043700
107/11/29,1290471,185.00,192.00,174.00,178.00,2.00,1130,234592758
107/11/30,728200,175.50,185.00,175.50,179.00,1.00,640,131349000
107/12/03,887230,182.00,186.50,175.00,182.00,3.00,737,160548203
107/12/04,613460,179.50,181.00,176.00,176.00,6.00,510,108907260
107/12/05,903400,172.00,186.00,172.00,185.00,9.00,777,163989599
107/12/06,726103,181.00,182.00,174.00,176.50,8.50,615,129065055
107/12/07,345590,178.50,181.00,173.00,177.50,1.00,317,61443200
107/12/10,274013,180.00,180.00,175.00,176.00,1.50,237,48661320
107/12/11,1167482,181.00,193.50,178.00,193.50,17.50,979,216967266
107/12/12,1238912,190.00,203.50,187.00,193.50,,1084,239846340
107/12/13,769970,192.50,208.00,191.50,203.00,9.50,720,153999350
107/12/14,444040,201.00,205.50,198.00,202.50,0.50,410,89530700
107/12/17,258042,202.50,204.50,199.50,203.00,0.50,241,52126610
107/12/18,1159648,200.50,201.00,183.00,185.00,18.00,1013,219547676
107/12/19,818521,185.50,188.50,171.00,182.00,3.00,764,146721343
107/12/20,500205,176.00,179.00,170.00,171.00,11.00,480,87000153
107/12/21,381692,168.00,177.50,168.00,175.50,4.50,366,66312136
107/12/22,159000,172.50,177.00,172.50,173.50,2.00,149,27704000
107/12/24,474744,174.00,184.50,172.00,182.00,8.50,445,85559908
107/12/25,315150,177.50,183.00,176.00,177.50,4.50,293,56469774
107/12/26,235125,179.00,182.00,173.00,175.50,2.00,212,41937500
107/12/27,185339,180.00,181.50,176.50,176.50,1.00,181,33150003
107/12/28,181410,178.00,182.00,177.00,178.00,1.50,181,32518980
108/01/02,147136,179.00,180.50,177.50,177.50,0.50,127,26270844
108/01/03,200100,178.00,179.00,173.00,173.00,4.50,185,35010850
108/01/04,250370,172.00,172.00,167.50,170.50,2.50,225,42484083
108/01/07,225503,173.00,179.00,171.50,178.50,8.00,197,39263040
108/01/08,315230,180.00,183.50,177.00,180.50,2.00,288,57023400
108/01/09,210405,181.00,183.00,178.00,181.50,1.00,186,37930911
108/01/10,157353,181.50,181.50,175.50,175.50,6.00,143,28134596
108/01/11,182341,178.50,179.00,174.00,175.00,0.50,185,32204843
108/01/14,174419,175.00,175.00,170.00,170.50,4.50,152,29915357
108/01/15,121300,171.50,172.50,170.50,171.00,0.50,109,20771100
108/01/16,136656,172.50,172.50,169.00,169.00,2.00,117,23180364
108/01/17,155092,170.00,174.50,170.00,172.50,3.50,141,26729600
108/01/18,155500,173.00,173.00,168.00,169.50,3.00,132,26451500
108/01/21,121800,170.50,171.50,169.00,169.50,,121,20759099
108/01/22,175450,169.50,170.50,163.00,165.50,4.00,177,29032750
108/01/23,238474,165.00,165.00,160.00,162.00,3.50,219,38509788
108/01/28,177400,170.50,172.00,168.50,170.00,2.00,153,30237100
108/01/29,93000,172.00,172.00,167.50,168.50,1.50,74,15706000
108/01/30,68150,168.50,169.50,168.00,168.50,,63,11506275
108/02/11,272395,172.00,181.50,170.00,178.00,9.50,259,47768520
108/02/12,217630,178.00,179.50,176.00,177.00,1.00,188,38642195
108/02/13,232534,177.00,182.00,177.00,179.00,2.00,205,41638285
108/02/14,214760,180.50,180.50,176.50,177.00,2.00,189,38183260
108/02/15,324455,172.00,174.50,171.00,171.00,6.00,304,55925030
108/02/18,152301,175.00,175.00,171.00,171.50,0.50,121,26243922
108/02/19,156535,172.00,172.00,168.50,169.50,2.00,146,26585450
108/02/20,109553,169.50,171.00,168.50,169.00,0.50,97,18563733
108/02/21,68250,171.50,171.50,169.50,170.00,1.00,71,11617000
108/02/22,111020,170.00,172.00,169.50,171.00,1.00,84,18921920
108/02/25,152318,171.50,172.00,168.00,168.00,3.00,140,25922393
108/02/26,81500,169.00,170.50,168.50,168.50,0.50,69,13827750
108/02/27,116540,170.00,172.50,169.00,172.00,3.50,115,19960380
108/03/04,116000,172.50,172.50,169.50,170.00,2.00,95,19820500
108/03/05,100000,170.00,170.00,168.00,168.50,1.50,87,16851000
108/03/06,52030,170.00,170.00,168.00,168.50,,49,8775130
108/03/07,98500,168.50,169.50,166.00,166.00,2.50,87,16485750
108/03/08,47255,166.00,169.00,166.00,168.00,2.00,48,7950585
108/03/11,57044,168.50,170.50,168.50,169.00,1.00,50,9655436
108/03/12,93000,169.50,169.50,168.50,169.00,,50,15711000
108/03/13,93040,169.00,169.00,167.50,167.50,1.50,76,15663800
108/03/14,151158,168.00,168.00,165.50,165.50,2.00,118,25168728
108/03/15,248179,166.00,172.50,165.00,170.50,5.00,218,41945198
108/03/18,683193,176.00,185.00,174.50,184.00,13.50,593,124086705
