鋐寶科技,	6674
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/11/28,4781592,31.95,39.95,31.30,39.00,X,2282,161195530
107/11/29,4259222,37.50,41.00,37.50,39.10,0.10,2316,165371172
107/11/30,3611160,39.00,42.80,38.55,42.80,3.70,1922,145283878
107/12/03,4077780,45.10,52.00,43.45,50.60,7.80,2432,184685087
107/12/04,2121492,47.80,49.95,45.90,46.00,4.60,1641,101469252
107/12/05,1024051,44.25,46.60,43.25,45.40,0.60,742,46138415
107/12/06,1130325,44.90,45.30,40.90,41.10,4.30,809,47918890
107/12/07,1683000,41.00,45.20,41.00,45.20,4.10,1013,74357500
107/12/10,1472200,42.20,42.90,41.10,41.55,3.65,943,61552760
107/12/11,819874,41.40,41.50,39.10,39.65,1.90,583,33193560
107/12/12,660034,40.00,41.65,40.00,41.15,1.50,467,27094311
107/12/13,1331540,41.10,44.90,39.50,44.50,3.35,962,56547829
107/12/14,3014765,45.15,48.85,44.70,47.05,2.55,2008,140767040
107/12/17,1092100,47.00,47.05,45.00,45.20,1.85,727,50168330
107/12/18,650100,44.00,46.25,42.10,43.30,1.90,509,28608400
107/12/19,451100,43.80,44.40,41.80,42.00,1.30,357,19256310
107/12/20,339750,42.20,42.20,40.80,41.30,0.70,261,14083936
107/12/21,358020,40.80,43.00,40.50,42.95,1.65,281,15052711
107/12/22,160000,41.70,42.30,41.50,41.60,1.35,144,6672500
107/12/24,310190,42.00,43.60,41.00,42.50,0.90,211,13165875
107/12/25,266030,41.20,42.00,41.00,41.20,1.30,197,10979795
107/12/26,298130,41.50,42.00,40.55,41.20,,237,12228225
107/12/27,712000,43.00,43.20,42.10,43.15,1.95,495,30430750
107/12/28,1664048,44.15,47.35,43.75,45.90,2.75,1171,75764908
