東哥遊艇,	8478
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,477283,62.50,62.60,59.80,60.20,2.50,393,29095423
107/06/04,456906,60.70,65.00,60.60,64.80,4.60,372,28840064
107/06/05,364200,64.80,66.00,63.20,63.40,1.40,319,23533078
107/06/06,230779,64.20,64.40,62.20,62.20,1.20,205,14649174
107/06/07,183200,63.60,63.90,62.80,63.10,0.90,140,11572300
107/06/08,375170,63.60,65.00,63.10,64.80,1.70,240,24040882
107/06/11,259300,65.50,65.70,63.30,63.30,1.50,194,16691750
107/06/12,352498,67.00,67.00,63.70,64.80,1.50,220,22860171
107/06/13,203000,64.80,65.40,64.00,65.00,0.20,144,13160500
107/06/14,142000,64.90,65.00,63.80,63.80,1.20,103,9136900
107/06/15,156500,63.80,65.30,63.80,64.60,0.80,104,10121299
107/06/19,251100,65.00,65.00,63.00,64.00,0.60,152,16104700
107/06/20,276180,63.50,64.10,62.60,62.70,1.30,168,17499386
107/06/21,277205,63.00,63.80,62.30,63.70,1.00,152,17526335
107/06/22,262000,63.90,64.60,63.00,63.80,0.10,150,16767000
107/06/25,766767,64.40,68.40,64.00,67.00,3.20,538,50995428
107/06/26,495829,67.00,67.40,65.00,65.00,2.00,342,32886567
107/06/27,219200,66.20,66.20,63.10,63.30,1.70,173,14144720
107/06/28,282405,63.00,63.30,60.50,60.50,2.80,223,17410405
107/06/29,62801,61.00,61.70,60.50,60.60,0.10,61,3831140
107/07/02,48004,61.40,62.40,60.60,60.60,,39,2937144
107/07/03,145085,61.60,62.30,57.60,58.00,2.60,133,8617530
107/07/04,94440,58.00,58.00,57.00,57.00,1.00,77,5411954
107/07/05,99104,57.00,57.30,55.10,55.10,1.90,79,5560282
107/07/06,85216,56.40,56.90,54.30,56.50,1.40,73,4730346
107/07/09,23000,56.90,57.30,56.10,57.10,0.60,22,1302800
107/07/10,68600,57.00,57.80,56.20,56.50,0.60,59,3891940
107/07/11,173200,55.00,55.00,53.90,53.90,2.60,127,9411800
107/07/12,55000,53.20,54.80,53.20,54.20,0.30,44,2978500
107/07/13,42481,54.60,54.60,54.20,54.20,,38,2310662
107/07/16,49114,54.20,54.40,53.50,54.30,0.10,37,2655490
107/07/17,40000,54.30,54.40,53.60,54.40,0.10,37,2155800
107/07/18,109215,54.40,56.90,54.20,55.90,1.50,92,6039389
107/07/19,62000,55.80,55.80,54.60,54.60,1.30,50,3411800
