泰金寶          ,	9105
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,2264373,3.09,3.12,3.08,3.12,0.04,341,7029986
104/01/06,2109818,3.10,3.10,3.06,3.06,-0.06,276,6492176
104/01/07,1517823,3.06,3.10,3.06,3.08,0.02,232,4684707
104/01/08,2153209,3.10,3.12,3.09,3.11,0.03,324,6698828
104/01/09,1663584,3.12,3.12,3.09,3.10,-0.01,246,5162715
104/01/12,6410599,3.11,3.15,3.10,3.13,0.03,621,20070367
104/01/13,4846836,3.14,3.14,3.11,3.12,-0.01,424,15138492
104/01/14,4360512,3.14,3.15,3.10,3.13,0.01,384,13633855
104/01/15,4587374,3.12,3.15,3.11,3.12,-0.01,341,14359003
104/01/16,30710836,3.15,3.33,3.15,3.32,0.20,3302,100783924
104/01/19,35783683,3.51,3.55,3.41,3.55,0.23,3088,125825923
104/01/20,18594731,3.76,3.79,3.67,3.79,0.24,1700,70103020
104/01/21,88795570,4.05,4.05,3.76,3.84,0.05,8516,352296037
104/01/22,54001827,3.88,4.10,3.88,4.10,0.26,5794,216422877
104/01/23,82895579,4.38,4.38,4.20,4.38,0.28,7642,361168068
104/01/26,73621935,4.38,4.68,4.20,4.68,0.30,8697,328207470
104/01/27,97860185,4.85,5.00,4.70,5.00,0.32,10742,482951655
104/01/28,54651548,4.86,5.29,4.84,4.98,-0.02,10619,276289523
104/01/29,33391182,4.94,4.94,4.71,4.72,-0.26,6433,159413924
104/01/30,32236732,4.70,4.70,4.39,4.39,-0.33,6145,143323782
104/02/02,29130698,4.31,4.43,4.21,4.25,-0.14,5072,125501689
104/02/03,20629995,4.30,4.47,4.30,4.47,0.22,4158,90764842
104/02/04,15959226,4.57,4.57,4.23,4.46,-0.01,3233,70476391
104/02/05,18314362,4.46,4.65,4.46,4.55,0.09,4024,83441815
104/02/06,7883521,4.56,4.56,4.43,4.45,-0.10,2083,35321409
104/02/09,8730860,4.51,4.58,4.51,4.54,0.09,2071,39630939
104/02/10,11602574,4.63,4.63,4.33,4.38,-0.16,2590,51723954
104/02/11,36543611,4.49,4.68,4.40,4.68,0.30,5090,168815939
104/02/12,66520264,4.75,4.94,4.58,4.65,-0.03,8383,321300942
104/02/13,33225477,4.70,4.75,4.51,4.65,,4584,153300091
104/02/24,19043374,4.82,4.83,4.70,4.78,0.13,2705,90579940
104/02/25,22149538,4.82,4.83,4.64,4.67,-0.11,2741,104940496
104/02/26,16012603,4.73,4.80,4.60,4.74,0.07,2542,75391073
104/03/02,12536353,4.80,4.81,4.66,4.66,-0.08,1759,59079672
104/03/03,19332736,4.66,4.70,4.46,4.51,-0.15,2884,87920205
104/03/04,12786530,4.51,4.56,4.45,4.46,-0.05,1895,57509349
104/03/05,12426966,4.47,4.52,4.41,4.46,,1801,55626059
104/03/06,7568438,4.46,4.51,4.45,4.46,,1182,33858356
104/03/09,10237181,4.46,4.54,4.39,4.54,0.08,1467,45757847
104/03/10,8967015,4.59,4.59,4.38,4.38,-0.16,1405,40151072
104/03/11,6301389,4.31,4.42,4.30,4.38,,1026,27581132
104/03/12,4901780,4.47,4.47,4.41,4.46,0.08,915,21806766
104/03/13,26100166,4.53,4.77,4.50,4.77,0.31,3471,123262882
104/03/16,64133103,4.90,5.10,4.83,5.10,0.33,8243,320045649
104/03/17,57453040,5.20,5.29,5.01,5.05,-0.05,7685,296595283
104/03/18,24133407,5.05,5.20,5.01,5.06,0.01,3688,122743336
104/03/19,23530397,5.13,5.18,5.00,5.00,-0.06,3381,119629675
104/03/20,26548658,5.00,5.05,4.80,4.80,-0.20,3720,129639505
104/03/23,11260875,4.80,4.88,4.73,4.88,0.08,1704,54408844
104/03/24,14052279,4.92,5.00,4.87,4.93,0.05,1986,69377779
104/03/25,17911999,4.97,5.10,4.91,4.95,0.02,2438,89744982
104/03/26,10889643,4.90,4.95,4.86,4.86,-0.09,1613,53327906
104/03/27,11895652,4.92,5.00,4.86,4.86,,1906,58494480
