大成,	1210
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2004,47.41,120.00,75.00,8.66,9.87,36.98,2.00,2.55,0.74,0.34,0.00,0.00,13.18
2005,43.36,149.00,86.00,8.89,9.51,38.38,7.27,12.22,3.80,1.72,43.17,11.92,14.91
2006,43.15,128.00,74.00,7.94,8.06,45.28,8.74,14.57,5.51,2.28,28.96,6.23,16.67
2007,36.60,153.32,86.91,8.40,8.75,41.71,9.73,15.30,6.09,2.80,15.46,0.55,21.00
2008,35.94,136.78,86.78,9.77,12.19,29.94,7.18,10.56,3.86,2.17,5.59,-3.90,20.96
2009,33.33,147.11,84.87,8.47,10.31,35.40,8.46,12.59,5.67,2.63,45.66,6.62,21.76
2010,37.08,123.86,71.24,8.83,9.27,39.37,7.38,11.10,5.14,2.36,17.28,1.28,21.79
2011,37.91,104.73,63.10,9.15,9.46,38.58,6.65,10.27,4.64,2.22,10.72,0.00,22.40
2012,38.63,107.88,67.52,8.91,9.36,38.99,4.40,6.61,3.11,1.43,11.86,0.53,21.53
2013,51.15,141.61,79.33,16.10,9.55,38.21,6.61,12.64,2.49,3.42,30.00,17.90,24.00
2014,51.82,136.03,76.94,15.97,9.69,37.66,2.99,5.16,1.09,1.70,14.98,8.24,20.19
2015,51.91,123.09,73.88,8.48,8.56,42.64,1.64,2.48,0.62,0.87,18.70,11.96,19.95
2016,46.70,123.35,70.26,8.07,8.56,42.64,7.27,13.00,3.38,3.01,25.08,18.32,21.61
2017,46.69,131.49,75.70,7.75,8.24,44.29,7.33,12.66,3.49,3.28,28.29,15.82,23.41
