福懋油,	1225
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,36.99,106.72,69.66,6.92,8.83,41.33,-0.78,-2.85,-1.75,-0.29,7.16,2.44,10.25
2002,40.59,116.37,65.31,6.52,7.78,46.91,1.25,1.12,0.59,0.12,0.00,0.00,10.83
2003,42.66,119.35,77.84,6.49,8.04,45.39,1.37,1.60,0.70,0.17,0.00,0.00,10.65
2004,45.65,124.79,85.73,7.15,11.67,31.27,-3.86,-7.74,-2.63,-0.84,24.45,9.24,10.53
2005,47.86,113.54,71.88,6.57,10.18,35.85,1.72,1.80,0.61,0.20,0.00,0.00,11.21
2006,53.52,111.09,74.16,6.05,9.63,37.90,0.43,-1.45,-0.47,-0.16,0.00,0.00,11.03
2007,54.60,109.72,76.77,6.73,12.66,28.83,5.71,9.63,2.31,1.13,0.00,0.00,12.37
2008,55.31,195.85,112.54,7.27,10.96,33.30,-2.25,-7.33,-1.68,-0.87,15.47,3.24,11.33
2009,48.25,253.75,169.44,8.18,10.17,35.88,4.23,7.91,1.97,0.94,99.48,18.92,12.43
2010,49.39,228.70,123.64,8.29,9.73,37.51,4.72,8.39,2.12,1.04,0.00,0.00,12.88
2011,49.16,234.06,149.77,8.84,13.68,26.68,1.51,2.00,0.44,0.24,21.07,3.32,12.55
2012,52.57,243.93,148.92,8.31,11.71,31.16,1.36,1.75,0.36,0.21,0.00,0.00,11.98
2013,56.83,135.28,82.78,8.41,10.95,33.33,1.87,2.79,0.51,0.32,37.01,13.51,11.95
2014,39.68,295.76,175.94,8.92,12.43,29.36,1.50,1.79,0.51,0.22,9.54,0.42,12.02
2015,35.09,284.39,146.34,8.43,9.21,39.63,12.48,19.37,7.22,2.55,18.14,1.83,14.35
2016,44.78,220.33,147.07,7.47,7.98,45.73,7.73,13.61,4.46,1.76,28.96,5.13,14.80
2017,48.16,182.99,112.59,6.88,7.40,49.32,5.00,8.76,2.98,1.13,3.61,-3.14,14.61
