台化,	1326
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,47.46,102.71,37.67,12.10,3.15,115.87,9.39,16.36,19.77,3.54,14.28,1.30,23.90
2001,51.08,185.00,78.22,13.04,2.90,125.86,3.96,5.23,6.83,1.17,29.07,1.40,22.57
2002,47.20,203.26,113.72,13.34,3.92,93.11,7.11,11.75,12.63,2.62,94.51,7.14,23.37
2003,41.99,221.51,118.15,13.35,5.20,70.19,10.42,17.17,16.63,3.92,119.34,6.80,24.02
2004,36.80,198.56,117.86,13.56,5.99,60.93,20.97,33.43,28.20,8.46,112.74,9.37,28.38
2005,33.67,184.11,104.33,12.30,6.40,57.03,18.00,26.97,24.94,7.43,112.80,4.51,29.28
2006,31.64,195.63,140.57,12.71,6.99,52.21,12.43,17.99,17.85,5.88,89.23,5.53,36.93
2007,30.55,235.34,177.73,10.74,7.31,49.93,14.53,20.54,19.87,8.63,46.11,0.35,47.12
2008,41.01,133.60,83.90,11.22,7.51,48.60,2.35,2.79,2.44,1.10,41.24,-3.76,32.16
2009,32.31,230.47,183.06,11.60,7.79,46.85,9.53,14.45,13.40,5.17,89.70,10.05,40.62
2010,28.20,364.96,296.01,12.22,10.86,33.60,13.45,18.85,16.70,8.31,126.19,5.74,47.81
2011,32.19,376.88,286.18,12.98,9.43,38.70,9.00,13.00,12.00,5.81,119.00,-0.10,43.66
2012,40.69,219.44,164.94,49.35,38.77,9.41,2.00,3.00,2.00,1.25,17.00,-2.65,40.21
2013,40.51,218.56,157.52,9.94,7.47,48.86,5.69,9.11,6.23,4.25,39.89,4.19,45.71
2014,38.98,247.56,188.03,9.98,7.47,48.86,3.00,5.00,4.00,1.80,36.00,4.20,47.55
2015,35.07,256.13,202.01,10.11,6.64,54.96,6.42,9.63,9.63,4.72,81.80,7.41,48.41
2016,30.27,298.96,240.96,10.52,6.61,55.21,9.54,13.68,15.32,7.50,75.39,4.05,54.77
2017,26.88,307.96,256.72,9.65,7.53,48.47,11.10,15.04,16.79,9.33,86.43,4.35,61.31
