勤美,	1532
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,35.40,97.01,62.61,5.00,6.39,57.12,5.37,7.10,6.95,1.16,49.72,8.93,15.78
2002,46.28,136.74,70.63,6.15,6.71,54.39,8.19,12.78,7.91,2.32,NA,NA,17.48
2003,44.23,168.17,87.14,6.56,5.84,62.50,7.82,13.12,5.95,2.39,NA,NA,18.36
2004,50.78,123.00,38.42,8.24,3.58,101.95,12.76,23.61,9.35,4.75,NA,NA,23.31
2005,38.67,151.56,89.31,5.62,2.83,128.97,7.51,12.47,8.56,2.69,100.51,22.72,23.07
2006,59.12,104.12,58.79,6.39,5.66,64.48,8.65,16.37,12.52,3.81,22.84,0.02,24.51
2007,55.16,104.35,64.24,6.48,5.53,66.00,5.10,9.20,8.07,2.12,9.41,0.65,24.10
2008,53.50,34.57,13.50,9.25,5.93,61.55,2.53,3.10,2.60,0.71,NA,NA,23.89
2009,39.90,102.05,41.28,8.41,3.45,105.79,19.80,35.91,69.85,10.02,NA,NA,32.53
2010,40.15,108.04,52.32,11.24,3.91,93.35,6.57,10.10,20.42,2.66,50.07,2.71,26.64
2011,39.31,108.13,43.38,11.25,4.82,75.72,3.38,4.79,8.80,1.20,57.20,2.78,25.74
2012,39.81,119.47,55.98,10.85,5.55,65.76,4.74,7.05,14.69,1.78,37.21,1.84,25.80
2013,48.27,190.71,70.32,3.94,0.93,392.47,11.16,21.59,25.75,8.28,-1.39,-1.78,32.27
2014,50.61,158.65,62.33,3.62,0.95,384.21,3.49,6.07,6.97,1.36,14.81,3.63,30.63
2015,46.74,203.91,83.38,3.41,1.00,365.00,5.22,9.60,10.67,2.80,35.11,8.12,31.90
2016,48.08,218.40,84.17,3.25,0.91,401.09,5.02,9.06,11.03,2.60,29.80,6.57,31.13
2017,60.40,175.59,69.60,3.13,0.78,467.94,3.08,6.07,7.07,1.58,-2.69,-3.40,30.23
