南光,	1752
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2007,39.92,129.44,92.33,3.53,3.71,98.38,7.79,12.63,13.56,1.52,30.94,4.87,13.97
2008,52.38,130.05,84.48,3.43,3.11,117.36,4.50,8.36,9.54,1.10,9.06,1.41,13.53
2009,52.20,100.21,61.68,3.55,3.09,118.12,0.97,1.52,1.78,0.20,20.88,2.23,12.95
2010,56.61,159.95,95.67,3.42,3.12,116.98,-0.09,-1.31,-1.62,-0.17,23.36,3.03,12.75
2011,61.67,102.80,64.36,3.70,3.27,111.62,0.90,0.77,0.76,0.10,8.76,2.23,12.74
2012,61.59,110.66,66.39,3.71,3.03,120.46,4.13,9.29,8.44,1.28,28.22,3.88,14.33
2013,45.31,287.51,183.46,3.50,2.98,122.48,0.02,-0.67,-0.77,-0.10,31.49,1.99,17.11
2014,47.69,205.97,182.85,3.83,2.94,124.14,2.77,4.69,5.27,0.76,49.48,7.12,16.31
2015,34.51,172.72,110.79,4.14,2.79,130.82,7.13,11.58,13.09,2.17,56.08,8.83,19.89
2016,33.07,142.06,90.76,4.28,2.59,140.92,7.41,10.95,14.55,2.25,51.46,9.74,21.02
2017,35.72,125.27,80.80,3.96,2.50,146.00,5.82,8.71,12.36,1.84,32.93,6.03,21.22
