杏昌,	1788
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2005,48.09,159.08,119.40,2.71,5.84,62.50,9.42,18.13,6.97,3.99,11.14,2.08,22.36
2006,48.57,149.46,115.00,2.67,6.40,57.03,9.87,19.04,7.06,4.32,21.01,4.25,23.04
2007,49.07,139.12,105.90,2.80,7.28,50.13,9.83,19.19,6.82,4.57,19.42,3.92,24.62
2008,52.05,129.18,100.89,2.67,7.35,49.65,8.33,16.65,6.24,4.03,-3.84,-17.25,24.73
2009,41.92,158.96,131.00,2.56,8.63,42.29,8.37,15.56,6.41,4.14,27.44,9.34,28.07
2010,41.29,156.15,129.26,2.60,10.08,36.21,9.67,16.55,7.22,4.77,20.78,3.32,29.57
2011,35.16,200.06,173.44,2.56,9.76,37.39,8.10,13.00,6.97,4.73,17.85,1.65,37.59
2012,34.09,206.11,173.64,2.50,9.03,40.42,9.12,13.95,8.39,5.37,-29.40,-22.76,39.38
2013,36.97,204.09,162.55,2.50,6.43,56.76,9.75,15.33,8.34,6.26,44.15,14.78,41.38
2014,36.58,205.42,159.60,2.46,5.88,62.07,9.11,14.35,8.01,6.28,3.72,-8.57,42.78
2015,37.23,209.45,159.26,2.56,5.41,67.46,8.99,14.13,7.86,6.20,5.53,-7.57,43.60
2016,36.95,214.81,166.37,2.63,5.26,69.39,8.54,13.47,7.33,5.93,36.33,8.94,44.44
2017,37.82,202.71,150.64,2.68,4.95,73.73,9.96,15.84,8.52,7.17,24.87,3.78,46.43
2018,44.73,160.16,116.53,2.73,4.58,79.69,8.79,14.91,7.87,6.96,24.28,5.61,46.89
