易威,	1799
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2006,18.92,422.31,226.68,10.32,1.46,250.00,17.89,22.33,20.71,3.04,47.65,9.48,13.41
2007,9.90,711.61,480.86,7.70,1.56,233.97,16.39,18.99,20.94,2.83,201.02,9.78,16.29
2008,12.27,539.25,308.81,8.39,1.43,255.24,10.17,11.44,16.81,1.89,85.23,NA,15.60
2009,15.56,444.93,314.43,5.86,1.57,232.48,4.18,4.87,8.56,0.73,44.08,3.57,15.27
2010,9.90,618.36,333.66,5.67,1.32,276.51,-1.06,-1.22,-2.58,-0.16,-16.70,0.00,12.52
2011,12.14,445.19,172.56,6.22,0.65,561.53,-20.76,-23.31,-108.14,-2.65,NA,NA,10.15
2012,26.07,193.15,72.85,7.01,1.15,317.39,-35.10,-43.00,-120.13,-3.57,-18.63,-11.82,6.47
2013,29.70,256.13,183.29,8.27,1.72,212.20,-47.86,-81.08,-165.17,-6.39,0.00,0.00,5.59
2014,10.95,473.81,407.79,3.96,4.55,80.21,-20.98,-25.17,-45.61,-2.23,-171.63,-17.96,10.92
2015,2.57,2181.34,1993.20,6.79,11.38,32.07,-18.39,-19.58,-32.32,-2.34,-339.86,-6.98,13.36
2016,15.11,383.67,360.84,9.02,10.60,34.43,-25.05,-27.82,-84.98,-3.21,-107.81,-10.75,11.21
2017,17.62,529.02,505.22,9.00,15.54,23.48,-24.95,-30.07,-87.46,-3.50,-194.82,-14.29,9.64
2018,21.24,179.51,168.32,6.44,32.57,11.20,-27.03,-33.64,-76.09,-2.45,-77.39,-17.30,7.25
