永豐餘,	1907
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,45.63,146.73,72.86,6.34,5.71,63.92,4.01,3.90,2.98,0.49,32.57,3.96,12.52
2001,44.06,144.87,80.11,6.66,5.74,63.58,3.20,2.67,2.19,0.32,67.94,7.58,12.16
2002,41.32,149.44,82.31,7.29,6.39,57.12,3.39,4.31,3.35,0.52,42.44,4.84,12.29
2003,41.28,132.47,88.41,7.86,7.42,49.19,8.61,13.36,9.82,1.70,43.70,6.01,13.55
2004,43.51,140.70,91.04,7.88,8.48,43.04,7.73,12.33,8.85,1.58,27.10,1.76,13.00
2005,44.09,103.51,59.36,8.90,9.38,38.91,4.75,7.24,5.92,0.94,8.47,0.00,13.63
2006,40.75,140.16,81.06,9.88,8.42,43.34,3.73,5.25,5.95,0.72,9.33,0.00,14.11
2007,40.76,111.34,67.87,12.83,9.34,39.07,3.61,5.04,5.59,0.70,24.12,0.62,13.86
2008,45.31,65.52,20.96,16.83,7.65,47.71,-0.27,-1.79,-2.13,-0.22,-4.82,0.00,11.06
2009,38.16,112.60,82.65,16.82,7.23,50.48,5.77,8.69,11.84,1.14,26.14,3.30,15.23
2010,39.05,99.72,56.86,14.47,10.27,35.54,3.91,5.87,8.07,0.89,1.18,0.00,15.43
2011,40.45,101.64,56.24,11.82,9.61,37.98,5.08,7.80,11.16,1.21,17.48,0.00,15.69
2012,34.89,6.61,4.64,14.58,12.78,28.56,2.92,4.01,8.46,0.66,1.82,0.00,17.08
2013,56.62,116.43,72.37,5.06,5.55,65.76,1.16,1.31,1.00,0.37,4.41,0.62,20.23
2014,55.65,127.54,80.64,4.92,5.65,64.60,1.50,1.86,1.43,0.36,7.78,1.30,23.94
2015,60.07,113.52,66.43,4.56,5.55,65.76,1.70,2.49,1.86,0.30,12.86,3.01,21.41
2016,62.38,131.04,82.45,4.57,5.85,62.39,1.19,1.28,0.88,0.08,19.68,3.88,19.38
2017,61.34,126.98,80.74,4.79,6.27,58.21,2.60,5.01,3.19,0.97,12.14,2.93,20.01
2018,60.30,135.51,84.77,5.06,6.36,57.38,2.41,4.33,2.56,0.87,15.11,2.77,21.36
