春源,	2010
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,43.77,166.80,82.00,4.35,3.62,100.82,3.44,4.79,3.02,0.73,4.82,NA,15.55
2001,41.18,193.92,125.71,4.33,3.67,99.45,2.48,3.39,2.37,0.58,45.57,9.28,14.93
2002,44.09,182.03,109.35,4.27,4.61,79.17,6.20,10.33,7.24,1.72,8.93,0.00,16.45
2003,47.81,161.57,92.53,3.92,4.19,87.11,6.23,11.19,6.88,1.86,0.00,0.00,16.83
2004,47.22,167.90,88.50,4.95,3.88,94.07,10.36,19.33,9.27,3.30,15.77,3.29,18.15
2005,47.12,156.50,66.85,5.41,3.21,113.70,6.30,11.44,5.20,1.93,0.00,0.00,17.23
2006,47.51,159.96,71.04,4.51,2.63,138.78,4.51,7.97,4.02,1.32,11.07,0.54,16.75
2007,45.98,157.32,70.08,4.46,3.08,118.50,3.13,5.02,2.54,0.80,9.33,2.95,16.40
2008,46.64,164.63,53.32,5.81,2.21,165.15,2.62,3.92,1.85,0.63,0.00,0.00,16.45
2009,33.85,244.49,118.90,4.56,2.06,177.18,2.72,4.35,2.95,0.70,129.73,26.49,16.26
2010,38.59,192.91,69.53,4.63,3.32,109.93,5.64,8.75,5.79,1.44,0.00,0.00,16.75
2011,41.14,178.78,64.91,5.38,2.83,128.97,3.57,5.67,3.28,0.91,0.00,0.00,16.55
2012,33.53,218.76,92.71,5.21,5.00,73.00,2.50,3.72,2.24,0.60,67.64,13.69,16.12
2013,38.49,215.17,114.04,4.88,3.89,93.83,2.78,4.14,2.33,0.72,15.74,2.74,16.42
2014,39.48,207.65,144.69,4.01,4.30,84.88,2.64,3.82,2.09,0.66,20.24,2.55,16.00
2015,31.24,277.44,210.26,3.57,4.25,85.88,4.20,6.17,4.17,1.06,56.72,12.76,16.34
2016,29.19,304.02,224.32,4.19,4.57,79.86,4.24,5.88,4.01,1.02,26.18,3.80,16.46
2017,35.82,211.47,150.22,4.04,4.66,78.32,2.65,3.59,2.33,0.60,0.00,-3.74,16.24
