漢唐,	2404
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,36.67,200.85,80.92,8.48,0.55,663.63,10.98,15.21,8.24,2.60,21.61,9.41,16.67
2001,44.91,161.00,128.00,4.57,0.42,869.04,8.98,14.74,8.65,2.21,51.25,30.33,13.91
2002,53.21,152.33,117.61,5.16,0.76,480.26,9.55,18.57,5.93,2.80,21.41,18.09,14.61
2003,48.62,208.36,134.71,6.11,0.80,456.25,10.91,21.96,8.25,3.66,7.94,-1.68,16.56
2004,51.11,163.72,92.24,7.35,0.41,890.24,11.37,22.45,8.48,3.89,5.99,0.00,18.13
2005,40.70,206.29,151.21,5.85,0.29,1258.62,9.10,16.65,7.68,2.86,47.99,19.67,17.71
2006,46.06,184.31,118.82,4.45,0.22,1659.09,8.52,15.09,8.69,2.57,20.20,5.73,17.36
2007,46.82,179.28,134.29,4.67,0.25,1460.00,10.75,20.07,9.92,3.60,23.64,9.13,18.55
2008,52.20,161.40,135.87,3.71,0.22,1659.09,5.30,10.41,5.63,1.81,68.41,51.09,16.39
2009,41.85,195.11,171.82,2.06,0.07,5214.28,4.19,7.97,11.12,1.33,42.41,21.94,16.95
2010,43.76,184.31,165.36,14.16,0.28,1303.57,14.68,25.73,14.84,4.92,51.63,29.74,21.27
2011,46.30,171.05,143.10,11.01,0.47,776.59,9.18,16.68,7.43,3.47,-8.32,31.74,20.63
2012,52.46,147.27,120.14,5.88,0.30,1216.66,5.68,11.24,6.68,2.26,23.95,33.01,19.64
2013,53.67,158.61,137.82,9.43,0.25,1460.00,10.44,23.44,10.12,4.74,48.77,NA,22.33
2014,59.15,138.48,116.02,4.51,0.13,2807.69,6.20,14.22,11.10,3.14,10.98,5.41,23.33
2015,57.68,147.33,123.69,6.75,0.24,1520.83,9.05,21.75,10.31,5.24,3.79,-3.82,26.05
2016,60.94,140.48,126.81,4.63,0.30,1216.66,10.01,24.66,10.28,6.52,11.61,1.41,27.79
2017,60.26,144.04,126.41,3.75,0.21,1738.09,7.99,20.26,10.71,5.10,33.01,22.24,26.87
