凌群,	2453
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,43.50,176.20,126.60,4.50,5.70,64.03,7.10,11.00,5.10,2.20,0.00,0.00,20.16
2001,36.80,228.50,156.90,2.80,4.40,82.95,5.70,8.80,5.30,1.58,16.80,4.40,18.45
2002,25.50,316.80,237.00,2.60,3.80,96.05,-0.50,-0.80,-0.60,-0.13,86.60,13.20,16.28
2003,28.90,260.90,208.10,3.70,7.30,50.00,1.40,1.90,1.30,0.31,26.10,6.90,16.56
2004,30.40,238.70,194.60,2.90,8.10,45.06,1.20,1.60,1.10,0.27,*****,*****,16.41
2005,30.30,238.50,175.60,2.80,5.50,66.36,-0.80,-1.10,-0.90,-0.18,52.40,14.50,15.11
2006,28.90,246.70,174.00,2.84,3.77,96.81,-2.70,-3.80,-3.40,-0.57,*****,*****,14.68
2007,25.90,294.00,198.60,3.50,4.30,84.88,1.00,1.20,0.90,0.18,30.30,6.40,14.90
2008,37.70,195.00,118.00,4.04,4.22,86.49,1.10,1.50,1.00,0.23,*****,*****,15.18
2009,40.31,184.97,118.00,3.83,3.92,93.11,1.50,2.40,1.40,0.36,*****,*****,15.49
2010,35.22,208.88,167.10,3.96,5.66,64.48,2.40,3.80,1.90,0.59,53.80,18.50,15.54
2011,36.82,217.86,150.80,4.11,6.92,52.74,2.60,4.00,1.90,0.64,*****,*****,16.35
2012,43.02,184.26,130.90,4.07,6.16,59.25,3.00,4.90,2.10,0.81,6.80,1.40,16.53
2013,48.71,176.58,142.00,3.38,8.88,41.10,3.00,5.65,1.96,0.95,26.92,17.71,16.90
2014,49.44,171.87,140.45,3.11,9.84,37.09,2.95,5.66,2.12,0.97,11.92,6.11,17.32
2015,47.40,180.29,152.00,2.96,7.57,48.21,2.02,3.71,1.66,0.65,26.40,14.79,17.18
2016,46.46,177.16,141.82,3.24,8.56,42.64,2.04,3.59,1.60,0.66,-9.42,-8.33,17.19
2017,51.35,158.96,128.55,3.61,10.12,36.06,2.70,4.97,1.81,0.91,7.88,3.92,17.39
2018,47.39,177.66,138.24,4.06,9.43,38.70,1.90,3.43,1.27,0.63,19.61,10.02,17.33
