達欣工,	2535
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,54.00,122.00,55.00,2.50,0.47,776.59,2.51,3.01,2.04,0.35,9.87,11.35,11.13
2001,42.00,132.00,64.00,2.51,0.36,1013.88,-0.48,-2.33,-1.98,-0.28,9.53,6.56,11.49
2002,53.00,126.00,52.00,2.56,0.39,935.89,0.94,0.78,0.70,0.12,21.92,23.69,10.60
2004,53.00,133.00,68.00,4.71,1.08,337.96,-1.22,-3.17,-1.23,-0.45,NA,NA,14.30
2005,59.00,129.00,75.00,3.94,0.87,419.54,3.06,6.91,2.50,1.00,NA,NA,15.42
2006,59.00,134.00,90.00,3.28,0.66,553.03,4.28,10.37,3.28,1.65,21.87,27.66,15.91
2007,48.00,161.00,91.00,2.46,0.35,1042.85,4.89,10.57,5.28,1.72,14.91,7.55,16.71
2008,51.09,149.91,78.55,4.03,0.41,890.24,3.92,7.75,3.06,1.29,NA,NA,16.88
2009,50.91,160.77,99.22,4.00,NA,NA,4.33,8.84,3.15,1.54,24.29,0.17,17.91
2010,54.34,147.47,98.28,4.10,0.37,986.48,5.67,12.00,4.10,2.21,20.96,0.16,18.96
2011,51.49,145.29,111.04,4.21,0.31,1177.41,5.56,11.80,4.14,2.27,0.00,0.00,19.86
2012,54.97,134.89,91.27,4.43,0.33,1106.06,6.02,12.61,4.08,2.55,0.00,0.00,20.55
2013,64.53,147.74,93.39,4.05,0.32,1140.62,6.90,20.60,5.63,4.06,22.22,18.45,21.12
2014,68.66,198.80,93.11,3.27,0.20,1825.00,4.10,11.75,4.55,2.54,*****,*****,21.68
2015,69.30,186.90,111.43,3.13,0.20,1825.00,2.62,6.96,2.74,1.58,19.06,10.97,21.74
2016,66.68,148.02,87.48,3.07,0.22,1659.09,4.66,13.20,5.17,3.12,0.00,-3.32,23.59
2017,67.41,182.16,108.45,2.76,0.19,1921.05,3.62,9.12,4.27,2.14,18.85,14.98,23.60
2018,63.14,198.68,111.10,5.44,0.26,1403.84,3.44,9.23,3.78,2.29,9.46,3.99,24.01
