華固,	2548
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,73.00,135.51,10.18,13.17,NA,NA,11.65,36.15,16.48,5.40,NA,NA,17.57
2001,62.93,151.40,3.98,8.56,NA,NA,6.89,16.07,15.80,2.38,0.05,NA,14.99
2002,58.97,159.52,3.35,109.58,NA,NA,2.50,2.10,1.60,0.29,25.00,26.47,12.70
2003,53.16,98.71,5.53,NA,NA,NA,0.95,1.01,0.88,0.12,51.98,52.99,12.41
2004,71.05,143.98,16.27,NA,NA,NA,7.75,22.01,16.75,3.09,NA,NA,15.68
2005,62.29,155.91,6.19,NA,NA,NA,13.92,41.33,18.78,7.34,NA,NA,20.56
2006,64.83,151.19,3.43,NA,NA,NA,12.63,34.82,19.18,7.09,NA,NA,22.20
2007,72.67,135.20,5.47,117.62,0.39,935.89,14.20,47.03,26.95,10.56,NA,NA,25.88
2008,68.36,151.98,7.62,NA,NA,NA,13.10,43.51,25.61,11.03,NA,NA,28.31
2009,48.64,202.13,32.71,NA,NA,NA,13.85,33.62,27.43,10.83,NA,NA,35.86
2010,53.88,186.29,13.18,NA,NA,NA,14.77,30.55,29.75,11.31,0.00,0.00,40.28
2011,50.70,213.97,7.56,NA,NA,NA,11.95,25.03,32.97,10.38,7.18,0.00,43.86
2012,53.20,196.49,12.94,NA,NA,NA,6.90,14.09,30.00,6.10,18.46,5.48,43.49
2013,58.62,181.21,26.60,NA,NA,NA,10.87,25.20,30.00,11.08,-20.39,-34.47,46.67
2014,62.22,172.35,35.02,NA,NA,NA,4.46,10.84,22.34,5.08,8.23,0.95,46.41
2015,61.18,173.75,23.80,NA,NA,NA,7.51,19.28,35.28,9.59,-1.75,-10.24,50.88
2016,55.80,191.49,23.18,NA,NA,NA,6.91,16.43,20.64,8.73,31.81,25.10,53.84
2017,53.84,214.94,32.01,NA,NA,NA,6.56,14.19,21.23,7.87,16.03,3.77,56.04
