第一店,	2706
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,24.50,501.30,492.30,50.30,NA,NA,5.50,7.20,83.20,1.69,353.50,3.70,24.43
2002,23.70,866.90,861.70,48.14,NA,NA,4.00,5.20,63.70,1.16,373.80,3.20,22.71
2003,23.30,1040.30,1034.40,53.92,NA,NA,3.10,4.00,51.20,0.84,344.70,3.10,21.42
2004,23.20,1257.30,1251.70,16.10,NA,NA,4.50,5.80,71.70,1.18,279.60,2.80,20.63
2005,16.50,1632.40,1624.80,14.40,NA,NA,6.50,8.00,110.10,1.66,384.00,3.40,22.37
2006,16.35,1470.36,1465.04,45.78,NA,NA,10.72,12.79,198.29,3.03,299.37,2.95,26.41
2007,14.91,1452.88,1447.59,52.51,NA,NA,5.14,6.05,102.19,1.31,307.45,2.41,21.84
2008,17.24,1700.00,1698.39,55.46,NA,NA,5.31,6.30,106.79,1.25,264.76,2.21,19.94
2009,14.38,1721.19,1718.80,58.89,NA,NA,5.02,5.94,100.42,1.14,251.62,2.24,20.18
2010,12.61,2135.59,2132.81,64.04,NA,NA,4.36,5.03,90.95,0.95,293.32,2.20,19.38
2011,12.94,2136.72,2134.37,63.20,NA,NA,3.32,3.79,65.99,0.68,297.03,2.62,18.07
2012,12.45,2353.63,2351.33,56.75,NA,NA,3.97,4.52,77.35,0.80,295.85,2.50,18.04
2013,12.34,2247.79,2244.99,67.68,NA,NA,4.09,4.66,84.12,0.82,222.05,1.71,18.15
2014,12.88,2288.91,2286.99,77.82,NA,NA,4.98,5.67,107.37,1.01,208.39,1.67,18.50
2015,12.81,2424.71,2423.26,63.57,NA,NA,5.34,6.10,126.31,1.09,205.07,1.36,18.48
2016,12.68,2617.60,2616.02,50.67,NA,NA,5.54,6.32,149.49,1.11,175.09,0.91,17.98
2017,12.68,2634.48,2632.95,54.63,NA,NA,5.91,6.75,168.28,1.14,179.88,0.89,17.17
