兆豐金,	2886
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2002,15.45,3.73,NA,NA,NA,NA,7.57,8.84,96.87,1.06,NA,NA,12.90
2003,21.16,297.34,NA,NA,NA,NA,10.07,12.10,95.99,1.84,NA,NA,13.73
2004,22.41,54.65,NA,NA,NA,NA,10.81,13.57,99.83,2.22,NA,NA,16.59
2005,9.08,94.13,NA,NA,NA,NA,10.81,12.60,100.64,2.09,NA,NA,17.28
2006,11.55,NA,NA,NA,NA,NA,7.58,8.46,99.72,1.50,NA,NA,n/a
2007,11.53,NA,NA,NA,NA,NA,7.67,8.67,97.43,1.54,NA,NA,n/a
2008,14.28,NA,NA,NA,NA,NA,0.14,0.16,32.44,0.03,NA,NA,n/a
2009,12.82,NA,NA,NA,NA,NA,6.64,7.68,94.22,1.30,NA,NA,n/a
2010,11.80,NA,NA,NA,NA,NA,6.68,7.62,93.67,1.37,NA,NA,n/a
2011,11.79,NA,NA,NA,NA,NA,7.72,8.76,96.08,1.57,NA,NA,n/a
2012,12.02,NA,NA,NA,NA,NA,9.11,10.34,94.77,1.88,NA,NA,n/a
2013,92.24,NA,NA,NA,NA,NA,0.77,9.95,40.89,1.96,NA,NA,19.39
2014,92.01,NA,NA,NA,NA,NA,0.95,12.03,49.98,2.43,NA,NA,20.97
2015,91.37,NA,NA,NA,NA,NA,0.88,10.56,48.60,2.35,NA,NA,21.57
2016,91.20,NA,NA,NA,NA,NA,0.67,7.67,40.76,1.65,NA,NA,21.47
2017,91.60,NA,NA,NA,NA,NA,0.75,8.72,43.13,1.89,NA,NA,21.92
