寶島極,	3115
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2003,23.11,158.28,156.90,2.52,NA,NA,19.68,24.01,33.66,3.15,108.28,12.59,14.23
2004,18.27,199.06,196.10,2.06,NA,NA,11.77,14.62,25.63,2.06,156.52,6.67,13.88
2005,19.82,178.85,164.39,2.28,NA,NA,14.05,17.20,31.32,2.25,77.75,-0.17,13.70
2006,23.93,124.24,123.48,2.42,22.68,16.09,4.34,5.15,11.36,0.64,51.16,3.55,12.28
2007,28.25,118.04,117.46,2.45,16.98,21.49,-0.43,-1.31,-3.28,-0.16,19.54,-0.97,12.54
2008,16.49,124.66,122.61,2.36,10.53,34.66,-11.48,-15.47,-42.33,-1.75,14.39,1.78,11.07
2009,25.53,50.50,49.97,2.12,6.35,57.48,-14.41,-18.88,-98.35,-1.80,-9.96,-3.01,9.00
2010,14.53,139.20,137.68,2.95,9.72,37.55,-10.98,-14.14,-41.61,-1.18,2.40,0.34,7.91
2011,22.70,115.35,114.27,3.41,5.47,66.72,-0.38,-0.72,-1.02,-0.06,-8.91,-2.23,8.11
2012,24.79,123.84,116.15,3.95,3.35,108.95,3.35,3.86,4.28,0.31,3.93,1.11,8.04
2013,39.99,181.62,180.05,1.86,89.20,4.09,5.88,9.65,5.33,0.82,36.99,10.39,9.03
2015,46.02,171.79,158.42,2.13,14.44,25.27,-0.59,-1.79,-0.85,-0.17,12.07,5.13,9.36
