尚志,	3579
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2008,12.98,119.59,75.46,6.26,3.20,114.06,21.62,24.36,132.68,14.16,92.71,NA,58.16
2009,13.65,141.31,115.59,4.42,2.35,155.31,4.53,5.14,48.47,2.89,16.07,NA,51.23
2010,17.87,481.98,394.23,4.52,2.33,156.65,12.98,15.41,126.36,9.02,38.41,NA,63.85
2011,8.27,121.83,65.34,4.13,1.96,186.22,-8.22,-9.63,-102.64,-5.39,55.89,1.67,56.71
2012,10.26,168.15,110.70,4.19,2.11,172.98,-14.98,-16.60,-224.54,-8.54,63.17,3.65,46.22
2013,58.80,71.32,38.45,5.92,6.83,53.44,-7.70,-20.37,-17.66,-5.57,19.64,11.08,40.52
2014,62.57,75.06,36.45,5.23,6.71,54.39,-7.12,-20.34,-13.59,-4.91,-12.43,-7.49,36.27
2015,65.11,60.37,34.64,5.87,6.66,54.80,-7.83,-24.25,-13.63,-8.31,28.38,16.38,26.45
2016,64.19,49.74,26.95,9.29,8.69,42.00,-5.93,-19.77,-8.96,-5.92,17.52,8.81,20.44
2017,62.64,50.35,27.26,10.27,8.40,43.45,-3.50,-12.40,-6.31,-2.68,17.07,8.25,18.92
