榮昌,	3684
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2008,41.52,178.99,164.44,3.97,19.27,18.94,6.80,12.46,3.97,1.39,73.77,48.38,11.46
2009,39.24,217.52,199.50,3.65,32.74,11.14,7.11,11.78,5.58,1.45,16.91,5.74,13.44
2010,37.59,216.97,201.46,4.97,52.97,6.89,6.32,10.08,4.63,1.24,46.58,15.15,12.51
2011,28.39,227.12,208.07,4.33,40.10,9.10,9.48,14.06,7.55,1.80,44.10,8.16,13.05
2012,33.16,210.98,196.74,4.14,33.86,10.77,13.05,18.90,9.68,2.59,47.38,12.08,14.34
2013,30.78,262.32,238.60,3.42,11.31,32.27,11.71,17.34,10.78,2.43,53.65,6.70,14.34
2014,32.20,263.42,236.52,4.13,13.47,27.09,14.81,21.65,13.13,3.40,14.59,5.54,17.88
2015,31.60,274.50,253.34,4.78,15.50,23.54,18.70,27.44,15.73,5.11,66.78,13.41,19.39
2016,26.08,334.12,316.00,4.26,15.56,23.45,12.34,17.33,12.96,3.04,56.97,6.01,18.15
2017,41.25,292.96,265.31,4.38,14.19,25.72,11.21,17.13,12.55,3.23,103.82,17.14,19.07
2018,48.06,369.43,327.27,3.80,9.04,40.37,5.97,10.35,10.28,1.91,44.60,-2.71,18.06
